DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-11-12,"House Cleaner Weekly pay!","Capital Cleaning SLC, Inc",,,"up to $850 a week",,,"Salt Lake City",UT,""
2022-11-11,"Corrections Spec- Sheriff's Office","Salt Lake County",slco.org,"Government Administration","estimated $41k - $51.9k a year",,,"Salt Lake City",UT,"84119"
2022-11-12,"Ramp Supervisor","Southwest Airlines",southwest.com,Airlines/Aviation,"estimated $33.1k - $41.9k a year",,"Westpointe area)","Salt Lake City",UT,"84122"
2022-11-14,Barista,"Hub and Spoke Diner",hubandspokediner.com,Restaurants,"$20 - $23 an hour",,"Yalecrest area)","Salt Lake City",UT,"84105"
2022-11-12,"Special Projects Producer","Sinclair Broadcast Group",sbgi.net,"Broadcast Media","estimated $36.5k - $46.2k a year",,"Downtown area)","Salt Lake City",UT,"84111"
2022-11-12,"CONCIERGE | 12 FREE ROOM NIGHTS!","Hyatt Regency Salt Lake City",,,"estimated $33.4k - $42.3k a year",,"Downtown area)","Salt Lake City",UT,"84101"
2022-11-13,"Asset Protection Coordinator","Gap Inc.",gapinc.com,Retail,"uhealth security professional i - $20/hr. training provided",,"Sugar House area)","Salt Lake City",UT,"84106"
2022-11-12,"UHealth Security Professional I - $20/hr. Training Provided","University of Utah",adfinitashealth.com,"Medical Practice","$20 an hour",,"East Bench area)","Salt Lake City",UT,"84112"
2022-11-12,"Coordinator, Administrative Program","University of Utah",adfinitashealth.com,"Medical Practice","$45,000 a year",,"East Bench area)","Salt Lake City",UT,"84112"
2022-11-11,"Anesthesia Technician","University of Utah Health",utah.edu,"Hospital & Health Care","estimated $38.9k - $49.2k a year",,,"Salt Lake City",UT,"84190"
2022-11-12,"Line Associate 2nd shift M-F","Cookietree Bakeries",cookietree.com,"Food Production","estimated $36k - $45.6k a year",,,"Salt Lake City",UT,"84104"
2022-11-11,"Ramp Agent - SLC","SkyWest Airlines",skywest.com,Airlines/Aviation,"from $15.50 an hour",,,"Salt Lake City",UT,"84116"
2022-11-12,"Order Puller - 1st Shift, starting at $20.50","US Venture",usventure.com,"Oil & Energy","from $20.50 an hour",,,"Salt Lake City",UT,"84104"
2022-11-12,"University of Utah School of Dentistry Periodontist Faculty...",Full-time,,,,,,,,""
2022-11-12,"Technician I, II , or III","ARUP Laboratories",aruplab.com,"Hospital & Health Care","$16.17) is in training to provide services of both a technical and non-technical nature in the labor",,"East Bench area)","Salt Lake City",UT,"84108"
2022-11-12,"Industrial/Safety Sales","Norco, Inc",norco-inc.com,Retail,,,,"Salt Lake City",UT,"84120"
2022-11-12,"Administrative Assistant - Budget Administration - Finance &...","The Church of Jesus Christ of Latter-day Saints",churchofjesuschrist.org,"Religious Institutions","estimated $37.4k - $47.4k a year",,"Capitol Hill area)","Salt Lake City",UT,"84103"
2022-11-12,"SALES ADMINISTRATIVE ASSISTANT | 12 FREE ROOM NIGHTS!","Hyatt Regency Salt Lake City",,,"estimated $33.2k - $42k a year",,"Downtown area)","Salt Lake City",UT,"84101"
2022-11-12,"Patient Transporter - (Huntsman)","University of Utah Health",utah.edu,"Hospital & Health Care",,,,"Salt Lake City",UT,"84190"
2022-11-12,"Customer Service Specialist","Thatcher Group Inc",tchem.com,Chemicals,"$20 - $25 an hour",,"Glendale area)","Salt Lake City",UT,"84104"
2022-11-12,"Assistant Laboratory Director (Remote)","Myriad Genetics Inc.",myriad.com,Biotechnology,,Remote,,"Remote in Salt Lake City",UT,"84108"
2022-11-12,"Delivery Driver - West Division * FULL TIME * DAYS","PepsiCo Beverages North America",,,"$30 an hour",,,"Salt Lake City",UT,"84104"
2022-11-12,"Data Analyst, Investment Banking","D.A. Davidson Companies",dadavidson.com,"Financial Services",,,"Central City area)","Salt Lake City",UT,"84111"
2022-11-12,"Trading Enablement Assistant","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,"Jordan Meadows area)","Salt Lake City",UT,"84116"
2022-11-12,"CASHIER (FULL-TIME)","Flik Hospitality Group",flik-usa.com,"Food & Beverages","$18 an hour",,"Capitol Hill area)","Salt Lake City",UT,"84101"
2022-11-11,"Materials Handler I - Day Shift (B Schedule - 1001 Location)","BioFire - 028",,,"estimated $35.4k - $44.8k a year",,,"Salt Lake City",UT,"84104"
2022-11-12,"OVER SIZE BAGGAGE ASSISTANT","ABM Industries",marriott.com,"Computer Software","estimated $25.7k - $32.6k a year",,"Westpointe area)","Salt Lake City",UT,"84122"
