DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-30,"Talent Acquisition Associate","RC Willey",rcwilley.com,Retail,"$45,000 - $50,000 a year",,,"Salt Lake City",UT,"84115"
2022-03-28,"Purchasing Agent","US National Institutes of Health",,,"$44,740 - $79,121 a year",,,"Salt Lake City",UT,""
2022-03-30,"Family Babysitter","WeeCare, Inc.",,,"$10 - $33 an hour",,,"Salt Lake City",UT,""
2022-03-30,"Warehouse Person","Martin Brower",martinbrower.com,"Logistics & Supply Chain",,,,"Salt Lake City",UT,"84104"
2022-03-30,"Contract Specialist","US Agricultural Marketing Service",,,"$94,373 - $150,703 a year",,,"Salt Lake City",UT,""
2022-03-29,"District Sales Manager","Spirit Halloween",,,,,,"Salt Lake City",UT,"84106"
2022-03-30,"IT Specialist (APPSW) (INFOSEC)","US Treasury, Departmental Offices",,,"$126,233 - $164,102 a year",,,"Salt Lake City",UT,""
2022-03-30,"Management and Program Analyst","U.S. Fish and Wildlife Service",fws.gov,"Government Administration","$79,363 - $138,868 a year",Remote,,"Temporarily Remote in Salt Lake City",UT,""
2022-03-30,"Inventory Analyst","RC Willey",rcwilley.com,Retail,"$18 an hour",,,"Salt Lake City",UT,"84115"
2022-03-30,"Patient Relations Specialist","University of Utah Health",utah.edu,"Hospital & Health Care",,,,"Salt Lake City",UT,"84190"
2022-03-29,"Property Administrator","Cushman & Wakefield",cushwake-ni.com,"Commercial Real Estate",,,"People's Freeway area","Salt Lake City",UT,"84101"
2022-03-29,"Office Clerk",U-Haul,uhaul.com,Retail,,,,"Salt Lake City",UT,"84107"
2022-03-30,"Family Nanny","WeeCare, Inc.",,,"$10 - $33 an hour",,,"Salt Lake City",UT,""
2022-03-30,"E-Commerce Supervisor (In-Store Shopper) - Full Time","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,,"Salt Lake City",UT,"84121"
2022-03-29,"Contract Specialist","US Office of the Secretary",,,"$94,373 - $144,976 a year",,,"Salt Lake City",UT,""
2022-03-29,"General Interest Application-4th West","Lee's MarketPlace",leesmarketplace.com,Retail,"$32.6K ? $41.2K a year",,,"Salt Lake City",UT,""
2022-03-30,"Data Center Warehouseperson #125587","DB Schenker, Inc.",dbschenker.com,,"From $19.75 an hour",,,"Salt Lake City",UT,""
2022-03-28,"Social Science Specialist","US National Institute of Food and Agriculture",,,"$94,373 - $144,976 a year",,,"Salt Lake City",UT,""
2022-03-30,"Social Service Worker","University of Utah Health",utah.edu,"Hospital & Health Care",,,,"Salt Lake City",UT,"84190"
2022-03-30,"IT Specialist","US Deputy Assistant Secretary for Information and...",,,"$56,983 - $88,792 a year",,,"Salt Lake City",UT,""
2022-03-30,"Customer Service Rep","FedEx Logistics",,,,,"Jordan Meadows area","Salt Lake City",UT,"84116"
2022-03-30,"Supervisory Program Manager","US Treasury, Departmental Offices",,,"$148,484 - $176,300 a year",,,"Salt Lake City",UT,""
2022-03-30,"Communication Services Specialist I","University of Utah Health",utah.edu,"Hospital & Health Care",,,,"Salt Lake City",UT,"84190"
2022-03-30,"Cargo Agent (Customer Service Agent) - SLC",Delta,deltacompanies.com,,,,,"Salt Lake City",UT,""
2022-03-30,"Customer Service Representative",Ascensus,ascensus.com,"Financial Services","$27.4K ? $34.8K a year",Remote,,"Remote in Salt Lake City",UT,"84102"
