DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-29,"Administrator, Athletics","University of Utah",adfinitashealth.com,"Medical Practice","$40,000 - $50,000 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-30,"Management and Program Analyst","US Mine Safety and Health Administration",msha.gov,Retail,"$111,521 - $176,300 a year",Remote,,"Remote in Salt Lake City",UT,""
2022-03-30,"Database Analyst","University of Utah",adfinitashealth.com,"Medical Practice","$60,000 - $65,000 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-29,"Manager - Facilities - Fashion Place","Nordstrom Inc",nordstrom.com,Retail,,,,"Salt Lake City",UT,""
2022-03-30,"Manager, Program(s)","University of Utah",adfinitashealth.com,"Medical Practice","$47,600 - $90,400 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-30,"Sales Operations Analyst",PointClickCare,pointclickcare.com,"Computer Software",,,,"Salt Lake City",UT,""
2022-03-30,"SPECIAL PROJECTS ASSISTANT","Salt Lake City Corporation",slc.gov,"Government Administration",,,"Central City area","Salt Lake City",UT,"84111"
2022-03-30,"Business Services Supervisor / Valet Services","University of Utah Health",utah.edu,"Hospital & Health Care",,,,"Salt Lake City",UT,"84190"
2022-03-30,"Database Administrator III","University of Utah Health",utah.edu,"Hospital & Health Care",,,,"Salt Lake City",UT,"84190"
2022-03-30,"Supervisor, Library","University of Utah",adfinitashealth.com,"Medical Practice","$20.67 - $22.11 an hour",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-30,"Technical Support Analyst","University of Utah",adfinitashealth.com,"Medical Practice","$45,000 - $55,000 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-29,"Assistant General Manager","FatCats Entertainment",fatcatsfun.com,,"$45,000 - $60,000 a year",,,"Salt Lake City",UT,""
2022-03-29,"Customer Relations Specialist (Full-Time)","Utah Transit Authority",rideuta.com,Transportation/Trucking/Railroad,"$17.01 an hour",,,"Salt Lake City",UT,"84119"
2022-03-29,"RCSS Training Specialist","University of Utah Health",utah.edu,"Hospital & Health Care",,,,"Salt Lake City",UT,"84190"
2022-03-30,"Grant Officer 2 or 3","Salt Lake Community College",slcc.edu,"Higher Education","$59K ? $74.8K a year",,,"Salt Lake City",UT,"84123"
2022-03-30,"BILLING SPECIALST I - REMOTE",Palco,palcofirst.com,"Financial Services","$46.8K ? $59.2K a year",Remote,,"Remote in Salt Lake City",UT,"84102"
2022-03-30,"PS Coordinator, Information","University of Utah",adfinitashealth.com,"Medical Practice","$31,600 - $58,400 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-30,"Instructional Designer",RainFocus,rainfocus.com,"Computer Software","$62.7K ? $79.3K a year",Remote,,"Remote in Salt Lake City",UT,""
2022-03-30,"Administrative Assistant","University of Utah",adfinitashealth.com,"Medical Practice","$18 an hour",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-29,"National Director of Used Vehicle Operations","Garff Enterprises Corporate Office",,,"$83.7K ? $106K a year",,"Central City area","Salt Lake City",UT,"84111"
2022-03-30,"Manager, Program","University of Utah",adfinitashealth.com,"Medical Practice","$36,000 - $48,000 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-30,"Settlements Analyst","The AES Corporation",aes.com,Utilities,,,,"Salt Lake City",UT,"84123"
2022-03-30,"Mental Health Screening Coordinator","International Rescue Committee",rescue.org,"Nonprofit Organization Management",,,,"Salt Lake City",UT,""
2022-03-30,"Account Manager","Lamons (LGC EmployeeCo., LLC)",lamons.com,"Oil & Energy","$44.4K ? $56.2K a year",,,"Salt Lake City",UT,"84116"
2022-03-30,"Business Systems Analyst","University of Utah",adfinitashealth.com,"Medical Practice","$54,000 - $56,000 a year",Remote,,"Remote in Salt Lake City",UT,"84112"
2022-03-30,"Coordinated Mobility Grants Administrator","Utah Transit Authority",rideuta.com,Transportation/Trucking/Railroad,"From $66,350 a year",,,"Salt Lake City",UT,"84119"
2022-03-29,"Manager, Program","University of Utah",adfinitashealth.com,"Medical Practice","$51,000 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-28,"WATERSHED RANGER","Salt Lake City Corporation",slc.gov,"Government Administration",,,"Central City area","Salt Lake City",UT,"84111"
2022-03-29,"Director, Product Management - Open Banking",MasterCard,priceless.com,Construction,,,,"Salt Lake City",UT,""
2022-03-29,"Research Associate","University of Utah",adfinitashealth.com,"Medical Practice","$45,000 - $58,000 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-30,"External Wholesaler","Truist Financial",truist.com,"Financial Services",,,"People's Freeway area","Salt Lake City",UT,"84101"
2022-03-30,"Coordinator, Administrative Program","University of Utah",adfinitashealth.com,"Medical Practice","$42,000 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-29,"Lab Coordinator - Grand Canyon University","Grand Canyon Education",gce.com,"Education Management","$28.3K ? $35.9K a year",,,"Salt Lake City",UT,""
2022-03-29,"Coordinator, Administrative Program","University of Utah",adfinitashealth.com,"Medical Practice","$40,000 - $46,000 a year",Remote,,"Hybrid remote in Salt Lake City",UT,"84112"
2022-03-29,"Manager, Business Operations - HMHI","University of Utah Health",utah.edu,"Hospital & Health Care",,,,"Salt Lake City",UT,"84190"
2022-03-30,"Development Officer","University of Utah",adfinitashealth.com,"Medical Practice","$55,000 - $65,000 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-30,"Charge Description Master (CDM) Coordinator","University of Utah Health",utah.edu,"Hospital & Health Care",,,,"Salt Lake City",UT,"84190"
2022-03-30,"IT Project Manager","American Heart Association",heart.org,"Health, Wellness & Fitness","$87.3K ? $111K a year",,,"Salt Lake City",UT,"84190"
2022-03-30,"Maintenance Technician II",Sephora,sephora.ch,,,,,"Salt Lake City",UT,"84104"
2022-03-29,"Design Expert, Inside Sales","Interior Define",interiordefine.com,Internet,"$43.2K ? $54.6K a year",,,"Salt Lake City",UT,""
2022-03-29,"M&AM-BG R&D Executive Assistant - Opportunity for Working Re...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Salt Lake City",UT,"84123"
2022-03-30,"Fidelity Digital Assets Crypto Service Representative II","Fidelity Investments",smcc.edu,"Higher Education",,,,"Salt Lake City",UT,"84104"
2022-03-29,"Billing Specialist","University of Utah",adfinitashealth.com,"Medical Practice","$18.67 - $21.63 an hour",Remote,,"Remote in Salt Lake City",UT,"84112"
2022-03-30,"Maintenance Specialist","University of Utah",adfinitashealth.com,"Medical Practice","$19.92 an hour",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-29,"HRIT Training and eLearning Specialist - Human Resources","University of Utah Health",utah.edu,"Hospital & Health Care",,,,"Salt Lake City",UT,"84190"
2022-03-29,"Associate Account Director","National University",nu.edu,"Higher Education","$63K ? $79.8K a year",,"People's Freeway area","Salt Lake City",UT,"84101"
2022-03-30,"Manager, Administrative","University of Utah",adfinitashealth.com,"Medical Practice","$39,300 - $72,700 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-30,"COMMUNITY DEVELOPMENT GRANT SPECIALIST","Salt Lake City Corporation",slc.gov,"Government Administration",,,"Central City area","Salt Lake City",UT,"84111"
2022-03-30,"Manager, Administrative","University of Utah",adfinitashealth.com,"Medical Practice","$50,000 - $52,000 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-30,"Assoc Director, Dev/Social Svc","University of Utah",adfinitashealth.com,"Medical Practice","$50,000 - $70,000 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-29,"Manager, Operations","University of Utah",adfinitashealth.com,"Medical Practice","$60,700 - $90,508 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-30,"Buyer Planner","Laborie Medical Technologies",laborie.com,"Medical Devices","$50,000 - $70,000 a year",,,"Salt Lake City",UT,"84123"
2022-03-30,"Supervisor, Student Services","University of Utah",adfinitashealth.com,"Medical Practice","$18.20 an hour",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-29,"Office Manager","Westminster College",westminstercollege.edu,"Higher Education","$33.5K ? $42.5K a year",,"Sugar House area","Salt Lake City",UT,"84105"
2022-03-29,"Prior Authorization Representative II","University of Utah",adfinitashealth.com,"Medical Practice","$23 - $28 an hour",Remote,,"Remote in Salt Lake City",UT,"84112"
2022-03-30,"Manager, Student Services","University of Utah",adfinitashealth.com,"Medical Practice","$47,500 a year",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-27,"Patient Access Assistant Director","St. Mark's Hospital",,,,,,"Salt Lake City",UT,"84124"
2022-03-30,"Supervisor, Student Services","University of Utah",adfinitashealth.com,"Medical Practice","$18.20 an hour",,"East Bench area","Salt Lake City",UT,"84112"
2022-03-30,"Airport Administrative Coordinator","Lamar Advertising Company",lamar.com,"Marketing & Advertising","$22 - $26 an hour",,,"Salt Lake City",UT,"84107"
2022-03-30,"Fulltime (32/hrs week) Clinical Assistant","Planned Parenthood Association of Utah",ppacutah.org,,"$19.25 an hour",,,"Salt Lake City",UT,""
2022-03-30,"Talent Development Manager/DIB Trainer",Instructure,instructure.com,"Information Technology & Services","$54.5K ? $69.1K a year",,,"Salt Lake City",UT,"84121"
2022-03-30,"Principal Program Manager - Operations, Field Services NA",Workday,workday.com,"Computer Software",,,,"Salt Lake City",UT,""
2022-03-30,"Finance Project Manager",JCPenney,cjpenney.com,,,,,"Salt Lake City",UT,""
2022-03-29,"Onsite Operations - Logistics & Shipping",RainFocus,rainfocus.com,"Computer Software","$45.6K ? $57.8K a year",,,"Salt Lake City",UT,""
