DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-06-11,"Supervisor, Operations","FedEx Freight",,,,,"Westpointe area","Salt Lake City",UT,"84116"
2022-06-11,"1st Shift Entry Level Inspector $19.44+","Edwards Lifesciences",edwards.com,"Medical Devices","From $19.44 an hour",,,"Salt Lake City",UT,""
2022-06-12,Barista,"HRI Lodging",hriproperties.com,Hospitality,"$24.8K - $31.4K a year",,,"Salt Lake City",UT,""
2022-06-11,"CONFERENCE COORDINATOR","FLIK Lifestyles",,,,,"Central City area","Salt Lake City",UT,"84111"
2022-06-11,"Cleaning Technician/Housekeeper - Weekly pay - Up to $850+ T...","Capital Cleaning SLC, Inc",,,"Up to $850 a week",,,"Salt Lake City",UT,""
2022-06-11,"Case Management Assistant","University of Utah Health",utah.edu,"Hospital & Health Care",,,,"Salt Lake City",UT,"84190"
2022-06-11,Courier,Labcorp,labcorp.com,"Hospital & Health Care",,,,"Salt Lake City",UT,"84117"
2022-06-11,"Administrative Assistant Flight Operations Training -SLC","SkyWest Airlines",skywest.com,Airlines/Aviation,,,,"Salt Lake City",UT,"84116"
2022-06-11,"Billing Specialist","Valley Behavioral Health",valleycares.com,"Mental Health Care","$16 - $17 an hour",,,"Salt Lake City",UT,"84124"
2022-06-11,Teller,"America First Credit Union",americafirst.com,"Financial Services","$28.6K - $36.2K a year",,,"Salt Lake City",UT,"84121"
2022-06-13,"Production Assistant","University of Utah",adfinitashealth.com,"Medical Practice","$17 - $20 an hour",,"East Bench area","Salt Lake City",UT,"84112"
2022-06-11,Teller,"America First Credit Union",americafirst.com,"Financial Services","$28.6K - $36.2K a year",,"Sugar House area","Salt Lake City",UT,"84106"
2022-06-11,"Patient Relations Specialist","University of Utah Health",utah.edu,"Hospital & Health Care",,,,"Salt Lake City",UT,"84190"
2022-06-11,Courier,Labcorp,labcorp.com,"Hospital & Health Care",,,,"Salt Lake City",UT,"84117"
2022-06-11,"Project Facilitator – SafeUT Outreach Coordinator","University of Utah Health",utah.edu,"Hospital & Health Care",,,,"Salt Lake City",UT,"84190"
2022-06-11,"Plan Sponsor Associate","Mutual of America Financial Group",,,"$60.9K - $77.1K a year",,"People's Freeway area","Salt Lake City",UT,"84101"
2022-06-11,"FOOD SERVICE WORKER (FULL-TIME)",Eurest,eurest-usa.com,"Food & Beverages",,,"Jordan Meadows area","Salt Lake City",UT,"84116"
2022-06-10,"Consultant, BGS Operations | Businesses, Global and Strategi...",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area","Salt Lake City",UT,"84111"
2022-06-11,"Regional Patient Educator","Care Access",,,"$52.3K - $66.3K a year",Remote,,"Remote in Salt Lake City",UT,"84124"
2022-06-12,"Food Safety Specialist","Rentokil Initial",rentokil-initial.com,"Environmental Services",,,,"Salt Lake City",UT,""
2022-06-11,"Technician I","ARUP Laboratories",aruplab.com,"Hospital & Health Care","$16.48 an hour",,"East Bench area","Salt Lake City",UT,"84108"
