DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-26,"Ecologist (Open to both U.S. Citizens and Federal Employees)","US Federal Highway Administration",,,"$94,373 - $122,683 a year",,,"Salt Lake City",UT,""
2022-04-25,"Information Technology Specialist","US Office of the Secretary of Health and Human...",hhs.gov,"Government Administration","$95,793 - $124,764 a year",,,"Salt Lake City",UT,""
2022-04-26,"Information Technology Specialist (CustSpt)","US Geological Survey",usgs.gov,Research,"$61,226 - $87,407 a year",,,"Salt Lake City",UT,""
2022-04-25,"Interdisciplinary Biologist/Soil Conservationist (Biologist...","US Natural Resources Conservation Service",,,"$56,705 - $89,185 a year",,,"Salt Lake City",UT,""
2022-04-26,"FINANCIAL SYSTEMS ANALYST","US Office of the Secretary of the Interior",doi.gov,"Government Administration","$81,216 - $105,579 a year",,,"Salt Lake City",UT,""
2022-04-26,"PERSONNEL PSYCHOLOGIST","US Citizenship and Immigration Services",uscis.gov,"Government Administration","$95,973 - $124,764 a year",,,"Salt Lake City",UT,""
2022-04-26,"Data Acquisition Specialist",Equifax,equifax.com,"Information Technology & Services",,Remote,,"Remote in Salt Lake City",UT,"84101"
2022-04-25,"Research Mathematical Statistician","US Forest Service",el-doradorcd.com,,"$66,214 - $94,373 a year",,,"Salt Lake City",UT,""
2022-04-26,"District Manager","Public Storage",publicstorage.com,"Real Estate","$117,000 a year",,,"Salt Lake City",UT,""
2022-04-25,"Social Worker","US Veterans Health Administration",va.gov,"Government Administration","$79,363 - $103,176 a year",,,"Salt Lake City",UT,""
2022-04-26,"Data Specialist","Myriad Genetics Inc.",myriad.com,Biotechnology,,,"East Bench area","Salt Lake City",UT,"84108"
2022-04-26,"Real Estate Analyst","Extra Space Storage",extraspace.com,"Real Estate",,,,"Salt Lake City",UT,""
2022-04-25,"Financial Customer Service Associate - Salt Lake City","Fidelity Investments",smcc.edu,"Higher Education",,,,"Salt Lake City",UT,"84104"
2022-04-26,"Store Support Supervisor (Customer Service, Front End Suppor...","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,,"Salt Lake City",UT,"84121"
2022-04-26,"Health Science Specialist-Research Data Manager","US Veterans Health Administration",va.gov,"Government Administration","$79,363 - $103,176 a year",,,"Salt Lake City",UT,""
2022-04-26,"Merchandiser (Part Time)","Red Bull Distribution Company",redbulldistributioncompany.com,"Food & Beverages",,,,"Salt Lake City",UT,""
2022-04-26,"IT SPECIALIST (POLICY AND PLANNING)","U.S. Army Corps of Engineers",army.milx,,"$79,363 - $103,176 a year",Remote,,"Temporarily Remote in Salt Lake City",UT,""
2022-04-26,"Warehouse Materials Handler- Weekend","O'Reilly Auto Parts",oreillyauto.com,Retail,,,,"Salt Lake City",UT,""
2022-04-26,"Inside Sales Representative - Solar",Codale,codale.com,Wholesale,,,,"Salt Lake City",UT,""
2022-04-26,"Warehouse Worker (Full Time, Day Shift)","Cardinal Health",cardinalhelath.com,,"$19.31 an hour",,,"Salt Lake City",UT,"84119"
2022-04-25,"Sales and Service Leader",Sephora,sephora.ch,,,,"Downtown area","Salt Lake City",UT,"84101"
2022-04-26,"Independent Contractor - LCSW/MSW Support","Friends of the Children",friendsofthechildren.com,Retail,"$38.1K - $48.3K a year",,,"Salt Lake City",UT,""
2022-04-26,"Medical Payment Specialist II","Global Payments",globalpayments.com,"Financial Services",,,,"Salt Lake City",UT,""
2022-04-26,"Test Tech - Third Shift","Varex Imaging",vareximaging.com,"Mechanical Or Industrial Engineering",,,,"Salt Lake City",UT,""
2022-04-26,"Special Projects Producer","Sinclair Broadcast Group",sbgi.net,"Broadcast Media",,,"Downtown area","Salt Lake City",UT,"84111"
2022-04-24,"Customer Relationship Advocate- Salt Lake City, UT","Fidelity Investments",smcc.edu,"Higher Education",,,,"Salt Lake City",UT,"84104"
2022-04-25,"Natural Resource Biologist","U.S. Fish and Wildlife Service",fws.gov,"Government Administration","$94,373 - $122,683 a year",Remote,,"Temporarily Remote in Salt Lake City",UT,""
2022-04-26,"Inside Sales","Overhead Door Corporation",overheaddoor.ca,Construction,,,,"Salt Lake City",UT,""
2022-04-26,"Business Operations Analyst","NICE CXone",niceincontact.com,"Computer Software","$50.1K - $63.5K a year",,,"Salt Lake City",UT,""
2022-04-26,"Field Computer Specialist",U-Haul,uhaul.com,Retail,,,,"Salt Lake City",UT,"84107"
2022-04-26,"E-Commerce Fulfillment Lead","Sportsman's Warehouse",sportsmans.com,Retail,,,,"Salt Lake City",UT,"84104"
2022-04-26,"Clinical Trial Recruitment Representative FT - Salt Lake Cit...","PRA Health Sciences",,,,,,"Salt Lake City",UT,""
2022-04-26,"Warehouse Associate",Codale,codale.com,Wholesale,"$28.9K - $36.7K a year",,,"Salt Lake City",UT,""
