DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-12-09,"House Cleaner / Housekeeper","Lime Maids",,,"up to $27 an hour",,,Burlington,VT,""
2022-12-06,"Homeless Outreach Services Provider","Champlain Valley Office of Economic Opportunity",,,"$47,482 - $60,070 a year",,,Burlington,VT,"5401"
2022-12-08,"Code Enforcement Inspector","Burlington, VT",,,,,,,,""
2022-12-06,"Security Officer, Evenings (Weekends Included)","The University of Vermont Medical Center",,,"$17.00 - $25.50 an hour",,,Burlington,VT,"5401"
2022-12-07,"Security Officer","The University of Vermont Medical Center",,,"$17.00 - $25.50 an hour",,,Burlington,VT,"5401"
2022-12-08,"Airport Fire Fighter","State of Vermont",,,"$21.10 an hour",,,Burlington,VT,""
2022-12-07,"Staff Auditor - Insurance",Crowe,crowe.com,Accounting,"estimated $52k - $65.8k a year",,,"Hybrid remote in Burlington",VT,"5401"
2022-12-06,"Volunteer Income Tax Assistance Program Specialist","Champlain Valley Office of Economic Opportunity",,,"$21.02 - $21.93 an hour",,,Burlington,VT,"5401"
2022-12-08,"Records Systems Coordinator","Champlain College",,,"estimated $43.9k - $55.5k a year",,,Burlington,VT,"5401"
2022-12-06,"Family Housing Voucher Program Administrator","Champlain Valley Office of Economic Opportunity",,,"$47,221 - $59,027 a year",,,Burlington,VT,"5401"
2022-12-08,"Administrative Assistant","University of Vermont",uvm.edu,"Colleges & Universities",,,,Burlington,VT,""
2022-12-06,"Housing Services and Assistance Specialist","Champlain Valley Office of Economic Opportunity",,,"$22.64 an hour",,,Burlington,VT,"5401"
2022-12-06,"Building Access Specialist","University of Vermont",uvm.edu,"Colleges & Universities",,,,Burlington,VT,""
2022-12-08,"Administrative Assistant","University of Vermont",uvm.edu,"Colleges & Universities",,,,Burlington,VT,""
2022-12-07,"Patient Service Specialist Neurology","The University of Vermont Medical Center",,,"$16.30 - $24.11 an hour",,,Burlington,VT,""
2022-12-07,"Administrative Assistant- Anesthesiology Department","The University of Vermont Medical Center",,,"$17.60 - $26.41 an hour",,,Burlington,VT,"5401"
2022-12-06,"Security Officer Distribution Center","Allied Universal®",,,"$20.63 an hour",,,Burlington,VT,"5401"
2022-12-07,"Student Financial Services Counselor","University of Vermont",uvm.edu,"Colleges & Universities",,,,Burlington,VT,""
2022-12-07,"Student Financial Services Counselor","University of Vermont",uvm.edu,"Colleges & Universities",,,,Burlington,VT,""
2022-12-08,"Compass Service Representative","Champlain College",,,"estimated $29.2k - $37k a year",,,Burlington,VT,"5401"
2022-12-07,"Treasury Specialist","University of Vermont",uvm.edu,"Colleges & Universities",,,,Burlington,VT,""
2022-12-07,"Compensation Analyst","University of Vermont",uvm.edu,"Colleges & Universities",,,,Burlington,VT,""
2022-12-06,"Facilities Repairperson","University of Vermont",uvm.edu,"Colleges & Universities",,,,Burlington,VT,""
2022-12-06,"Laboratory Research Technician","University of Vermont",uvm.edu,"Colleges & Universities",,,,Burlington,VT,""
2022-12-07,"Territory Sales Representative",Staples,staples.com,"Business Supplies & Equipment",,,,Burlington,VT,""
2022-12-07,"Medical Assistant I Full Time Dermatology","The University of Vermont Medical Center",,,"$16.30 - $24.11 an hour",,,Burlington,VT,"5401"
2022-12-07,"Visual Lead/Keyholder",Burton,burton.com,"Sporting Goods","estimated $47.4k - $60.1k a year",,,Burlington,VT,"5401"
2022-12-06,"Sterilization Dental Assistant","Community Health Centers of Burlington",,,"estimated $41.4k - $52.4k a year",,,Burlington,VT,"5401"
2022-12-08,"Airport Fire Fighter - Limited Service","State of Vermont",,,"$21.10 an hour",,,Burlington,VT,""
2022-12-06,"Early Education Teacher","Burlington Children's Space",,,"$19 - $24 an hour",,,Burlington,VT,"5401"
2022-12-06,"Lab Research Technician","University of Vermont",uvm.edu,"Colleges & Universities",,,,Burlington,VT,""
2022-12-07,"CAS Administrative Coordinator","University of Vermont",uvm.edu,"Colleges & Universities",,,,Burlington,VT,""
2022-12-06,"Medical Assistant II - Hematology/Oncology","The University of Vermont Medical Center",,,"$17.00 - $25.50 an hour",,,Burlington,VT,"5401"
2022-12-06,"Asst Field Hockey Coach","University of Vermont",uvm.edu,"Colleges & Universities",,,,Burlington,VT,""
2022-12-08,"Lecturer, Ecological Landscape & Community-Centered Design","University of Vermont",uvm.edu,"Colleges & Universities",,,,Burlington,VT,""
2022-12-08,Lecturer,"University of Vermont",uvm.edu,"Colleges & Universities",,,,Burlington,VT,""
2022-12-07,"Registered Nurse II- Women's Health","The University of Vermont Medical Center",,,"$34.03 - $54.20 an hour",,,Burlington,VT,"5401"
2022-12-06,"Ambulatory RN II - Pediatric Endocrinology","The University of Vermont Medical Center",,,"$34.03 - $54.20 an hour",,,Burlington,VT,"5401"
2022-12-07,"Pharmacy Technician Trainee","CVS Pharmacy",cvs.co,Pharmaceuticals,"$18 - $22 an hour",,,Burlington,VT,"5401"
2022-12-09,"Clinical Patient Safety Attendant","The University of Vermont Medical Center",,,"$16.30 - $24.11 an hour",,,Burlington,VT,"5401"
2022-12-06,"Front Desk Team Member","Play Dog Play",,,"from $16 an hour",,,Burlington,VT,"5401"
2022-12-08,"Newly Renovated Rotary Dunkin' Crew Member","Vermont Donuts",,,"$14 - $16 an hour",,,Burlington,VT,"5401"
2022-12-07,"Field Service Cable Tech Beginner Training provided near to BURLINGTON-VT","MasTec Advanced Technologies",mastec.com,Telecommunications,"$50,000 - $70,000 a year",,,Burlington,VT,"5401"
2022-12-07,"Retail Management Trainee","Price Chopper",pricechopper.com,Supermarkets,"estimated $37.1k - $46.9k a year",,,Burlington,VT,""
2022-12-08,"Customer Service Representative","Turning Point Industries",,,"$550 - $800 a week",,,Burlington,VT,"5401"
2022-12-08,"Food Services Specialist","Lund Family Center",,,"$16 - $19 an hour",,,Burlington,VT,"5401"
2022-12-07,"Employment Advisor: Project Hire","Howard Center",,,"from $21.24 an hour",,,Burlington,VT,"5401"
2022-12-08,"Entry-level Field Service Technician","MasTec Advanced Technologies",mastec.com,Telecommunications,"$50,000 - $70,000 a year",,,Burlington,VT,"5408"
2022-12-08,ADNS,"Burlington, VT 05408",,,"$10,000 annual retention bonus on top of…",,,,,""
2022-12-07,"Seeking Teachers for Older Toddler and Preschool classrooms","ONE Arts Community School",,,"$17.50 - $21.00 an hour",,,Burlington,VT,"5401"
2022-12-08,"Counter Sales","Curtis Lumber Co Inc",,,"estimated $27.4k - $34.7k a year",,,Burlington,VT,"5401"
2022-12-08,"Medical Center Campus needs Garage Valet Attendant","UPP Global",,,"$15 - $20 an hour",,,Burlington,VT,"5405"
2022-12-06,Barista,"Kestrel Coffee Roasters",,,"$15 - $18 an hour",,,Burlington,VT,"5401"
2022-12-08,"Program Management Assistant","Lund Family Center",,,"$32,240 - $38,240 a year",,,Burlington,VT,"5401"
2022-12-08,Custodian,"Cathedral Square",cathedralsquare.org,"Nonprofit Organization Management","estimated $28.5k - $36.1k a year",,,Burlington,VT,"5401"
2022-12-08,"Evening Residential Counselor","Lund Family Center",,,"$19 - $21 an hour",,,Burlington,VT,"5401"
2022-12-07,"Housekeeping Houseperson","Hilton Garden Inn Burlington Downtown",,,"$18.00 - $18.50 an hour",,,Burlington,VT,"5401"
2022-12-07,"RCA (FT)",CONVERSEHOME.COM,,,"$16 - $18 an hour",,,Burlington,VT,""
2022-12-07,"Vet Tech for Mobile Practice","Paws At Home",,,"$17 - $22 an hour",,,Burlington,VT,""
2022-12-07,"Specialist Order to Cash - Remote","Advantage Solutions",advantageservicesolutions.com,,"estimated $30.5k - $38.6k a year",Remote,,"Remote in Burlington",VT,"5401"
2022-12-07,"Caregiver - Day Shift","Home Care Assistance of Greater Burlington",,,"$17 - $20 an hour",,,Burlington,VT,"5405"
2022-12-08,"Facilities Maintenance Technician","Lund Family Center",,,"$16 - $21 an hour",,,Burlington,VT,"5401"
2022-12-06,"Home Health Aide (HHA)","Preferred Care at Home of Champlain Valley",,,"$16 - $21 an hour",,,Burlington,VT,""
2022-12-06,"APP Long Term Care Permanent Position","WorkFit Medical, LLC",,,"$110,000 - $225,000 a year",,,Burlington,VT,"5405"
2022-12-07,"Field Service Technician","Alta Equipment Company",altaequipment.com,Machinery,"estimated $43.3k - $54.9k a year",,,Burlington,VT,"5403"
2022-12-08,"Dayshift Residential Counselor","Lund Family Center",,,"$19 - $21 an hour",,,Burlington,VT,"5401"
2022-12-08,"Family Educator - Home Visitor","Lund Family Center",,,"$18 - $22 an hour",,,Burlington,VT,"5401"
