DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-02-22,"Document Processor","Checkered Flag Motors",checkeredflag.com,Automotive,,,"North Central area","Virginia Beach",VA,"23452"
2022-02-22,"Entry Level Security Officer",Securitas,securitasantias.com,"Security & Investigations",,,,"Virginia Beach",VA,""
2022-02-22,"Front Desk Receptionist","America's Best",americasbest.com,Retail,,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-02-22,"Sales Coordinator","Sheraton Virginia Beach Oceanfront",,,,,"The North End area","Virginia Beach",VA,"23451"
2022-02-22,"2nd Shift- Maintenance Technician","IMS Gear GmbH",,,,,,"Virginia Beach",VA,""
2022-02-20,"ECOMMERCE OPERATIONS REPRESENTATIVE","Navy Exchange Service Command",nexweb.org,,,,"Kings Grant area","Virginia Beach",VA,"23452"
2022-02-22,"Utility Worker","Atlantic Shores Retirement Community",atlanticshoresliving.com,"Health, Wellness & Fitness",,,,"Virginia Beach",VA,"23454"
2022-02-22,"Cashier - Service Associate FT","Rite Aid",riteaid.com,Retail,,,"Kempsville area","Virginia Beach",VA,"23464"
2022-02-22,"Customer Service Rep-Self Storage Mgr","Public Storage",publicstorage.com,"Real Estate","$13 an hour",,,"Virginia Beach",VA,""
2022-02-22,"Deli Bakery Clerk","Harris Teeter",harristeeter.com,Supermarkets,,,,"Virginia Beach",VA,""
2022-02-22,"Patient Coordinator","Ivy Rehab",ivyrehab.com,"Health, Wellness & Fitness",,,,"Virginia Beach",VA,"23464"
2022-02-22,"Lead Custodian","Virginia Community College System",vccs.edu,"Higher Education","$26,208 - $32,000 a year",,,"Virginia Beach",VA,""
2022-02-20,Dishwasher,"Three Notch'd Brewing Company, LLC",threenb.com,"Food & Beverages",,,"Northwest area","Virginia Beach",VA,"23462"
2022-02-22,"FT-Sales Associate - Plumbing-Day",Lowe's,lowes.com,Retail,,,"North Central area","Virginia Beach",VA,"23452"
2022-02-21,"Sales Development Representative","Breakthru Beverage Group",breakthrubev.com,Wholesale,,,"Bayside area","Virginia Beach",VA,"23455"
2022-02-22,"FT-Sales Specialist - Millwork-Day",Lowe's,lowes.com,Retail,,,"Great Neck area","Virginia Beach",VA,"23454"
2022-02-20,"Assistant Store Manager",francesca's,francescas.com,Retail,,,"North Central area","Virginia Beach",VA,"23452"
2022-02-22,"Tradesperson 1/Mechanical","Alion Science and Technology",alionscience.com,"Defense & Space",,,,"Virginia Beach",VA,""
2022-02-20,"Retail Store Supervisor","Burlington Stores",burlingtonstores.jobs,,,,"Mears Corner area","Virginia Beach",VA,"23464"
2022-02-20,"Retail Store Supervisor","Burlington Stores",burlingtonstores.jobs,,,,"Kings Grant area","Virginia Beach",VA,"23452"
2022-02-22,"Sales Associate - Optical","America's Best",americasbest.com,Retail,,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-02-22,"Speech Language Pathologist In-house position at Thalia Gard...","Thalia Gardens Rehabilitation and Nursing",,,,,"Thalia area","Virginia Beach",VA,"23452"
2022-02-21,"Lobby Attendant","Crowne Plaza - Virginia Beach Town Center",,,"$12 an hour",,"Northwest area","Virginia Beach",VA,"23462"
2022-02-22,"Teachers at Diamond Springs KinderCare","KinderCare Education",kcecareers.com,"Education Management",,,"Northwest area","Virginia Beach",VA,"23455"
2022-02-22,"Optometric Tech - Medical Assistant","America's Best",americasbest.com,Retail,,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-02-22,"Teachers at Rosemont KinderCare","KinderCare Education",kcecareers.com,"Education Management",,,"Kings Grant area","Virginia Beach",VA,"23452"
2022-02-22,"Resident Care Associate","Commonwealth Senior Living",commonwealthsl.com,"Hospital & Health Care",,,"Kings Grant area","Virginia Beach",VA,"23452"
2022-02-20,"Physical Therapy Assistant","Sentara Healthcare",sentara.com,"Hospital & Health Care",,,,"Virginia Beach",VA,""
2022-02-22,"Assistant Teacher","KinderCare Education",kcecareers.com,"Education Management",,,,"Virginia Beach",VA,"23451"
2022-02-21,"Elementary School Teacher",GetSelected.com,getselected.com,"Staffing & Recruiting",,,,"Virginia Beach",VA,""
2022-02-20,"Clinical Exercise Specialist","Sentara Healthcare",sentara.com,"Hospital & Health Care",,,,"Virginia Beach",VA,""
2022-02-22,Psychologist,"Advanced Correctional Healthcare",advancedch.com,"Hospital & Health Care",,,,"Virginia Beach",VA,""
2022-02-22,"Registered Medication Associate (R.M.A.)","Commonwealth Senior Living",commonwealthsl.com,"Hospital & Health Care",,,"Kings Grant area","Virginia Beach",VA,"23452"
2022-02-22,"Assistant Teacher","KinderCare Education",kcecareers.com,"Education Management",,,,"Virginia Beach",VA,"23451"
2022-02-22,"Assistant Teacher","KinderCare Education",kcecareers.com,"Education Management",,,,"Virginia Beach",VA,"23451"
2022-02-22,LPN,"Sentara Healthcare",sentara.com,"Hospital & Health Care",,,,"Virginia Beach",VA,""
2022-02-22,"Teachers at Diamond Springs KinderCare","KinderCare Education",kcecareers.com,"Education Management",,,,"Virginia Beach",VA,"23451"
2022-02-22,"Teachers at Rosemont KinderCare","KinderCare Education",kcecareers.com,"Education Management",,,,"Virginia Beach",VA,"23451"
2022-02-21,"High School Teacher",GetSelected.com,getselected.com,"Staffing & Recruiting",,,,"Virginia Beach",VA,""
2022-02-22,"School Age Teacher","KinderCare Education",kcecareers.com,"Education Management",,,"Kings Grant area","Virginia Beach",VA,"23452"
2022-02-21,"Middle School Teacher",GetSelected.com,getselected.com,"Staffing & Recruiting",,,,"Virginia Beach",VA,""
2022-02-21,"Secondary English/ELA Teacher",GetSelected.com,getselected.com,"Staffing & Recruiting",,,,"Virginia Beach",VA,""
2022-02-21,"Secondary Math/Science Teacher",GetSelected.com,getselected.com,"Staffing & Recruiting",,,,"Virginia Beach",VA,""
2022-02-22,"School Age Teacher","KinderCare Education",kcecareers.com,"Education Management",,,,"Virginia Beach",VA,"23451"
2022-02-20,"Part Time Litter Cleanup ($20+ per hour)","Mokena Lot Cleaners",mokenalotcleaners.com,"Facilities Services","$20 - $25 an hour",,,"Virginia Beach",VA,""
2022-02-22,"Crew Member Food Service",Chick-fil-A,chick-fil-afoundation.org,Philanthropy,"Up to $15 an hour",,"Princess Anne area","Virginia Beach",VA,"23454"
2022-02-22,"Kitchen Staff Crew Member",Chick-fil-A,chick-fil-afoundation.org,Philanthropy,"Up to $15 an hour",,"Princess Anne area","Virginia Beach",VA,"23454"
2022-02-22,"Front Desk Medical Receptionist","Lifeway Family Physicians",,,,,"Alanton area","Virginia Beach",VA,"23454"
2022-02-22,"Food Service Crew Member",Chick-fil-A,chick-fil-afoundation.org,Philanthropy,"Up to $15 an hour",,"Great Neck area","Virginia Beach",VA,"23451"
2022-02-22,"Document Processor","Checkered Flag Motor Car Company",,,,,"North Central area","Virginia Beach",VA,"23452"
2022-02-22,"Kitchen Crew Member Staff",Chick-fil-A,chick-fil-afoundation.org,Philanthropy,"Up to $15 an hour",,"Great Neck area","Virginia Beach",VA,"23451"
2022-02-22,"Team Member Food Service AM Shift",Chick-fil-A,chick-fil-afoundation.org,Philanthropy,"Up to $15 an hour",,,"Virginia Beach",VA,"23453"
2022-02-22,"Crew Member Kitchen Staff AM Shift",Chick-fil-A,chick-fil-afoundation.org,Philanthropy,"Up to $15 an hour",,"Bayside area","Virginia Beach",VA,"23455"
2022-02-22,"Executive Receptionist","Office Space & Solutions",,,"$13 - $14 an hour",,"Pembroke area","Virginia Beach",VA,"23462"
2022-02-22,"POSH Virtual Receptionists - Virginia Beach VA",POSH,poshmark.com,Internet,"$19 an hour",,"Thalia area","Virginia Beach",VA,"23452"
2022-02-22,"Warehouse Distribution","17th Street Surf Shop",,,"$11 - $15 an hour",,"Naval Air Station Oceana area","Virginia Beach",VA,"23453"
2022-02-22,"Crew Member Kitchen Staff PM Shift",Chick-fil-A,chick-fil-afoundation.org,Philanthropy,"Up to $15 an hour",,"Bayside area","Virginia Beach",VA,"23455"
2022-02-22,"Team Member Food Service PM Shift",Chick-fil-A,chick-fil-afoundation.org,Philanthropy,"Up to $15 an hour",,,"Virginia Beach",VA,"23453"
2022-02-22,"Administrative Specialist","Adler Therapy Group",adlertherapygroup.com,"Medical Practice","$14 - $18 an hour",,"Kempsville area","Virginia Beach",VA,"23462"
2022-02-22,"Sales Representative-Food Distribution","International Gourmet Foods, Inc.",,,"From $52,000 a year",,,"Virginia Beach",VA,""
2022-02-21,"Cashier/Counter Person","Pungo Pizza & Ice Cream",pungopizza.com,Restaurants,,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-02-22,"Customer Service Advisor","Jiffy Lube Team Lucor",lucorjiffylube.com,,,,"Kempsville area","Virginia Beach",VA,"23462"
