DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-11-24,"Armed Security Officer (PSO) -","Paragon Systems, Inc.",parasys.com,"Security & Investigations","$24.41 an hour",,"Seatack area)","Virginia Beach",VA,"23451"
2022-11-22,"Inventory Control Lead","Busch Vacuum Solutions",buschvacuum.com,Machinery,"estimated $47.7k - $60.3k a year",,,"Virginia Beach",VA,""
2022-11-22,"Office Associate II","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education","$15.98 - $23.30 an hour",,"Princess Anne area)","Virginia Beach",VA,"23456"
2022-11-22,"Inside Sales Representative","Abrams Realty",abramshomes.com,"Real Estate","estimated $49.6k - $62.8k a year",,,"Virginia Beach",VA,""
2022-11-22,"Pre-Kindergarten Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education","$17.29 an hour",,"Princess Anne area)","Virginia Beach",VA,"23456"
2022-11-22,"Payroll Clerk","Checkered Flag Motors",checkeredflag.com,Automotive,"estimated $31.4k - $39.8k a year",,"Kempsville area)","Virginia Beach",VA,"23462"
2022-11-22,"Grade 3 Teacher","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education","estimated $55.9k - $70.8k a year",,"Princess Anne area)","Virginia Beach",VA,"23456"
2022-11-22,"Admissions Coordinator","Atlantic Shores Retirement Community",atlanticshoresliving.com,"Health, Wellness & Fitness","estimated $33.5k - $42.4k a year",,,"Virginia Beach",VA,"23454"
2022-11-20,"Underwriter Trainee","Sentara Healthcare",sentara.com,"Hospital & Health Care",,,"Northwest area)","Virginia Beach",VA,"23462"
2022-11-22,"BH/DS Assistant","City of Virginia Beach",vbgov.com,"Government Administration","$33,804 - $52,397 a year",,,"Virginia Beach",VA,""
2022-11-22,"Real Estate Agent | Only $100 Year | No MLS or Realtor Fees!","Realty Connect",,,"$50,000 - $175,000 a year",,,"Virginia Beach",VA,""
2022-11-22,"CAD Technician - Infrastructure","Timmons Group",timmons.com,"Civil Engineering","estimated $45.8k - $58k a year",,"Princess Anne Plaza area)","Virginia Beach",VA,"23452"
2022-11-22,"Full-Time Store Associate",ALDI,aldi.pl,Retail,"$16 an hour",,,"Virginia Beach",VA,""
2022-11-22,"3rd Party Customer Experience Associate","AvalonBay Communities",avalonbaycommunities.com,,,,"North Central area)","Virginia Beach",VA,"23452"
2022-11-22,"Member Service Representative","ABNB Federal Credit Union",abnbfcu.org,"Financial Services","estimated $28.4k - $36k a year",,"Princess Anne area)","Virginia Beach",VA,"23454"
2022-11-22,"Retail Merchandise Stocker","O'Reilly Auto Parts",oreillyauto.com,Retail,,,"Kempsville area)","Virginia Beach",VA,"23462"
2022-11-22,"General Manager - 1581 Gen. Booth Blvd. #115 - L:earn to Franchise","Domino's Corporate",,,"estimated $46.7k - $59.1k a year",,"Macons Corner area)","Virginia Beach",VA,"23454"
2022-11-22,"Crew Member (Traffic Flagger)","Flagger Force Traffic Control Services",flaggerforce.com,Construction,"$15 an hour",,,"Virginia Beach",VA,""
2022-11-20,"Rehab Director","Legacy Healthcare Services",legacyinc.com,"Hospital & Health Care","estimated $69.9k - $88.5k a year",,"Thoroughgood area)","Virginia Beach",VA,"23455"
2022-11-22,"Member Service Representative","ABNB Federal Credit Union",abnbfcu.org,"Financial Services","estimated $28.4k - $36k a year",,"Northwest area)","Virginia Beach",VA,"23455"
2022-11-20,"Cashier - Service Associate FT","Rite Aid",riteaid.com,Retail,"estimated $29.7k - $37.6k a year",,"Kempsville area)","Virginia Beach",VA,"23462"
2022-11-21,"Delivery Biker (04217) - 212 18th St","Domino's Corporate",,,"estimated $28.3k - $35.8k a year",,"Seatack area)","Virginia Beach",VA,"23451"
2022-11-20,"FT Deli Bakery Sales Associate","Food Lion",foodlion.com,Retail,,,"Mears Corner area)","Virginia Beach",VA,"23464"
2022-11-21,"Delivery Driver (04215) Mileage Reimbursement - 368 Newtown Rd","Domino's Corporate",,,"estimated $28.1k - $35.6k a year",,"Kempsville area)","Virginia Beach",VA,"23462"
2022-11-22,"Teachers at College Park KinderCare","KinderCare Education",kcecareers.com,"Education Management",,,"Mears Corner area)","Virginia Beach",VA,"23464"
2022-11-22,"HR IDD Direct Support Professional","VOLUNTEERS OF AMERICA CHESAPEAKE AND CAROLINAS,...",,,"estimated $29.8k - $37.8k a year",,,"Virginia Beach",VA,""
2022-11-22,"Hyundai Auto Detailer","Checkered Flag Motors",checkeredflag.com,Automotive,"estimated $27.7k - $35.1k a year",,"North Central area)","Virginia Beach",VA,"23452"
2022-11-21,"Crew Member (04227) 1581 General Booth Blvd","Domino's Corporate",,,"estimated $22k - $27.8k a year",,"Macons Corner area)","Virginia Beach",VA,"23454"
2022-11-21,"Crew Member (04217) 212 18th St","Domino's Corporate",,,"estimated $21.1k - $26.7k a year",,"Seatack area)","Virginia Beach",VA,"23451"
2022-11-22,"Urgent Care Veterinarian Role J180458","Global Talent Partners",,,"$100,000 - $140,000 a year",,,"Virginia Beach",VA,""
2022-11-22,"Volkswagen Service Valet","Checkered Flag Motors",checkeredflag.com,Automotive,"estimated $24.7k - $31.2k a year",,"North Central area)","Virginia Beach",VA,"23452"
2022-11-20,"FT-Sales Specialist - Cabinets-Day",Lowe's,lowes.com,Retail,,,"Great Neck area)","Virginia Beach",VA,"23454"
2022-11-20,"FT-Sales Specialist - Millwork-Day",Lowe's,lowes.com,Retail,,,"North Central area)","Virginia Beach",VA,"23452"
