DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
3/1/2022,"Academic Advisor","Virginia Community College System",vccs.edu,"Higher Education","$38,000 - $52,000 a year",,,"Virginia Beach",VA,""
2/27/2022,"Family Services Specialist I","City of Virginia Beach",vbgov.com,"Government Administration","$47,278 - $69,306 a year",,,"Virginia Beach",VA,""
3/1/2022,"Deputy Clerk","Virginia Juvenile & Domestic Relations Distr...",,,"$32,212 a year",,,"Virginia Beach",VA,""
3/1/2022,"Document Processor","Checkered Flag Motors",checkeredflag.com,Automotive,"$26.7K ? $33.7K a year",,"North Central area","Virginia Beach",VA,"23452"
3/1/2022,"PE Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
3/1/2022,"PE Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
3/1/2022,"Reservations Agent","Hilton Virginia Beach Oceanfront",hiltonvb.com,Hospitality,"$24.2K ? $30.6K a year",,"Seatack area","Virginia Beach",VA,"23451"
2/27/2022,"MERCHANDISER TRAINEE","Navy Exchange Service Command",nexweb.org,,,,"Kings Grant area","Virginia Beach",VA,"23452"
3/1/2022,"Leasing Specialist","Preservation Management, Inc.",preservationmanagement.com,"Real Estate","$26.8K ? $34K a year",,,"Virginia Beach",VA,""
3/1/2022,"Sales Coordinator","Sheraton Virginia Beach Oceanfront",,,,,"The North End area","Virginia Beach",VA,"23451"
3/1/2022,"School Administrative Associate I","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
3/1/2022,"Banquet Setup Attendant","Sheraton Virginia Beach Oceanfront",,,"$20.6K ? $26K a year",,"The North End area","Virginia Beach",VA,"23451"
3/1/2022,"Child Care Teacher","Hampton Roads Shared Service Alliance (HRSSA)",hrssa.org,,"$11 - $15 an hour",,"Northwest area","Virginia Beach",VA,"23471"
3/1/2022,Security,"Sheraton Virginia Beach Oceanfront",,,"$33K ? $41.8K a year",,"The North End area","Virginia Beach",VA,"23451"
3/1/2022,"Host or Hostess","Sheraton Virginia Beach Oceanfront",,,"$20.5K ? $25.9K a year",,"The North End area","Virginia Beach",VA,"23451"
3/1/2022,"Dining Room Attendant","Sheraton Virginia Beach Oceanfront",,,"$22.2K ? $28.2K a year",,"The North End area","Virginia Beach",VA,"23451"
3/1/2022,"Special Education Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
3/1/2022,"Room Attendant","Hilton Virginia Beach Oceanfront",hiltonvb.com,Hospitality,"$24.3K ? $30.7K a year",,"Seatack area","Virginia Beach",VA,"23451"
3/1/2022,"Banquet Server","Hilton Virginia Beach Oceanfront",hiltonvb.com,Hospitality,,,"Seatack area","Virginia Beach",VA,"23451"
2/27/2022,"Verizon Specialist","Best Buy",bestbuy.com,Retail,,,"Kempsville area","Virginia Beach",VA,"23462"
3/1/2022,"Loan Specialist - Virginia Beach, VA","Veterans United Home Loans",vu.com,,,,,"Virginia Beach",VA,""
3/1/2022,"Relationship Banker - VA Beach/Chesapeake Market - Red Mill...","Bank of America",appianrx.com,"Hospital & Health Care",,,"Princess Anne area","Virginia Beach",VA,"23456"
3/1/2022,"Server Assistant","Hilton Virginia Beach Oceanfront",hiltonvb.com,Hospitality,"$21.9K ? $27.7K a year",,"Seatack area","Virginia Beach",VA,"23451"
3/1/2022,"Food Runner","Hilton Virginia Beach Oceanfront",hiltonvb.com,Hospitality,"$22.2K ? $28K a year",,"Seatack area","Virginia Beach",VA,"23451"
3/1/2022,"Banquet Bartender","Sheraton Virginia Beach Oceanfront",,,,,"The North End area","Virginia Beach",VA,"23451"
3/1/2022,"Catch 31 Barback","Hilton Virginia Beach Oceanfront",hiltonvb.com,Hospitality,,,"Seatack area","Virginia Beach",VA,"23451"
3/1/2022,"Housekeeping Supervisor","Sheraton Virginia Beach Oceanfront",,,"$27.7K ? $35.1K a year",,"The North End area","Virginia Beach",VA,"23451"
3/1/2022,"Retail Lead Associate","Goodwill of Central and Coastal Virginia",goodwillvirginia.org,"Nonprofit Organization Management",,,,"Virginia Beach",VA,"23453"
3/1/2022,"Mortgage Loan Coordinator","The Old Point National Bank",oldpoint.com,Banking,,,,"Virginia Beach",VA,"23451"
2/27/2022,"Pharmacy Technician - Inpatient","Sentara Healthcare",sentara.com,"Hospital & Health Care",,,,"Virginia Beach",VA,""
2/27/2022,"CUSTOMER SERVICE REPRESENTATIVE (UNIFORM/E-COMMERCE)","Navy Exchange Service Command",nexweb.org,,,,"Kings Grant area","Virginia Beach",VA,"23452"
3/1/2022,"Guest Service Agent","Hilton Virginia Beach Oceanfront",hiltonvb.com,Hospitality,"$21.7K ? $27.5K a year",,"Seatack area","Virginia Beach",VA,"23451"
2/28/2022,Bartender,Chilis,chilis.com,Restaurants,,,"Princess Anne area","Virginia Beach",VA,"23454"
2/28/2022,"Now Hiring Servers",Denny's,dennys.com,Restaurants,,,"Kings Grant area","Virginia Beach",VA,"23452"
2/28/2022,"Now Hiring DIshwasher | Server Assistant",Denny's,dennys.com,Restaurants,,,"Kings Grant area","Virginia Beach",VA,"23452"
2/27/2022,"SIGN MAKER (ELECTRONIC)","Navy Exchange Service Command",nexweb.org,,"$51.5K ? $65.3K a year",,"Kings Grant area","Virginia Beach",VA,"23452"
3/1/2022,"Catch 31 AM Host or Hostess","Hilton Virginia Beach Oceanfront",hiltonvb.com,Hospitality,"$23.7K ? $29.9K a year",,"Seatack area","Virginia Beach",VA,"23451"
3/1/2022,Dishwasher,"Sheraton Virginia Beach Oceanfront",,,"$21.6K ? $27.4K a year",,"The North End area","Virginia Beach",VA,"23451"
3/1/2022,"Sales Coordinator",Sherwin-Williams,myhealthcentre.ca,"Hospital & Health Care",,,,"Virginia Beach",VA,""
3/1/2022,"Night Auditor","Hilton Virginia Beach Oceanfront",hiltonvb.com,Hospitality,"$27.1K ? $34.3K a year",,"Seatack area","Virginia Beach",VA,"23451"
3/1/2022,"Lead Housekeeper - $17/hr",Vacasa,vacasa.com,"Leisure, Travel & Tourism","$17 an hour",,,"Virginia Beach",VA,""
3/1/2022,Barista,"Harris Teeter",harristeeter.com,Supermarkets,,,,"Virginia Beach",VA,""
3/1/2022,Barista,"Harris Teeter",harristeeter.com,Supermarkets,,,,"Virginia Beach",VA,""
2/28/2022,Server,Chilis,chilis.com,Restaurants,,,"Thalia area","Virginia Beach",VA,"23452"
2/28/2022,"To Go",Chilis,chilis.com,Restaurants,"$23.3K ? $29.5K a year",,"Princess Anne area","Virginia Beach",VA,"23454"
2/28/2022,"To Go",Chilis,chilis.com,Restaurants,"$23.3K ? $29.5K a year",,"Thalia area","Virginia Beach",VA,"23452"
2/28/2022,QA/Expeditor,Chilis,chilis.com,Restaurants,"$23.3K ? $29.5K a year",,"Princess Anne area","Virginia Beach",VA,"23454"
2/28/2022,Host,Chilis,chilis.com,Restaurants,"$21.4K ? $27K a year",,"Thalia area","Virginia Beach",VA,"23452"
3/1/2022,"Grade 5 Teacher","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2/28/2022,QA/Expeditor,Chilis,chilis.com,Restaurants,"$23.3K ? $29.5K a year",,"Thalia area","Virginia Beach",VA,"23452"
3/1/2022,"Customer Service Associate",WALGREENS,walgreens.com,Retail,,,"Princess Anne area","Virginia Beach",VA,"23454"
2/27/2022,"Retail Department Supervisor Full Time Now Hiring","TJ Maxx",,,,,"Great Neck area","Virginia Beach",VA,"23454"
3/1/2022,"Hotel Security Guard","Hilton Virginia Beach Oceanfront",hiltonvb.com,Hospitality,"$26.7K ? $33.7K a year",,"Seatack area","Virginia Beach",VA,"23451"
2/28/2022,"LensCrafters - Apprentice Optician",LensCrafters,lenscrafters.com,"Apparel & Fashion",,,"North Central area","Virginia Beach",VA,"23452"
3/1/2022,"Cake Decorator","Harris Teeter",harristeeter.com,Supermarkets,,,,"Virginia Beach",VA,""
3/1/2022,"Custodian I - 12 month night - School Administration Buildin...","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education","$11.60 an hour",,"Princess Anne area","Virginia Beach",VA,"23456"
3/1/2022,"Custodian II - Head Night","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education","$12.43 an hour",,"Princess Anne area","Virginia Beach",VA,"23456"
2/28/2022,"LensCrafters - Apprentice Optician",LensCrafters,lenscrafters.com,"Apparel & Fashion",,,"North Central area","Virginia Beach",VA,"23452"
2/28/2022,"LensCrafters - Assistant Manager",LensCrafters,lenscrafters.com,"Apparel & Fashion",,,"North Central area","Virginia Beach",VA,"23452"
3/1/2022,"Banquet Captain","Sheraton Virginia Beach Oceanfront",,,"$25.7K ? $32.5K a year",,"The North End area","Virginia Beach",VA,"23451"
2/28/2022,Dishwasher,Chilis,chilis.com,Restaurants,"$21.7K ? $27.5K a year",,"Princess Anne area","Virginia Beach",VA,"23454"
3/1/2022,"FT Frozen Food Dairy Associate","Food Lion",foodlion.com,Retail,,,"North Central area","Virginia Beach",VA,"23452"
3/1/2022,"Custodian I","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education","$11.60 an hour",,"Princess Anne area","Virginia Beach",VA,"23456"
2/28/2022,Janitor,Chilis,chilis.com,Restaurants,"$21.9K ? $27.7K a year",,"Princess Anne area","Virginia Beach",VA,"23454"
2/27/2022,"Supply Chain Associate",Fastenal,fastenal.com,Wholesale,,,,"Virginia Beach",VA,"23454"
2/28/2022,"LensCrafters - Assistant Manager",LensCrafters,lenscrafters.com,"Apparel & Fashion",,,"North Central area","Virginia Beach",VA,"23452"
2/27/2022,"Admissions Counselor - Nights","Virginia Beach Psychiatric Center",vbpcweb.com,"Mental Health Care",,,"Alanton area","Virginia Beach",VA,"23454"
3/1/2022,"Custodian I - 12 month, Night (2:30 PM to 11:00 PM)","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education","$11.60 an hour",,"Princess Anne area","Virginia Beach",VA,"23456"
3/1/2022,"Custodian I - 12 month night - Custodial & Distribution Srvc...","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education","$11.60 an hour",,"Princess Anne area","Virginia Beach",VA,"23456"
3/1/2022,"Tracker/ Field Researcher","America Rising Corp",americarisingcorp.com,Research,"$35,000 - $40,000 a year",,,"Virginia Beach",VA,""
3/1/2022,"Project Coordinator","First Atlantic Restoration",firstatlanticfire.com,"Facilities Services","$15 - $19 an hour",,"Kempsville area","Virginia Beach",VA,"23462"
2/27/2022,Bookkeeper,"Pashm Global Management (Oceanfront Hotels)",,,"$35,000 - $45,000 a year",,"North Central area","Virginia Beach",VA,"23452"
3/1/2022,Barista,"Delta by Marriott Virginia Beach Bayfront Suites",,,"$15 an hour",,"Lynnhaven Shores area","Virginia Beach",VA,"23451"
3/1/2022,"Server Support","Tupelo Honey",,,"$29.7K ? $37.5K a year",,"Thalia area","Virginia Beach",VA,"23462"
