DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-15,"Customer Service Rep (04204) - ROOM FOR GROWTH - 1169 Nimmo...","Domino's Corporate",,,"$20.7K – $26.3K a year",,"Princess Anne area","Virginia Beach",VA,"23454"
2022-03-15,"Customer Service Rep (04227) - ROOM FOR GROWTH + FLEXIBLE SC...","Domino's Corporate",,,"$21.4K – $27K a year",,"Macons Corner area","Virginia Beach",VA,"23454"
2022-03-15,"Assistant Manager (04214) - ROOM FOR GROWTH - 2716 Virginia...","Domino's Corporate",,,"$30.3K – $38.3K a year",,"Kings Grant area","Virginia Beach",VA,"23452"
2022-03-15,"Front Desk Agent","Sheraton Virginia Beach Oceanfront",,,"$22.9K – $28.9K a year",,"The North End area","Virginia Beach",VA,"23451"
2022-03-16,"Patient Services Coordinator (Virginia Beach, VA)","Starkey HearCare",allamericanhearing.com,"Hospital & Health Care","$28.2K – $35.6K a year",,"Northwest area","Virginia Beach",VA,"23462"
2022-03-16,"Program Director (full-time)","Tidewater Youth Services Commission",,,"$47,265 - $51,992 a year",,"Seatack area","Virginia Beach",VA,"23451"
2022-03-17,"Full-Time Registered Medication Aide / Med Tech - Atria Virg...","Atria Senior Living",atriaseniorliving.com,"Real Estate","From $15 an hour",,,"Virginia Beach",VA,"23454"
2022-03-17,"Pre-Anesthesia Screening Assoc","Sentara Healthcare",sentara.com,"Hospital & Health Care",,,,"Virginia Beach",VA,""
2022-03-17,"Park Ranger Law Enforcement","Virginia Dept of Conservation & Recreation",,,"$31,746 - $46,355 a year",,,"Virginia Beach",VA,""
2022-03-17,MERCHANDISING,"Home Depot",,,"$26K – $33K a year",,,"Virginia Beach",VA,"23450"
2022-03-15,"General Manager (04214) - ROOM FOR GROWTH - 2716 Virginia Be...","Domino's Corporate",,,"$49.5K – $62.7K a year",,"Kings Grant area","Virginia Beach",VA,"23452"
2022-03-17,"Member Service Representative (Teller)",TowneBank,townebankrva.com,Banking,"$26.5K – $33.5K a year",,,"Virginia Beach",VA,"23451"
2022-03-17,"Community Outreach Assistant","UCS Solutions",,,"$33.4K – $42.2K a year",,,"Virginia Beach",VA,"23454"
2022-03-17,"Fleet Processing Clerk","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism",,,"Kempsville area","Virginia Beach",VA,"23462"
2022-03-16,"Tech – Courtesy","Grease Monkey",greasemonkeyauto.com,"Individual & Family Services","$27.2K – $34.4K a year",,,"Virginia Beach",VA,""
2022-03-17,"Registered Medication Associate (R.M.A.)","Commonwealth Senior Living",commonwealthsl.com,"Hospital & Health Care","$32.1K – $40.7K a year",,"Kings Grant area","Virginia Beach",VA,"23452"
2022-03-17,"FT-Merchandising Service Associate-Day",Lowe's,lowes.com,Retail,,,"North Central area","Virginia Beach",VA,"23452"
2022-03-15,Dishwasher,"Sheraton Virginia Beach Oceanfront",,,"$21.8K – $27.6K a year",,"The North End area","Virginia Beach",VA,"23451"
2022-03-15,"Member Service Representative (Teller)",TowneBank,townebankrva.com,Banking,"$26.2K – $33.2K a year",,"Alanton area","Virginia Beach",VA,"23454"
2022-03-15,"LEAD MEDICAL SUPPORT ASSISTANT","US Veterans Health Administration",va.gov,"Government Administration","$45,118 - $58,649 a year",,,"Virginia Beach",VA,""
2022-03-17,"Member Service Representative (Teller)",TowneBank,townebankrva.com,Banking,"$26.5K – $33.5K a year",,,"Virginia Beach",VA,"23451"
2022-03-16,"Security Officer (10 Month)","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-03-15,"Housekeeping Supervisor","Sheraton Virginia Beach Oceanfront",,,"$27.5K – $34.9K a year",,"The North End area","Virginia Beach",VA,"23451"
2022-03-17,"Relationship Banker - Virginia Beach Market - Virginia Beach...","Bank of America",appianrx.com,"Hospital & Health Care",,,"Alanton area","Virginia Beach",VA,"23454"
2022-03-15,"Dining Room Attendant","Sheraton Virginia Beach Oceanfront",,,"$21.3K – $26.9K a year",,"The North End area","Virginia Beach",VA,"23451"
2022-03-15,"Delivery Driver (04204) - Cash Tips Daily + Flexible Hours -...","Domino's Corporate",,,"$27.6K – $35K a year",,"Princess Anne area","Virginia Beach",VA,"23454"
2022-03-15,"LEAD CUSTOMER SERVICE REPRESENTATIVE (UNIFORM/E-COMMERCE AND...","Navy Exchange Service Command",nexweb.org,,"$15 an hour",,"Kings Grant area","Virginia Beach",VA,"23452"
2022-03-15,"Sales Coordinator","Sheraton Virginia Beach Oceanfront",,,"$30.4K – $38.4K a year",,"The North End area","Virginia Beach",VA,"23451"
2022-03-16,"Security Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education","$12.43 - $18.35 an hour",,"Princess Anne area","Virginia Beach",VA,"23456"
2022-03-15,"General Manager (04204) - ROOM FOR GROWTH - 1169 Nimmo Pkwy","Domino's Corporate",,,"$49.5K – $62.7K a year",,"Princess Anne area","Virginia Beach",VA,"23456"
2022-03-15,"Member Service Representative - Full Time","ABNB Federal Credit Union",abnbfcu.org,"Financial Services","$28.2K – $35.8K a year",,"North Central area","Virginia Beach",VA,"23452"
2022-03-17,Housekeeper,"The Gardens of Virginia Beach",,,,,"Bayside area","Virginia Beach",VA,"23455"
2022-03-17,"Hotel Security","Hilton Virginia Beach Oceanfront",hiltonvb.com,Hospitality,"$12.50 - $15.00 an hour",,"Seatack area","Virginia Beach",VA,"23451"
2022-03-16,"Server/Waitstaff - Atria Virginia Beach","Atria Senior Living",atriaseniorliving.com,"Real Estate","From $13 an hour",,,"Virginia Beach",VA,"23454"
2022-03-15,Bellman,"Sheraton Virginia Beach Oceanfront",,,"$24.7K – $31.3K a year",,"The North End area","Virginia Beach",VA,"23451"
2022-03-17,"Engineering Aide II","City of Virginia Beach",vbgov.com,"Government Administration","$33,467 - $49,067 a year",,,"Virginia Beach",VA,""
2022-03-15,"Visual Impairment Teacher","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-03-15,"Breakfast Server","Sheraton Virginia Beach Oceanfront",,,"$21.4K – $27K a year",,"The North End area","Virginia Beach",VA,"23451"
2022-03-15,"Room Attendant","Sheraton Virginia Beach Oceanfront",,,"$22.5K – $28.5K a year",,"The North End area","Virginia Beach",VA,"23451"
2022-03-17,"Registered Nurse RN","Ideal Image Development Corporation",idealimage.com,"Medical Practice","$60.7K – $76.9K a year",,"Kempsville area","Virginia Beach",VA,"23462"
