DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
17-02-2022,"GW Supermarket of Fairfax Is Hiring","H&C Food Inc",,,"From $9.50 an hour",,,Fairfax,VA,"22030"
16-02-2022,"High End Lash Salon Front Desk Coordinator","Lash Jolie Studio",,,"$14 - $17 an hour",,,Fairfax,VA,"22030"
16-02-2022,"Mental Health Counselor-QMHP","Family Insight, P.C.",familyinsight.net,"Mental Health Care",,,,Fairfax,VA,"22030"
15-02-2022,"RN Admissions Nurse **Competitive Wages**","Fairfax Rehabilitation and Nursing Center",fairfaxhc.com,,,,,Fairfax,VA,"22030"
15-02-2022,"Litigation Associate Attorney","Jordan Coyne LLP",,,,,,Fairfax,VA,"22030"
15-02-2022,"Flex Medical Driver - Fairfax, VA (Full Time)",MedSpeed,medspeed.com,"Hospital & Health Care",,,,Fairfax,VA,"22031"
16-02-2022,"Traffic Control Flagger","W.D. Wright Contracting Inc.",wdwright.com,Utilities,"$14 - $18 an hour",,,Fairfax,VA,""
15-02-2022,"Stone Worker","Surface Experts - VA/DC",,,"$15 - $25 an hour",,,Fairfax,VA,"22031"
16-02-2022,"Unarmed Security Officer- Court House","Allied Universal",aus.com,"Security & Investigations","$16 an hour",,,Fairfax,VA,"22030"
16-02-2022,"New Shack Opening in Mosaic District","Shake Shack",shakeshack.com,Hospitality,"$14 an hour",,,Fairfax,VA,"22031"
18-02-2022,"LPN Night Shift 12 hr 7p-7A-Fairfax. Full time or Part time....","1st Americare LLC",,,"$29 - $30 an hour",,,Fairfax,VA,""
16-02-2022,"Business Development Manager","Virginia/District of Columbia Territory",,,"$65,000 - $100,000 a year",,,Fairfax,VA,""
17-02-2022,"Electrical Apprentices/Helpers","RCR Consulting Group",rcr-consulting.com,"Human Resources","$15 an hour",,,Fairfax,VA,""
15-02-2022,"Camp Cooking Specialist","Pozez JCC- Camp Achva",,,"From $13 an hour",,,Fairfax,VA,"22030"
16-02-2022,"Direct Support Professional","Community Living Alternatives",clainc.org,"Hospital & Health Care",,,,Fairfax,VA,"22033"
16-02-2022,"Direct Support Professional","Community Living Alternatives",clainc.org,"Hospital & Health Care",,,,Fairfax,VA,"22033"
16-02-2022,"Armed Security Officer","Allied Universal",aus.com,"Security & Investigations","$18.50 an hour",,,Fairfax,VA,"22030"
15-02-2022,"Camp Martial Arts Specialist","Pozez JCC- School-Age Services and Camp",,,"From $13 an hour",,,Fairfax,VA,"22030"
15-02-2022,"Camp Music Specialist/ Songleader","Pozez JCC- Camp Achva",,,"From $13 an hour",,,Fairfax,VA,"22030"
15-02-2022,"Camp Sports Specialist","Pozez JCC- Camp Achva",,,"From $13 an hour",,,Fairfax,VA,"22030"
