DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-31,"Administrative Specialist II","City of Virginia Beach",vbgov.com,"Government Administration","$47,278 - $69,306 a year",,,"Virginia Beach",VA,""
2022-03-31,"Customer Success Manager","Imagine Learning",imaginelearning.com,E-Learning,,Remote,,"Remote in Virginia Beach",VA,""
2022-03-31,"District IT Analyst, VB011","Virginia Dept of Health",,,"$47,500 - $60,000 a year",,,"Virginia Beach",VA,""
2022-03-30,"Administrative Assistant","City of Virginia Beach",vbgov.com,"Government Administration","$35,152 - $51,522 a year",,,"Virginia Beach",VA,""
2022-03-31,"Associate Sales Representative I","Smith & Nephew",smith-nephew.com,"Medical Devices",,,,"Virginia Beach",VA,""
2022-03-30,"Administrative Technician","City of Virginia Beach",vbgov.com,"Government Administration","$36,920 - $54,142 a year",,,"Virginia Beach",VA,""
2022-03-31,"Prior Resident Team Manager - Statement of Deposit Activity","AvalonBay Communities",avalonbaycommunities.com,,,,"North Central area","Virginia Beach",VA,"23452"
2022-03-30,"School Counselor","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-03-30,"District Manager Trainee","Critter Control Operations, Inc.",,,,,"Northwest area","Virginia Beach",VA,"23455"
2022-03-31,"Alteration Installation Team Support",CACI,caci.com,"Information Technology & Services",,,"Northwest area","Virginia Beach",VA,"23455"
2022-03-30,"Operations Assistant Store Manager",Lowe's,lowes.com,Retail,,,"North Central area","Virginia Beach",VA,"23452"
2022-03-30,"Program Educator I","City of Virginia Beach",vbgov.com,"Government Administration","$30,326 - $44,429 a year",,,"Virginia Beach",VA,""
2022-03-30,"District Manager Trainee","Critter Control",crittercontrol.com,"Consumer Services",,,"Northwest area","Virginia Beach",VA,"23455"
2022-03-30,"Expediter (full-time)","Tidewater Youth Services Commission",,,"$36,651 a year",,"Princess Anne area","Virginia Beach",VA,"23456"
2022-03-31,"Field Sales Representative","Advanced Nutrients",advancednutrients.com,"Consumer Goods",,,,"Virginia Beach",VA,"23450"
2022-03-30,"Medical Assistant","Childrens Hospital of The Kings Daughters",chkd.org,"Hospital & Health Care",,,,"Virginia Beach",VA,"23456"
2022-03-30,"Distribution Clerk II","City of Virginia Beach",vbgov.com,"Government Administration","$28,850 - $42,307 a year",,,"Virginia Beach",VA,""
2022-03-30,"Account Clerk II","City of Virginia Beach",vbgov.com,"Government Administration","$31,845 - $46,696 a year",,"Princess Anne area","Virginia Beach",VA,"23456"
2022-03-30,"Program Director","Virginia Tidewater Youth Services Commission",,,"$47,265 - $51,992 a year",,,"Virginia Beach",VA,""
2022-03-31,"Lab Specialist",HRSD,,,"$47,633 a year",,,"Virginia Beach",VA,""
2022-03-30,"Deputy Sheriff I (State)","City of Virginia Beach",vbgov.com,"Government Administration","$47,965 - $70,283 a year",,,"Virginia Beach",VA,""
2022-03-31,"IT Support - Virginia Beach","Eurpac Service Incorporated",eurpac.com,"Consumer Goods",,,"Northwest area","Virginia Beach",VA,"23455"
2022-03-30,"Assistant Program Director","Virginia Tidewater Youth Services Commission",,,"$40,117 a year",,,"Virginia Beach",VA,""
2022-03-30,Expediter,"Virginia Tidewater Youth Services Commission",,,"$36,651 a year",,,"Virginia Beach",VA,""
2022-03-30,"Service desk Analyst-Virginia Beach, VA","FORTIS SOLUTIONS GROUP LLC",fortissolutionsgroup.com,Printing,,,"North Central area","Virginia Beach",VA,"23452"
2022-03-29,"Outside Sales Representative","Atlantic Heating & Cooling Service",thurmanplumbinginc.com,,,,,"Virginia Beach",VA,"23451"
2022-03-30,"Inventory Control Specialist I (2)","Spathe Systems",,,,,"US Navy Little Creek Amphibious Base area","Virginia Beach",VA,"23459"
2022-03-29,"Contracts Specialist","LifeNet Health",lifenethealth.org,"Medical Devices",,,,"Virginia Beach",VA,"23453"
2022-03-29,"Climate and Remediation Setup Technician","Herc Rentals",hercrentals.com,Construction,,,,"Virginia Beach",VA,""
2022-03-30,"Membership Growth Consultant",ChenMed,chenmed.com,"Medical Practice",,,"Northwest area","Virginia Beach",VA,"23462"
2022-03-31,"Graphics/Illustrator 2",Amentum,amentum.com,"Defense & Space",,,"Dams Neck Naval Air Station area","Virginia Beach",VA,"23461"
2022-03-29,"Accounts Payable Clerk","Atlantic Heating & Cooling Service",thurmanplumbinginc.com,,,,,"Virginia Beach",VA,"23454"
2022-03-30,"Store Leader (Manager) - Virginia Bch","7-Eleven, Inc.",7-eleven.com,Retail,,,,"Virginia Beach",VA,""
2022-03-30,"Assembly Foreman","Dragados USA, Inc",dragados-usa.com,Construction,,,"Northwest area","Virginia Beach",VA,"23455"
2022-03-30,"Full Stack Web Developer","Sonalysts, Inc.",sonalysts.com,"Defense & Space",,,"Kempsville area","Virginia Beach",VA,"23462"
2022-03-31,"Human Resources Manager","Virginia Beach Psychiatric Center",vbpcweb.com,"Mental Health Care",,,"Alanton area","Virginia Beach",VA,"23454"
2022-03-30,"Client Project Manager - Remote USA",Intelerad,intelerad.com,"Medical Devices",,Remote,,"Remote in Virginia Beach",VA,""
2022-03-29,"Empyrean Lounge Manager","Hilton Virginia Beach Oceanfront",hiltonvb.com,Hospitality,"$42,000 a year",,"Seatack area","Virginia Beach",VA,"23451"
2022-03-30,"Inventory Control Specialist I","Spathe Systems",,,,,"US Navy Little Creek Amphibious Base area","Virginia Beach",VA,"23459"
2022-03-30,"Project Manager- Water/Wastewater Treatment & Conveyance",Jacobs,jacobs.com,"Civil Engineering",,,,"Virginia Beach",VA,"23453"
2022-03-30,"Motor Equipment Operator III","City of Virginia Beach",vbgov.com,"Government Administration","$40,768 - $59,758 a year",,,"Virginia Beach",VA,""
2022-03-29,"Manager, Contract Negotiations - Federal - SMIT Navy",CDW,cdw.com,"Information Technology & Services",,,,"Virginia Beach",VA,"23451"
2022-03-30,"Dive Propulsion & Underwater Navigation Tech","Spathe Systems",,,,,"US Navy Little Creek Amphibious Base area","Virginia Beach",VA,"23459"
2022-03-29,"Field Diesel Technician A","Herc Rentals",hercrentals.com,Construction,,,,"Virginia Beach",VA,""
2022-03-30,"Membership Growth Consultant",ChenMed,chenmed.com,"Medical Practice",,,"Northwest area","Virginia Beach",VA,"23462"
2022-03-30,"Manager, Contract Negotiations - Federal - SMIT Navy",CDW,cdw.com,"Information Technology & Services",,,,"Virginia Beach",VA,"23451"
2022-03-31,"Office Administrator","Royal Construction",royalbuilt.com,Construction,"$18 - $25 an hour",,"Lynnhaven Shores area","Virginia Beach",VA,"23451"
2022-03-31,"Multi Family Superintendent","RH Builders",,,"$65,000 - $100,000 a year",,"Mears Corner area","Virginia Beach",VA,"23464"
2022-03-29,"Office Manager","Bayview Physicians Group",bayviewphysicians.com,"Hospital & Health Care",,,,"Virginia Beach",VA,""
2022-03-31,"Remote Digital Marketing Manager",Radiant,radiantviewer.com,,"$50,000 - $60,000 a year",Remote,,"Remote in Virginia Beach",VA,"23454"
2022-03-29,"General Manager",Chick-fil-A,chick-fil-afoundation.org,Philanthropy,,,"Bayside area","Virginia Beach",VA,"23455"
2022-03-31,"Assembler II","Busch Manufacturing",boppbusch.com,,,,"North Central area","Virginia Beach",VA,"23452"
2022-03-31,"Aircraft Cargo Loadmaster","Defense Venture Holdings",,,"$20 - $35 an hour",,"Naval Air Station Oceana area","Virginia Beach",VA,"23453"
2022-03-30,"Assistant Store Manager","Conn's Home Plus",conns.com,Retail,"$42,000 - $60,000 a year",,"Kings Grant area","Virginia Beach",VA,"23452"
2022-03-31,"Business Operations Manager (FT)","Armed Services YMCA of Hampton Roads",asymca.org,Military,"$40,000 - $43,000 a year",,,"Virginia Beach",VA,""
2022-03-31,"Store Manager","Starbucks Coffee Company",,,,,,"Virginia Beach",VA,""
2022-03-31,"Parking Manager","Hyatt House Virginia Beach Oceanfront",,,"From $40,000 a year",,"Seatack area","Virginia Beach",VA,"23451"
2022-03-30,"Outdoor Services - Full Time - Paid Training!","NaturaLawn of America",naturalawn.com,"Consumer Services","From $40,000 a year",,,"Virginia Beach",VA,"23464"
2022-03-31,"Accounts Payable Clerk","LTD Hospitality Group Corporate Office",,,,,"North Central area","Virginia Beach",VA,"23452"
