DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-08,"Bus Ops Leader - Transportation / Com Dev - Mid-Atlantic",Stantec,tdg.co.nz,"Civil Engineering",,,,"Virginia Beach",VA,""
2022-03-08,"Intelligence Discipline Lead Subject Matter Expert (IDL-SME)","Cyberspace Solutions, LLC",,,"$80.1K – $101K a year",,"Dams Neck Naval Air Station area","Virginia Beach",VA,"23461"
2022-03-08,"Regional Program Management Practice Leader","Volkert Inc",volkert.com,"Civil Engineering","$82.2K – $104K a year",,"Northwest area","Virginia Beach",VA,"23462"
2022-03-08,"State Treasurer","Virginia Secretary of Finance",,,"$190,216 a year",,,Richmond,VA,""
2022-03-06,"Director, Financial Planning and Analysis - Virginia Medicai...","CVS Health",cvs.colinkedinprofile,,,,,Richmond,VA,""
2022-03-08,"Manager-Finance Profitability","Atlantic Union Bank",atlanticunionbank.com,Banking,,,"Central Office area",Richmond,VA,"23219"
2022-03-08,"Associate Director / Director, Finance, Markel Ventures","Markel Corporation",1stcomp.com,,,,,Richmond,VA,"23230"
2022-03-08,"Regional Program Management Practice Leader","Volkert Inc",volkert.com,"Civil Engineering","$82.2K – $104K a year",,"The Fan area",Richmond,VA,"23220"
2022-03-08,"Director of Warehouse, Logistics, and Procurement","RBI Corporation",rbicorp.com,,"From $130,000 a year",,,Richmond,VA,""
2022-03-07,"Business Systems Analyst -Hybrid","GenTech Associates",,,"$44 - $47 an hour",,"The Fan area",Richmond,VA,"23220"
2022-03-08,"Director of Communications","St. Catherine's School",catherines.org,"Education Management","$77.1K – $97.7K a year",,,Richmond,VA,""
2022-03-07,"Enterprise Cyber Security Architect","Prospect Infosystem",,,"$90 - $120 an hour",Remote,,"Hybrid remote in Richmond",VA,""
2022-03-07,"Business Systems Analyst -Hybrid","GenTech Associates",,,"$44 - $47 an hour",,"The Fan area",Richmond,VA,"23220"
2022-03-07,"Enterprise Cyber Security Architect","Prospect Infosystem",,,"$90 - $120 an hour",Remote,,"Hybrid remote in Richmond",VA,""
2022-03-08,"Director, AWS Earth's Best Employer, AWS Builder Experience...","Amazon.com Services LLC",amazon.com,Internet,,,"Potomac West area",Alexandria,VA,"22301"
2022-03-05,"Business Systems Analyst",Leidos,opera.org.au,"Performing Arts",,,"Southwest Quadrant area",Alexandria,VA,"22314"
2022-03-08,"Director, Governmental Affairs",Cerebral,getcerebral.com,"Mental Health Care","$102K – $129K a year",Remote,,"Remote in Alexandria",VA,""
2022-03-08,"Business Development Client Executive - DoD","IDEMIA National Security Solutions",idemia-nss.com,"Information Technology & Services",,,"Potomac West area",Alexandria,VA,"22301"
2022-03-05,"Tech Refresh Acquisition Project Manager",Leidos,opera.org.au,"Performing Arts",,,"Southwest Quadrant area",Alexandria,VA,"22314"
2022-03-07,"Tech Lead",Jacobs,jacobs.com,"Civil Engineering",,,,Alexandria,VA,"22303"
2022-03-08,"SQL Developer","Cyber Resource",,,"$63,806 - $128,660 a year",,,Alexandria,VA,""
