DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-09,"National Media Liaison (Disaster Response)","Operation Blessing",ob.org,"Nonprofit Organization Management","$41K – $52K a year",,"Mears Corner area","Virginia Beach",VA,"23463"
2022-04-10,MERCHANDISING,"Home Depot",,,,,,"Virginia Beach",VA,"23450"
2022-04-12,"Lacrosse Athlete Evaluator (23454)","Area Scouts™",,,"$25 - $100 an hour",Remote,,"Remote in Virginia Beach",VA,""
2022-04-09,"National Media Liaison","Operation Blessing",ob.org,"Nonprofit Organization Management","$37.9K – $48.1K a year",,"Mears Corner area","Virginia Beach",VA,"23463"
2022-04-10,"Environmental Services Tech I/Housekeeping","Sentara Healthcare",sentara.com,"Hospital & Health Care",,,"Alanton area","Virginia Beach",VA,"23454"
2022-04-12,"Planner Estimator","ManTech International Corporation",mantech.com,"Information Technology & Services",,,,"Virginia Beach",VA,""
2022-04-12,"Porsche Audi Parts Stock Clerk","Checkered Flag Motors",checkeredflag.com,Automotive,"$25.2K – $32K a year",,"North Central area","Virginia Beach",VA,"23452"
2022-04-12,"FT-Fulfillment Associate-Day",Lowe's,lowes.com,Retail,,,"Great Neck area","Virginia Beach",VA,"23454"
2022-04-09,"Deputy Clerk","Virginia Juvenile & Domestic Relations Distr...",,,"$32,212 a year",,,"Virginia Beach",VA,""
2022-04-10,"CSU Director","Virginia Dept of Juvenile Justice",,,"$63,219 - $93,543 a year",,,"Virginia Beach",VA,""
2022-04-09,"EQUAL EMPLOYMENT OPPORTUNITY SPECIALIST (Disability Speciali...","Navy Exchange Service Command",nexweb.org,,"$55,550 - $71,710 a year",,"Kings Grant area","Virginia Beach",VA,"23452"
2022-04-10,"Full Time Member Service Center Representative","ABNB Federal Credit Union",abnbfcu.org,"Financial Services","$29.7K – $37.7K a year",,"North Central area","Virginia Beach",VA,"23452"
2022-04-11,"Department Supervisor(Backroom) Full Time Now Hiring","TJ Maxx",,,,,"Great Neck area","Virginia Beach",VA,"23454"
2022-04-09,"Claims Adjuster Trainee",Progressive,progressivepartnership.co.uk,"Market Research","$47,400 - $51,500 a year",,,"Virginia Beach",VA,""
2022-04-09,"EQUAL EMPLOYMENT OPPORTUNITY SPECIALIST (Disability Speciali...","Navy Exchange Service Command",nexweb.org,,"$55,550 - $71,710 a year",,"Kings Grant area","Virginia Beach",VA,"23452"
2022-04-09,"Deputy Clerk","Virginia Juvenile & Domestic Relations Distr...",,,"$30,660 a year",,,"Virginia Beach",VA,""
2022-04-12,"AM Room Service Attendant","Hilton Virginia Beach Oceanfront",hiltonvb.com,Hospitality,,,"Seatack area","Virginia Beach",VA,"23451"
2022-04-09,Housekeeper,"Magnolia Square",magnoliasquaresavannah.com,,"$24.9K – $31.5K a year",,"Northwest area","Virginia Beach",VA,"23455"
