DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-05-24,"Kindergarten Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-22,"Sales Associate/Beauty Advisor","Sally Beauty Supply LLC",,,,,,"Virginia Beach",VA,"23456"
2022-05-22,"Sales Associate/Beauty Advisor","Sally Beauty Supply LLC",,,,,"Thalia area","Virginia Beach",VA,"23452"
2022-05-21,"OPERATIONS PROGRAM SPECIALIST","Navy Exchange Service Command",nexweb.org,,"$56,772 - $73,288 a year",,"Kings Grant area","Virginia Beach",VA,"23452"
2022-05-21,"OPERATIONS PROGRAM SPECIALIST","Navy Exchange Service Command",nexweb.org,,"$56,772 - $73,288 a year",,"Kings Grant area","Virginia Beach",VA,"23452"
2022-05-22,"Contracts Administrator 1 - Federal","Emergent LLC",emergentconsultants.com,"Management Consulting, Business Services",,Remote,,"Remote in Virginia Beach",VA,"23462"
2022-05-22,"Sales Associate/Beauty Advisor","Sally Beauty Supply LLC",,,,,,"Virginia Beach",VA,"23464"
2022-05-22,"Sales Associate/Beauty Advisor","Sally Beauty Supply LLC",,,,,"Great Neck area","Virginia Beach",VA,"23454"
2022-05-22,"FT Customer Service Manager","Michaels Stores, Inc.",,,,,"Pembroke area","Virginia Beach",VA,"23462"
2022-05-21,"MERCHANDISER (Food)","Navy Exchange Service Command",nexweb.org,,"From $16.75 an hour",,"Kings Grant area","Virginia Beach",VA,"23452"
2022-05-21,"OFFICE SERVICES CLERK","Navy Exchange Service Command",nexweb.org,,"$16.75 an hour",,"Kings Grant area","Virginia Beach",VA,"23452"
2022-05-21,"Youth Programs Director","Eastern Sports Management",easternsportsmanagement.com,"Recreational Facilities & Services","$37.8K - $47.8K a year",,,"Virginia Beach",VA,"23456"
2022-05-24,"Client Service Representative","Banfield Pet Hospital",banfield.com,Veterinary,,,,"Virginia Beach",VA,""
2022-05-24,"Veterinary Assistant","Banfield Pet Hospital",banfield.com,Veterinary,,,,"Virginia Beach",VA,""
2022-05-24,"Store Associate (Full Time) - Providence RD, Virginia Beach","Lidl US",lidl.com,Retail,"$15 an hour",,"Mears Corner area","Virginia Beach",VA,"23464"
2022-05-24,"FT-Merchandising Service Associate-Day",Lowe's,lowes.com,Retail,,,"North Central area","Virginia Beach",VA,"23452"
2022-05-22,"Medical Science Liaison – US Medical – VA, MD and Washington...",Amgen,ansals.com,"Real Estate",,,,"Virginia Beach",VA,"23453"
2022-05-21,"Housekeeper -Full-Time","Virginia Dept of Military Affairs",,,"$26,000 a year",,,"Virginia Beach",VA,""
2022-05-23,"FT Evening Manager","Food Lion",foodlion.com,Retail,,,"Salem area","Virginia Beach",VA,"23464"
2022-05-24,"Pre-Kindergarten Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"Admin Functional Support 2","Huntington Ingalls Industries Inc.",hii-ingalls.com,,,,"Northwest area","Virginia Beach",VA,"23462"
2022-05-21,"TRO - Permit Writer - Water - P0213","Virginia Dept of Environmental Quality",,,"$48,391 a year",,,"Virginia Beach",VA,""
2022-05-21,"Bookkeeper (HS)","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"BMW Sales Product Specialist","Checkered Flag Motors",checkeredflag.com,Automotive,,,"Kempsville area","Virginia Beach",VA,"23462"
2022-05-24,"FT Produce Associate - Food Lion","Food Lion",foodlion.com,Retail,,,,"Virginia Beach",VA,"23450"
2022-05-24,"FT Perishable Associate- Food Lion","Food Lion",foodlion.com,Retail,,,,"Virginia Beach",VA,"23450"
2022-05-23,"Customer Service Representative",Progressive,progressivepartnership.co.uk,"Market Research","$16.85 - $19.65 an hour",Remote,,"Remote in Virginia Beach",VA,""
2022-05-21,"Information Technology Purchasing Specialist","Chartway Federal Credit Union",chartway.com,"Financial Services","$40.8K - $51.6K a year",,,"Virginia Beach",VA,""
2022-05-22,"Inventory Specialist",WALGREENS,walgreens.com,Retail,,,"Bayside area","Virginia Beach",VA,"23455"
2022-05-24,"Security Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education","$12.43 - $18.35 an hour",,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-21,Genius,Apple,apple.com,"Consumer Electronics",,,"North Central area","Virginia Beach",VA,"23452"
2022-05-21,"Digital Customer Service Associate","Total Wine & More",totalwine.com,Retail,,,,"Virginia Beach",VA,"23450"
2022-05-24,"Kindergarten Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"Kindergarten Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"Kindergarten Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"Kindergarten Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"Kindergarten Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"Kindergarten Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"School Nurse","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"Intellectual Disability 1 Teacher","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"Custodian I - 12 Month Night","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education","$11.60 an hour",,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"Special Education Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"Sheraton VB Director of Housekeeping","Sheraton Virginia Beach Oceanfront",,,,,"The North End area","Virginia Beach",VA,"23451"
2022-05-24,"General Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"General Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"General Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"General Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"General Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"General Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-21,"TRO - P0099 & P4542 - Pollution Response & Emergency Prepare...","Virginia Dept of Environmental Quality",,,"$48,391 a year",,,"Virginia Beach",VA,""
2022-05-24,"Relationship Banker - Red Mill Commons Financial Center - VA...","Bank of America",appianrx.com,"Hospital & Health Care",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-21,"Kindergarten Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-21,"Kindergarten Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-22,"Sales Associate/Beauty Advisor","Sally Beauty Supply LLC",,,,,,"Virginia Beach",VA,"23464"
2022-05-22,"Sales Associate/Beauty Advisor","Sally Beauty Supply LLC",,,,,,"Virginia Beach",VA,"23464"
2022-05-21,"FULL TIME CUSTOMER SERVICE REPRESENTATIVE (UNIFORM/E-COMMERC...","Navy Exchange Service Command",nexweb.org,,"$16.75 an hour",,"Kings Grant area","Virginia Beach",VA,"23452"
2022-05-24,"Sheraton VB Barista","Sheraton Virginia Beach Oceanfront",,,,,"The North End area","Virginia Beach",VA,"23451"
2022-05-21,"Security Officer","Allied Universal®",,,,,,"Virginia Beach",VA,""
2022-05-24,"Admin Functional Support 2","Alion Science and Technology",alionscience.com,"Defense & Space",,,,"Virginia Beach",VA,""
2022-05-23,"General Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-05-24,"Sheraton VB Banquet Setup Attendant","Sheraton Virginia Beach Oceanfront",,,,,"The North End area","Virginia Beach",VA,"23451"
2022-05-24,"Sheraton VB Busser","Sheraton Virginia Beach Oceanfront",,,,,"The North End area","Virginia Beach",VA,"23451"
2022-05-21,"Stock Associate / Merchandiser","Total Wine & More",totalwine.com,Retail,,,,"Virginia Beach",VA,"23450"
2022-05-21,"MSOFS DCS-DDS ADMINISTRATIVE ASSISTANT","People Technology and Processes LLC",ptp-llc.com,"Information Technology & Services","$31.4K - $39.8K a year",,"Northwest area","Virginia Beach",VA,"23455"
