DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-06-03,"SECURITY ASSISTANT","U.S. Marine Corps",marines.mil,Military,"$45,118 - $58,649 a year",,,"Virginia Beach",VA,""
2022-06-02,"Hotel Transition Position","Crescent Hotels & Resorts LLC",,,,,,"Virginia Beach",VA,"23451"
2022-06-01,"RECEPTIONIST - Evening Shift","Virginia Beach Psychiatric Center",vbpcweb.com,"Mental Health Care",,,"Alanton area","Virginia Beach",VA,"23454"
2022-06-02,Recruiter,"The Ascendancy Group",theascendancygroup.com,"Defense & Space","$45.4K - $57.4K a year",,,"Virginia Beach",VA,""
2022-06-03,"Library/Media Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-06-03,"Office Associate II","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-06-02,"Human Services Program Specialist - Communicable Disease - 0...","Virginia Dept of Health",,,"$50,000 - $55,000 a year",,,"Virginia Beach",VA,""
2022-06-01,"Revenue Agent I","City of Virginia Beach",vbgov.com,"Government Administration","$31,845 - $46,696 a year",,,"Virginia Beach",VA,""
2022-06-03,"Kindergarten Assistant","Virginia Beach City Public Schools",vbschools.com,"Primary/Secondary Education",,,"Princess Anne area","Virginia Beach",VA,"23456"
2022-06-01,"Retail Associate Production","Goodwill of Central and Coastal Virginia",goodwillvirginia.org,"Nonprofit Organization Management",,,"Princess Anne area","Virginia Beach",VA,"23454"
2022-06-03,"Shipboard Installation Technician","LOCKHEED MARTIN CORPORATION",lockheedmartinjobs.com,"Defense & Space",,,,"Virginia Beach",VA,"23454"
2022-06-03,"Medical Assistant","Sentara Healthcare",sentara.com,"Hospital & Health Care",,,,"Virginia Beach",VA,"23464"
2022-06-03,"SAFETY COORDINATOR","Navy Exchange Service Command",nexweb.org,,"$43,465 - $57,000 a year",,"Kings Grant area","Virginia Beach",VA,"23452"
2022-06-03,"Assistant Manager","Taste Unlimited LLC",taste.online,,"$26K - $33K a year",,,"Virginia Beach",VA,"23451"
2022-06-03,"Lot Attendant","Checkered Flag Motors",checkeredflag.com,Automotive,"$26.2K - $33.2K a year",,"North Central area","Virginia Beach",VA,"23452"
2022-06-03,"Recreation Specialist I","City of Virginia Beach",vbgov.com,"Government Administration","$40,768 - $59,758 a year",,,"Virginia Beach",VA,""
2022-06-01,"ID Card Specialist (Personnel Assistant II)","Magellan Health",magellanhealth.com,"Hospital & Health Care",,,,"Virginia Beach",VA,"23460"
2022-06-02,"CSS Tech I","Sentara Healthcare",sentara.com,"Hospital & Health Care",,,"Salem area","Virginia Beach",VA,"23456"
2022-06-02,"First and Second Grade Teacher","Virginia Beach Friends School",vbfschool.org,,"$45.4K - $57.4K a year",,"Linkhorn Park area","Virginia Beach",VA,"23451"
2022-06-02,"Toyota Service Valet","Checkered Flag Motors",checkeredflag.com,Automotive,"$25.9K - $32.7K a year",,"Kempsville area","Virginia Beach",VA,"23462"
2022-06-01,"Charge Card Processor","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism",,,"Kempsville area","Virginia Beach",VA,"23462"
2022-06-01,"00006- Director of Plant Operations, Jones & Cabacoy Veteran...","Virginia Dept of Veterans Services",,,"$65,000 - $75,000 a year",,,"Virginia Beach",VA,""
2022-06-01,"Insurance Sales Agent & Trainee (Virginia Beach) BU2768 – $1...","National General Insurance",nationalgeneral.com,Insurance,,,,"Virginia Beach",VA,"23453"
