DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2023-01-15,"Specialist, Resource Center People & Culture","Seattle Childrens Hospital",seattlechildrens.org,"Hospital & Health Care","up to $40.21 an hour",,,Seattle,WA,""
2023-01-16,"Community Health Education Consultant I","Seattle Childrens Hospital",seattlechildrens.org,"Hospital & Health Care","up to $48.65 an hour",,,Seattle,WA,""
2023-01-14,"Linguistic Tester - 4574984",Accenture,cazoodle.com,"Computer Software",,,"Downtown area)",Seattle,WA,"98101"
2023-01-14,"REMOTE SOC Analyst - Hawaii Time Zone",Capgemini,capgeminisogeti.dk,,"estimated $84.5k - $107k a year",Remote,,"Remote in Seattle",WA,""
2023-01-15,"Aircraft Maintenance Technician (A&P)","United Airlines",,,,,,Seattle,WA,""
2023-01-17,"BARISTA (FULL-TIME)","Bon Appetit",bonappetit.com,Publishing,"$20 an hour",,"Fremont area)",Seattle,WA,"98103"
2023-01-14,"Stores/Warehouse Agent","Alaska Airlines",alaskaair.com,Airlines/Aviation,"$19.11 an hour",,"Downtown area)",Seattle,WA,"98194"
2023-01-14,"Amazon Warehouse Worker","Amazon Warehouse",,,"$18.75 an hour",,"Industrial District area)",Seattle,WA,"98134"
2023-01-14,"Clinical Application Analyst - Fluency - 4624989",Accenture,cazoodle.com,"Computer Software",,,"Downtown area)",Seattle,WA,"98101"
2023-01-17,"Client Relations Early Career Cohort","Morgan Stanley",morganstanleybranch.com,"Financial Services","$60,000 a year",,,Seattle,WA,""
2023-01-14,"Housing Specialist","Seattle Housing Authority",seattlehousing.org,"Government Administration","estimated $48.9k - $61.9k a year",,"Uptown area)",Seattle,WA,"98109"
2023-01-15,"Sterile Processing Technician Level 1 to 3","Seattle Childrens Hospital",seattlechildrens.org,"Hospital & Health Care","up to $34.18 an hour",,,Seattle,WA,""
2023-01-14,"Human Resource Business Partner","King County",kingcounty.gov,"Government Administration","$40.32 - $51.11 an hour",,,Seattle,WA,""
2023-01-15,"Rehabilitation Aide III","Seattle Childrens Hospital",seattlechildrens.org,"Hospital & Health Care","up to $27.90 an hour",,,Seattle,WA,""
2023-01-17,"House Cleaner/Housekeeper","The Cleaning Valkyries",thecleaningvalkyries.com,"Consumer Services","up to $950 a week",,,Seattle,WA,""
2023-01-14,Advisor,"Brighton Jones",brightonjones.com,"Financial Services","$80,000 - $135,000 a year",,,Seattle,WA,""
2023-01-15,"Laboratory Assistant III, Research","Seattle Childrens Hospital",seattlechildrens.org,"Hospital & Health Care","up to $29.86 an hour",,,Seattle,WA,""
