DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
3/2/2022,"Delivery Driver","Crown Pacific Fine Foods",cpff.net,Hospitality,"$20 - $24 an hour",,,Kent,WA,"98031"
3/3/2022,"Office Representative - State Farm Agent Team Member","Jared Dean - State Farm Agent",jdinsurancepdx.com,Insurance,"$50,000 - $60,000 a year",Remote,,"Remote in Kent",WA,""
3/2/2022,"Customer Service Representative","Performance Home Medical",performancehomemed.com,"Hospital & Health Care","$18 an hour",,,Kent,WA,"98032"
3/3/2022,"Outside Sales, South Sound","Tacoma Screw Products",tacomascrew.com,Wholesale,,,,Kent,WA,"98032"
3/2/2022,"Deli and Food Service","Safeway Inc./Albertson's Inc",,,"$14.52 - $18.00 an hour",,,Kent,WA,"98031"
3/2/2022,"Resident Services Coordinator II - Youth Initiatives and Sch...","Mercy Housing",mercyhousing.org,"Nonprofit Organization Management","$22 - $26 an hour",,,Kent,WA,"98032"
3/4/2022,"Home Improvement Sales Representative","Bath Planet",bathplanet.com,Construction,,,,Kent,WA,"98032"
3/3/2022,"Delivery Driver","Western WA Delivery",ordervikingfood.com,"Food & Beverages","$23 - $26 an hour",,,Kent,WA,""
3/4/2022,"Leasing Consultant - Woodland Estates","Thrive Communities",thrivecommunities.com,"Real Estate","$19 an hour",,,Kent,WA,""
3/2/2022,"TRANSPORTATION/LOT PORTER","Poulsbo RV",poulsborv.com,Automotive,"From $19 an hour",,,Kent,WA,"98032"
3/3/2022,"Delivery Driver","Parts Authority LLC",partsauthority.com,Automotive,"$33.2K ? $42K a year",,,Kent,WA,"98032"
3/4/2022,"Driver Manager","Plastic Express",plasticexpress.com,Transportation/Trucking/Railroad,"$38.7K ? $48.9K a year",,,Kent,WA,"98031"
3/4/2022,"Fulfillment Associate - Day Shift - Fully Paid Benefits!","Joe's Garage Coffee",joesgaragecoffee.com,"Food & Beverages","$14.50 - $16.00 an hour",,,Kent,WA,"98032"
3/2/2022,"Sales Professional","Edline-Yahn & Covington",,,"From $80,000 a year",,,Kent,WA,"98042"
3/2/2022,"Production Worker/Machine Operator","Polyform US",,,"$18 - $21 an hour",,,Kent,WA,"98032"
3/2/2022,"Registered Dental Assistant","Seablue Dental",seabluedental.com,"Hospital & Health Care",,,,Kent,WA,"98031"
3/3/2022,"Delivery Driver","Transmission Remanufacturing Company",trctrans.com,Automotive,"$16 - $18 an hour",,,Kent,WA,"98032"
3/3/2022,"HR Business Partner","Exotic Metals",exoticmetals.com,"Aviation & Aerospace",,,,Kent,WA,"98032"
3/3/2022,Driver,"PCC - Protective Coatings",,,"$17 - $23 an hour",,,Kent,WA,"98032"
3/3/2022,"Support staff/Waddler-Toddler class","Family Circle Too",familycirclekent.com,"Education Management","$14 - $17 an hour",,,Kent,WA,"98042"
3/2/2022,"Assistant Property Manager","West Coast Self-Storage",westcoastselfstorage.com,"Real Estate",,,,Kent,WA,"98031"
3/2/2022,"Territory Sales Representative","Compact Management",,,"From $50,000 a year",,,Kent,WA,""
3/3/2022,Dispatcher,"Odyssey Logistics & Technology Corporate",odysseylogistics.com,"Logistics & Supply Chain","$43.2K ? $54.6K a year",,,Kent,WA,"98032"
