DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
12-02-2022,"Therapy Assistant - Recreation","US Veterans Health Administration",va.gov,"Government Administration","$39,873 - $57,782 a year",,,Seattle,WA,""
12-02-2022,"Doughnut Maker","Krispy Kreme Doughnuts",krispykreme.com,"Food & Beverages",,,"Industrial District area",Seattle,WA,"98134"
12-02-2022,"Registered Nurse Community Care","US Veterans Health Administration",va.gov,"Government Administration","$77,964 - $143,980 a year",,,Seattle,WA,""
15-02-2022,"Vendor Program Coordinator (Remote)",Redfin,redfin.com,"Real Estate","$19 - $28 an hour",Remote,,"Remote in Seattle",WA,""
12-02-2022,"Registered Nurse - Community Care Registered Nurse Educator","US Veterans Health Administration",va.gov,"Government Administration","$77,964 - $143,980 a year",,,Seattle,WA,""
12-02-2022,"Nursing Assistant (Temporary)","US Veterans Health Administration",va.gov,"Government Administration","$35,837 - $58,509 a year",,,Seattle,WA,""
12-02-2022,"Temp - Master Data Management Analyst I",REI,rei.com,Retail,"$17.00 - $31.75 an hour",,,Seattle,WA,""
15-02-2022,"Security Officer","Inter-Con Security Systems",icsecurity.com,"Security & Investigations","$20.85 - $25.66 an hour",,,Seattle,WA,""
13-02-2022,"Research Assistant","Benaroya Research Institute",benaroyaresearch.org,Research,,,"First Hill area",Seattle,WA,"98101"
13-02-2022,"User Experience Researcher II","Expedia Group",expediagroup.com,Internet,,,,Seattle,WA,""
12-02-2022,"Community Associate",Regus,,,,,,Seattle,WA,""
12-02-2022,"Doughnut Decorator","Krispy Kreme Doughnuts",krispykreme.com,"Food & Beverages",,,"Industrial District area",Seattle,WA,"98134"
14-02-2022,"Development Associate","Technology Access Foundation",techaccess.org,"Education Management","$50,000 - $60,000 a year",,,Seattle,WA,"98146"
15-02-2022,"Central Pricing Coordinator",Uwajimaya,uwajimaya.com,Retail,"$17.80 - $25.44 an hour",,"Industrial District area",Seattle,WA,"98108"
12-02-2022,"Supervisory Medical Support Assistant (Diagnostic Imaging)","US Veterans Health Administration",va.gov,"Government Administration","$59,578 - $77,447 a year",,"North Beacon Hill area",Seattle,WA,"98108"
15-02-2022,"Field Operations Support Assistant","SCI Shared Resources, LLC",sci-corp.com,"Individual & Family Services",,,"Downtown area",Seattle,WA,"98194"
12-02-2022,"Inside Sales Representative - Own Quota",Adobe,adobe.com,"Computer Software","$107,100 - $139,100 a year",,"Fremont area",Seattle,WA,"98103"
12-02-2022,"Guest Services Representative","Krispy Kreme Doughnuts",krispykreme.com,"Food & Beverages",,,"Industrial District area",Seattle,WA,"98134"
12-02-2022,"SMALL CRAFT OPERATOR","U.S. Army Corps of Engineers",army.milx,,"$30.31 - $35.36 an hour",,"Industrial District area",Seattle,WA,"98134"
12-02-2022,"Registered Nurse (Mental Health Clinical Resource)","US Veterans Health Administration",va.gov,"Government Administration","$77,964 - $143,980 a year",,,Seattle,WA,""
