DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-25,"Customer Service Specialist II","King County",kingcounty.gov,"Government Administration","$49,005 - $62,109 a year",Remote,,"Remote in Seattle",WA,"98104"
2022-03-24,"Food Security Administrative Specialist","United Way",unitedwaytv.com,"Civic & Social Organization","$52,000 a year",Remote,,"Hybrid remote in Seattle",WA,""
2022-03-25,"HQ Recruiter",Cerebral,getcerebral.com,"Mental Health Care","$57.5K ? $72.9K a year",Remote,,"Remote in Seattle",WA,"98103"
2022-03-23,"College Recruiter","Pariveda Solutions",parivedasolutions.com,"Information Technology & Services","$83,800 - $92,200 a year",,,Seattle,WA,""
2022-03-25,"Office Support Supervisor 2, General Services Division, Atto...","State of Washington Attorney General's Office",,,"$37,728 - $48,996 a year",,,Seattle,WA,""
2022-03-25,"Donor Engagement Officer","YWCA Seattle | King | Snohomish",ywcaworks.org,"Nonprofit Organization Management","$60,000 - $68,000 a year",,"Downtown area",Seattle,WA,"98101"
2022-03-25,"Executive Assistant","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-22,"DIRECTOR OF TICKET OPERATIONS","University of Washington",washington.edu,"Higher Education",,,"University District area",Seattle,WA,"98195"
2022-03-25,"Consultant I",f5,f5.com,"Information Technology & Services","$62.2K ? $78.8K a year",Remote,,"Remote in Seattle",WA,""
2022-03-22,"Executive Assistant","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-24,"DSHS ESA Customer Service Specialist","State of Washington Dept. of Social and Health...",,,"$2,929 - $3,792 a month",,,Seattle,WA,""
2022-03-24,"administrative assistant, retail ops implementation",Starbucks,starbucks.com,Retail,,Remote,,"Hybrid remote in Seattle",WA,""
2022-03-25,"executive assistant, strategy",Starbucks,starbucks.com,Retail,,Remote,,"Hybrid remote in Seattle",WA,""
2022-03-23,"Retirement Plan Sales Consultant","Leading Retirement Solutions",leadingretirement.com,"Financial Services","$55,000 - $70,000 a year",,"Eastlake area",Seattle,WA,"98102"
2022-03-23,"Recruiting Coordinator","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-24,"PATIENT SERVICES SPECIALIST 3 (FULL-TIME, DAYS)","University of Washington",washington.edu,"Higher Education","$3,165 - $4,215 a month",,"University District area",Seattle,WA,"98195"
2022-03-23,"Executive Assistant, AWS HR","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-23,"Legal Assistant, Prime Video","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-24,"Police Specialist","Port of Seattle",portseattle.org,"Government Administration","$25.29 an hour",,"Waterfront area",Seattle,WA,"98121"
2022-03-25,"PATIENT SERVICES SPECIALIST 3 (FULL-TIME, DAYS)","University of Washington",washington.edu,"Higher Education","$3,165 - $4,215 a month",,"University District area",Seattle,WA,"98195"
2022-03-25,"Accounts Payable Specialist","United Way",unitedwaytv.com,"Civic & Social Organization","$58,240 a year",Remote,,"Hybrid remote in Seattle",WA,""
2022-03-25,"Re-Entry Employment Specialist","YWCA Seattle | King | Snohomish",ywcaworks.org,"Nonprofit Organization Management","$23 an hour",,"Belltown area",Seattle,WA,"98121"
2022-03-23,"Communications Specialist III - Best Starts for Kids","King County",kingcounty.gov,"Government Administration","$82,576 - $104,666 a year",Remote,,"Remote in Seattle",WA,"98104"
2022-03-25,"Shelter Life Coach","YWCA Seattle | King | Snohomish",ywcaworks.org,"Nonprofit Organization Management","$23 an hour",,"Holly Park area",Seattle,WA,"98118"
2022-03-23,"Copywriter (Contract)","RUN Studios",runstudios.com,"Media Production","$88.3K ? $112K a year",,"Downtown area",Seattle,WA,"98101"
2022-03-22,"Community Manager- Array (Seattle, WA) Housing Available","ConAm Management Corporation",conam.com,"Real Estate","$30 - $40 an hour",,"Olympic Hills area",Seattle,WA,"98125"
2022-03-22,"Executive Assistant , AWS Support","Amazon Web Services, Inc.",,,,,,Seattle,WA,""
2022-03-25,"Foundation & Corporate Relations Officer","YWCA Seattle | King | Snohomish",ywcaworks.org,"Nonprofit Organization Management","$65,000 - $70,000 a year",Remote,,"Remote in Seattle",WA,"98101"
2022-03-25,"PROGRAM COORDINATOR (FULL-TIME/DAYS)","University of Washington",washington.edu,"Higher Education","$3,398 - $4,541 a month",,"University District area",Seattle,WA,"98195"
2022-03-25,"Customer Care Representative I *Remote*",ReedGroup,reedgroup.com,Insurance,"$18 - $23 an hour",Remote,,"Remote in Seattle",WA,""
2022-03-24,"Police Officer ENTRY-LEVEL (July 1, 2022- Entry-Level Exam)","City of Seattle",seattle.gov,"Government Administration","$40.06 - $52.45 an hour",,,Seattle,WA,""
2022-03-25,"Reverse Mtg Advisor FAM","Finance of America Mortgage",foamortgage.com,"Financial Services",,,"Wedgwood area",Seattle,WA,"98115"
2022-03-24,"Recruiting Coordinator","Committee for Children",cfchildren.org,"Primary/Secondary Education","$45.2K ? $57.2K a year",,"Belltown area",Seattle,WA,"98121"
2022-03-23,"Workforce Development Program Manager",FareStart,farestart.org,"Individual & Family Services","$70.2K ? $88.8K a year",Remote,,"Temporarily Remote in Seattle",WA,"98101"
2022-03-23,"Development Associate","The Lighthouse For The Blind Inc",,,"$44.2K ? $56K a year",,"Atlantic area",Seattle,WA,"98144"
2022-03-25,"Marketing Coordinator","Merrill Gardens",merrillgardens.com,Hospitality,,,"Eastlake area",Seattle,WA,"98102"
2022-03-23,"Supervisor Security Cherry Hill","Swedish Health Services",,,,,,Seattle,WA,"98122"
2022-03-24,"University Recruiter, FutureForce",Salesforce,covidi.com,"Computer Software","$74,000 a year",,,Seattle,WA,""
2022-03-25,"HR Business Partner - Remote",Clari,clari.com,"Computer Software","$78.5K ? $99.3K a year",Remote,,"Remote in Seattle",WA,""
2022-03-23,"Assistant Director","KinderCare Education",kcecareers.com,"Education Management",,,"Denny Triangle area",Seattle,WA,"98101"
2022-03-25,"ADMINISTRATIVE ASSISTANT 2 - UW MEDICAL CENTER - EVENINGS","University of Washington",washington.edu,"Higher Education",,,"University District area",Seattle,WA,"98195"
2022-03-25,"Flight Crew Administration Manager","Alaska Airlines",alaskaair.com,Airlines/Aviation,,,"Downtown area",Seattle,WA,"98194"
2022-03-24,"PATIENT ACCOUNT REPRESENTATIVE LEAD (FULL-TIME, DAYS)","University of Washington",washington.edu,"Higher Education","$3,733 - $5,014 a month",,"University District area",Seattle,WA,"98195"
2022-03-23,"Recruiting Coordinator","RUN Studios",runstudios.com,"Media Production","$46.3K ? $58.7K a year",,"Downtown area",Seattle,WA,"98101"
2022-03-24,"PATIENT ACCOUNT REPRESENTATIVE 2 (FULL TIME, DAYS)","University of Washington",washington.edu,"Higher Education","$3,398 - $4,541 a month",,"University District area",Seattle,WA,"98195"
2022-03-22,"Operations Scheduler, Prime Air","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-25,"Associate Director, Development","American Diabetes Association",diabetes.org,"Nonprofit Organization Management",,,,Seattle,WA,""
2022-03-25,"Amazon Assistant Store Manager","Amazon Retail LLC",,,,,,Seattle,WA,""
2022-03-24,"RCA Professional 3","U.S. Bank",whitefortcapital.com,,,,,Seattle,WA,""
2022-03-25,"PATIENT CARE COORDINATOR SUPERVISOR (FULL-TIME, DAYS)","University of Washington",washington.edu,"Higher Education","$4,325 - $5,811 a month",,"University District area",Seattle,WA,"98195"
2022-03-22,Recruiter,"Teal Communications, Inc.",,,"$62.5K ? $79.1K a year",,"Westlake area",Seattle,WA,"98109"
2022-03-24,"Digital Sculptor Funko Games",Funko,funko.com,"Consumer Goods","$39.7K ? $50.3K a year",,"Ravenna - U District area",Seattle,WA,"98105"
2022-03-25,"Patient Care Coordinator - Intake (Regular Full-Time)","Seattle Cancer Care Alliance",seattlecca.org,"Hospital & Health Care","$35.4K ? $44.8K a year",,"South Lake Union area",Seattle,WA,"98109"
2022-03-23,"ACADEMIC ADMINISTRATIVE SPECIALIST","University of Washington",washington.edu,"Higher Education",,,"University District area",Seattle,WA,"98195"
2022-03-25,"Coordinator, Guest Experience","The Seattle Mariners Baseball Club",,,"$54.7K ? $69.3K a year",,"Industrial District area",Seattle,WA,"98134"
2022-03-24,"Crew Pay Analyst","Alaska Airlines",alaskaair.com,Airlines/Aviation,,,"Downtown area",Seattle,WA,"98194"
2022-03-25,"Visual Merchandising Planner - Seattle","Nordstrom Inc",nordstrom.com,Retail,,,,Seattle,WA,""
2022-03-25,"Food Security Program Manager","United Way",unitedwaytv.com,"Civic & Social Organization","$73,535 - $75,083 a year",Remote,,"Hybrid remote in Seattle",WA,""
2022-03-25,"Patent Agent or Technical Advisor","Dorsey & Whitney LLP",dorsey.com,"Law Practice","$118K ? $149K a year",,"Downtown area",Seattle,WA,"98104"
2022-03-23,"Administrative Services Manager","Plymouth Housing Group",plymouthhousing.org,"Nonprofit Organization Management","$71.6K ? $90.6K a year",,,Seattle,WA,""
2022-03-25,"HR Business Partner, Human Resources","HomeStreet Bank",homestreet.com,"Financial Services","$74.5K ? $94.3K a year",,"Downtown area",Seattle,WA,"98101"
2022-03-25,"PAYROLL COORDINATOR (FISCAL SPECIALIST 2)","University of Washington",washington.edu,"Higher Education","$3,558 - $4,774 a month",,"University District area",Seattle,WA,"98195"
2022-03-22,"Learning Experience Designer, Customer Service - Voice of Cu...","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-24,"Executive Protection Specialist, Protective Services","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-24,"Legal Assistant - Real Estate, GREF/Stores Legal Program","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-25,"Regional Affordable Housing Planner, Project/Program Manager...","King County",kingcounty.gov,"Government Administration","$37.97 - $48.13 an hour",Remote,,"Remote in Seattle",WA,""
2022-03-25,"Community Health Navigator, King County Washington","Integra Service Connect",mymedzed.com,"Hospital & Health Care","$36.8K ? $46.6K a year",,"Downtown area",Seattle,WA,"98101"
2022-03-23,"Library Specialist - Patron Accounts, Billing, and Analytics","Seattle University",seattleu.edu,"Higher Education",,,"First Hill area",Seattle,WA,"98122"
2022-03-23,"Events Manager",C+C,creativecommons.org,Internet,"$65,000 - $82,000 a year",,,Seattle,WA,""
2022-03-23,"Patient Registration Representative - Smc Pre Service Center","Swedish Health Services",,,,,,Seattle,WA,"98101"
2022-03-23,"Technical Writer, Amazon Connect","Amazon Dev Center U.S., Inc.",,,,,,Seattle,WA,""
2022-03-24,"Renewables Manager",Weyerhaeuser,weyerhaeuser.com,"Paper & Forest Products",,,,Seattle,WA,""
2022-03-24,"Project Manager 2","SDK Software",,,"$70.3K ? $89.1K a year",,,Seattle,WA,""
2022-03-23,"Quality and Training","R1 RCM, Inc.",,,,,,Seattle,WA,""
2022-03-25,"Operations Readiness Specialist-Resources & Submittals","Sound Transit",soundtransit.org,Transportation/Trucking/Railroad,"$75,000 a year",,"International District area",Seattle,WA,"98104"
2022-03-23,"Counter Parts Sales Representative",FleetPride,fleetpride.com,Transportation/Trucking/Railroad,,,"Industrial District area",Seattle,WA,"98108"
2022-03-25,"Patient Care Coordinator I - Heme/Infusion Float","Seattle Cancer Care Alliance",seattlecca.org,"Hospital & Health Care","$35.7K ? $45.1K a year",,"South Lake Union area",Seattle,WA,"98109"
2022-03-25,"Payroll Specialist","Lane Powell",lanepowell.com,"Law Practice","$46K ? $58.2K a year",Remote,,"Temporarily Remote in Seattle",WA,"98111"
2022-03-23,"Store Manager","AESOP Corporate",,,"$48.7K ? $61.7K a year",,,Seattle,WA,""
2022-03-25,"HR LEAVE SPECIALIST","University of Washington",washington.edu,"Higher Education",,,"University District area",Seattle,WA,"98195"
2022-03-22,"Technical Writer, CloudFormation, AWS Documentation","Amazon Dev Center U.S., Inc.",,,,,,Seattle,WA,""
2022-03-25,"PR Manager, Grocery","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-23,"Asst Front Office Manager","Astra Hotel Seattle",,,"$46.1K ? $58.3K a year",,"Westlake area",Seattle,WA,"98109"
2022-03-23,"Part Post Processing Technician - Weekends","Blue Origin",blueorigin.com,"Defense & Space",,,,Seattle,WA,""
2022-03-23,"Facilities Business Analyst","Seattle Public Schools",,,"$73,757 - $99,632 a year",,"Riverview area",Seattle,WA,"98106"
2022-03-25,"Program Manager, Live Operations Program Management - Prime...","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-25,"Teacher - CTE (Construction)","Highline Public Schools",highlineschools.org,"Primary/Secondary Education","$59,584 - $117,306 a year",,,Seattle,WA,""
2022-03-24,"HR Programs and Communications Partner II","Blue Origin",blueorigin.com,"Defense & Space",,,,Seattle,WA,""
2022-03-24,"3D Toy and Game Designer",Funko,funko.com,"Consumer Goods","$54.4K ? $68.8K a year",,"Ravenna - U District area",Seattle,WA,"98105"
2022-03-23,"Revenue Management Analyst","Holland America Line",hollandamerica.com,"Leisure, Travel & Tourism","$59.9K ? $75.9K a year",,"Uptown area",Seattle,WA,"98119"
2022-03-23,"Project Manager",Tether,tether.to,"Financial Services","$73.5K ? $93.1K a year",,"Pioneer Square area",Seattle,WA,"98104"
2022-03-22,"EVENT SERVICES OPERATIONS SUPERVISOR","University of Washington",washington.edu,"Higher Education",,,"University District area",Seattle,WA,"98195"
2022-03-25,"Tire Service Advisor","Dealer Tire",dealertire.com,Automotive,,Remote,,"Remote in Seattle",WA,"98134"
