DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-24,"Principal Regulator Real-Estate Consultant",Verizon,verizon.co.in,,,,"Belltown area",Seattle,WA,"98121"
2022-03-23,"Principal, Product Strategy and Operations, Google Cloud Pla...",Google,google.com,Internet,"$174,000 - $187,000 a year",Remote,,"Hybrid remote in Seattle",WA,""
2022-03-25,"L6 SDM (Multiple Locations)","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-25,"Principal Product Mgr - Tech, Devices Retail Technology","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-24,"Principal Solutions Architect ? Security Specialist","Amazon Web Services, Inc.",,,"$182,800 - $247,300 a year",,,Seattle,WA,""
2022-03-23,"Program Manager, Merchandising, Amazon Go","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-23,"Principal Product Manager, Global Procurement Program","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-25,"Strategy Director","Artefact Group",artefactgroup.com,Design,"$133K ? $168K a year",Remote,,"Remote in Seattle",WA,""
2022-03-24,"Manager Physical Experience Strategy",REI,rei.com,Retail,"$75,000 - $147,500 a year",,,Seattle,WA,""
2022-03-23,"DIRECTOR, BUSINESS OPERATIONS",Crowley,melanie.halverson,,"$104K ? $132K a year",Remote,,"Hybrid remote in Seattle",WA,"98134"
2022-03-25,"Principal Business Development, Emerging Products, Devices B...","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-22,"Head of Finance ? Bellevue Children?s Academy and Willows Pr...","ISP USA and Canada",,,"$119K ? $150K a year",,,Seattle,WA,""
2022-03-25,"Principal Product Marketing Manager - Amazon Halo, Halo Aqui...","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-24,"Principal, Change Management, AWS T&C","Amazon Web Services, Inc.",,,"$120,000 - $160,000 a year",,,Seattle,WA,""
2022-03-25,"Software Development Manager, Your Orders","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-25,"VP, Product Strategy",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Seattle,WA,"98104"
2022-03-24,"PR Manager, Amazon Games","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-25,"Director of Professional Services",Stackline,stackline.com,Retail,"$102K ? $129K a year",,,Seattle,WA,""
2022-03-24,"Viva Customer Experience Program Manager",Microsoft,microsoft.com,"Computer Software",,,"Ravenna area",Seattle,WA,"98105"
2022-03-22,"Principal Product Manager-Tech, Live Events Sports Expansion","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-23,"Region Build TPM, Region Build","Amazon Dev Center U.S., Inc.",,,,,,Seattle,WA,""
2022-03-23,"Strategic Programs - AWS Business Development","Amazon Web Services, Inc.",,,,,,Seattle,WA,""
2022-03-24,"Director Merch Inventory - Price","Nordstrom Inc",nordstrom.com,Retail,,,,Seattle,WA,""
2022-03-22,"Creative Director, AWS Brand","Amazon Web Services, Inc.",,,,,,Seattle,WA,""
2022-03-23,"Director, Institutional Funding",JDRF,jdrf.org.uk,"Nonprofit Organization Management","$91.3K ? $116K a year",,,Seattle,WA,""
2022-03-25,"Manager, Color & Trend Design","Brooks Sports, Inc",brooksrunning.com,"Sporting Goods","$102K ? $130K a year",,,Seattle,WA,""
2022-03-23,"Principal Product Manager, Amazon Pay Americas","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-23,"Principal Product Manager Tech, JWO Tech","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-25,"Principal Technical Artist","Electronic Arts",ea.com,"Computer Games",,,"Denny Triangle area",Seattle,WA,"98121"
2022-03-23,"Director, Institutional Funding","JDRF International",jdrf.org,Fund-Raising,"$91.3K ? $116K a year",,,Seattle,WA,""
2022-03-25,"Head of Market Research, Alexa Smart Home","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-24,"Manager, Solution Consulting - Commercial",ServiceNow,servicenow.com,"Computer Software",,Remote,,"Remote in Seattle",WA,""
2022-03-23,"Director, Intellectual Property","Chinook Therapeutics",chinooktx.com,Biotechnology,"$71.4K ? $90.4K a year",,,Seattle,WA,""
2022-03-25,"Manager, TPM, EC2 Capacity","Amazon Dev Center U.S., Inc.",,,,,,Seattle,WA,""
2022-03-23,"Director, Treasury","Rad Power Bikes",radpowerbikes.com,"Consumer Goods","$110K ? $139K a year",,"Ballard area",Seattle,WA,"98107"
2022-03-25,"Sales Specialist, (Servers) IBM Power - West (WA/OR)",IBM,bionovo.com.cn,"Computer Software",,,"Downtown area",Seattle,WA,"98101"
2022-03-25,"Software Development Manager, AWS Proactive Security","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-22,"Finance Manager","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-23,"Product Manager Technical, AWS Pricing Experience","Amazon Web Services, Inc.",,,,,,Seattle,WA,""
2022-03-23,"Region Build TPM","Amazon US Services LLC",,,,,,Seattle,WA,""
2022-03-25,"AWS Infrastructure Cloud Architect",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Seattle,WA,"98104"
2022-03-24,"Performance Media - Service Model Transformation",Accenture,cazoodle.com,"Computer Software",,,"Downtown area",Seattle,WA,"98101"
2022-03-24,"Industry X Solution Delivery Manager",Accenture,cazoodle.com,"Computer Software",,,"Downtown area",Seattle,WA,"98101"
2022-03-24,"Smart Factory Solution Architect - Cloud Application",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Seattle,WA,"98104"
2022-03-23,"Principal Product Manager - Technical, AWS Identity","Amazon Dev Center U.S., Inc.",,,,,,Seattle,WA,""
2022-03-24,"Technical Customer Manager , AI DevOps","Amazon Dev Center U.S., Inc.",,,,,,Seattle,WA,""
2022-03-24,"Software Engineering Manager, EC2 Peregrine","Amazon Dev Center U.S., Inc.",,,,,,Seattle,WA,""
2022-03-25,"Staff Data Scientist - Opportunity for Working Remotely Seat...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Seattle",WA,""
2022-03-24,"Director, Software Development Engineering",Expedia.com,,,,,"Queen Anne area",Seattle,WA,"98119"
2022-03-22,"BIE, Prime Video Linear TV, Prime Video Linear TV","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-25,"ERP Project Manager","K2 SPORTS",,,"$102K ? $129K a year",,,Seattle,WA,""
2022-03-25,"Director, Software Development Engineering",Expedia.com,,,,,"Queen Anne area",Seattle,WA,"98119"
2022-03-22,"Software Development Manager, Cornerstone Bidder","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-22,"Software Development Manager, AWS SDKs and Tools","Amazon Dev Center U.S., Inc.",,,,,,Seattle,WA,""
2022-03-22,"Principal Solutions Architect, Marketing Measurement","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-03-22,"Director, AWS DC Automation, AWS Data Center Community","Amazon Data Services, Inc.",,,,,,Seattle,WA,""
2022-03-22,"Manager, CRM Engineering, Amazon Advertising","Amazon Advertising LLC",,,,,,Seattle,WA,""
2022-03-23,"Construction Project Manager , AWS Data Center Constrution A...","Amazon Data Services, Inc.",,,,,,Seattle,WA,""
2022-03-25,"Associate Director/Director ? Quality Control","Alpine Immune Sciences",alpineimmunesciences.com,Biotechnology,"$142K ? $179K a year",,,Seattle,WA,""
2022-03-23,"Director, Solution Engineering - Embedded Analytics",Salesforce,covidi.com,"Computer Software","$164,010 a year",,,Seattle,WA,""
2022-03-23,"Director, Integrated Marketing",Salesforce,covidi.com,"Computer Software",,,,Seattle,WA,""
2022-03-24,"AVP, Strategic Enterprise Sales - Tableau",Salesforce,covidi.com,"Computer Software",,,,Seattle,WA,""
2022-03-24,"UKG Techno Functional Lead Consultant",Accenture,cazoodle.com,"Computer Software",,Remote,,"Remote in Seattle",WA,"98101"
2022-03-25,"Lead, Global Product Commercialization",Indeed,indeed.com,Internet,"$117,000 - $175,000 a year",,,Seattle,WA,""
2022-03-25,"Strategic Account Manager",Applause,applause.com,"Information Technology & Services","$86.6K ? $110K a year",Remote,,"Remote in Seattle",WA,"98164"
2022-03-23,"Director, Employee Benefits","Freedom Financial Network",freedomfinancialnetwork.com,"Financial Services","$115K ? $145K a year",Remote,,"Remote in Seattle",WA,"98103"
2022-03-24,"Director of Human Resources",SightLife,sightlife.org,"Hospital & Health Care","$93.4K ? $118K a year",,,Seattle,WA,""
2022-03-24,"Director, Intellectual Property","Chinook Therapeutics",chinooktx.com,Biotechnology,"$71.4K ? $90.4K a year",,"Westlake area",Seattle,WA,"98109"
2022-03-25,"Construction Project Manager",FutureRecruit,,,"$90,000 - $120,000 a year",,"Downtown area",Seattle,WA,"98164"
2022-03-25,"Associate Director/Director, Quality Control","Chinook Therapeutics",chinooktx.com,Biotechnology,"$87K ? $110K a year",,"Westlake area",Seattle,WA,"98109"
2022-03-25,"Director of Finance","Mayflower Park Hotel",mayflowerpark.com,Hospitality,"$83.9K ? $106K a year",,"Downtown area",Seattle,WA,"98101"
2022-03-24,"Assistant Director, Donor Engagement, Venture Philanthropy",Forterra,forterra.com,,"$60,000 - $80,000 a year",,"Downtown area",Seattle,WA,"98194"
2022-03-24,"Sales Manager","Mercedes Benz of Seattle",mbseattle.com,Automotive,,,"Industrial District area",Seattle,WA,"98134"
2022-03-24,"Multicultural Ad Agency Hiring an Associate Account Director...",TDW+Co,tdwandco.com,"Marketing & Advertising","$85,000 - $110,000 a year",,"Belltown area",Seattle,WA,"98121"
2022-03-24,"Manager Engineering Test Automation","Wind River",qmtwindchimes.com,"Consumer Goods","$107K ? $135K a year",,,Seattle,WA,""
2022-03-23,"Director of Finance","Spokane Tribe Casino",,,"$91.3K ? $116K a year",,"Northwest area",Spokane,WA,"99205"
2022-03-25,"Digital Support Program Manager",HP,hp.com,"Information Technology & Services",,,"Bennington area",Vancouver,WA,"98683"
2022-03-25,"Director Women's Health Regulatory Affairs",Organon,,,,,,"Short Hills",NJ,""
2022-03-24,"Northwest - Superintendent","Kiewit Corporation",kwmjv.com,,,,"Columbia Way area",Vancouver,WA,"98661"
2022-03-24,"Finance Manager - Remote","Sound Physicians",soundphysicians.com,"Hospital & Health Care","$95.8K ? $121K a year",Remote,,"Remote in Tacoma",WA,"98402"
2022-03-24,"Preconstruction Manager","Korsmo Construction",,,"$103K ? $130K a year",,"New Tacoma area",Tacoma,WA,"98421"
2022-03-23,"Chief of Staff - Commercial Systems & BI team",Microsoft,microsoft.com,"Computer Software",,Remote,,"Remote in Bellevue",WA,""
