DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-06-21,"House Cleaner / Housekeeper: Full Time - Weekly pay","The Cleaning Valkyries",thecleaningvalkyries.com,"Consumer Services","Up to $25 an hour",,,Seattle,WA,""
2022-06-18,"Digital Marketing Specialist","university of washington",washington.edu,"Higher Education","$5,200 a month",Remote,,"Remote in Seattle",WA,"98195"
2022-06-21,"ATTENDANT, CATERING (FULL-TIME)","Bon Appetit",bonappetit.com,Publishing,,,"Interbay area",Seattle,WA,"98119"
2022-06-21,"Nutrition Assistant - First Hill","Swedish Health Services",,,,,,Seattle,WA,"98122"
2022-06-18,"Lounge Attendant SEA","Alaska Airlines",alaskaair.com,Airlines/Aviation,"$18 an hour",,"Downtown area",Seattle,WA,"98194"
2022-06-21,"Cash Application Specialist (Remote)",RestorixHealth,restorixhealth.com,"Hospital & Health Care","$33.1K - $41.9K a year",Remote,,"Remote in Seattle",WA,""
2022-06-18,"Pharmacy Technician - Credena Health - First Hill","Swedish Health Services",,,,,,Seattle,WA,"98122"
2022-06-20,"ROOM SERVICE AMBASSADOR (FULL TIME - DAY SHIFT)","University of Washington",washington.edu,"Higher Education","$3,018 - $3,472 a month",,"University District area",Seattle,WA,"98195"
2022-06-18,Actuary,"US Internal Revenue Service",irs.gov,"Government Administration","$111,521 - $168,506 a year",Remote,,"Hybrid remote in Seattle",WA,""
2022-06-20,"HOUSEKEEPER/ROOM ATTENDANT | FULL-TIME","Thompson Seattle",,,"$20.50 an hour",,"Downtown area",Seattle,WA,"98101"
2022-06-21,"Telecom Tower Associate",Ericsson,ericsson.com,"Information Technology & Services",,Remote,,"Remote in Seattle",WA,"98107"
2022-06-18,INTERVENTIONIST-ISS,"Highline Public Schools",highlineschools.org,"Primary/Secondary Education","$59,584 - $117,306 a year",,,Seattle,WA,""
2022-06-21,"Program Coordinator","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
2022-06-21,"Aircraft Technician","Alaska Airlines",alaskaair.com,Airlines/Aviation,"$34.66 an hour",,"Downtown area",Seattle,WA,"98194"
2022-06-18,"Dealer Services Specialist/Admin","K2 SPORTS",,,"$47.3K - $59.9K a year",,,Seattle,WA,""
2022-06-18,"Coin Processor","Loomis Armored US, LLC",loomis.com,Transportation/Trucking/Railroad,"$18.90 an hour",,,Seattle,WA,"98188"
2022-06-21,"Executive Assistant","Moss Adams",mossadams.com,Accounting,,,,Seattle,WA,""
2022-06-19,"Product Developer - Temp","Outdoor Research LLC",outdoorresearch.com,"Apparel & Fashion","$51.2K - $64.8K a year",,"Industrial District area",Seattle,WA,"98134"
2022-06-21,"Staff - 2023","Moss Adams",mossadams.com,Accounting,,,,Seattle,WA,""
2022-06-19,"Dog Handler","Downtown Dog Lounge",downtowndoglounge.com,"Professional Training & Coaching","$29.1K - $36.9K a year",,"South Lake Union area",Seattle,WA,"98109"
2022-06-21,"Business Office Customer Service Representative","Swedish Health Services",,,,,,Seattle,WA,"98101"
2022-06-19,"Medical Store Customer Service Representative","Norco, Inc",norco-inc.com,Retail,,,"Fremont area",Seattle,WA,"98103"
2022-06-18,"Van Driver for Seattle Startup - $22-23/hr (F/T & P/T)",Ridwell,ridwell.com,"Consumer Services","$22 - $23 an hour",,"Industrial District area",Seattle,WA,"98134"
2022-06-18,"DSHS ESA Child Support Enforcement Officer","State of Washington Dept. of Social and Health...",,,"$3,616 - $5,102 a month",,,Seattle,WA,""
2022-06-19,"Intake Support Associate","Seattle's Union Gospel Mission",ugm.org,"Individual & Family Services","$26.9K - $34.1K a year",,,Seattle,WA,""
2022-06-21,"Pharmacy Service Associate FT","Rite Aid",riteaid.com,Retail,,,"Magnolia area",Seattle,WA,"98199"
2022-06-18,"Call Center Coordinator - First Hill","Swedish Health Services",,,,,,Seattle,WA,"98122"
2022-06-21,"Pharmacy Service Associate FT","Rite Aid",riteaid.com,Retail,,,"Ballard area",Seattle,WA,"98107"
2022-06-21,"Medical Referral Specialist - Georgetown 3 days remote",Neighborcare,,,"$46K - $58.2K a year",Remote,,"Remote in Seattle",WA,"98108"
2022-06-19,"Ticketing and Membership Associate","Woodland Park Zoo",zoo.org,"Museums & Institutions","$20 an hour",,"Woodland area",Seattle,WA,"98103"
2022-06-19,"FOOD SERVICE WORKER 1 (TEMPORARY, EVENING SHIFT)","University of Washington",washington.edu,"Higher Education","$17.45 - $18.73 an hour",,"University District area",Seattle,WA,"98195"
2022-06-21,"Cashier - Service Associate FT","Rite Aid",riteaid.com,Retail,,,"Junction area",Seattle,WA,"98116"
2022-06-21,"Pharmacy Service Associate FT","Rite Aid",riteaid.com,Retail,,,"Roxhill area",Seattle,WA,"98126"
2022-06-21,Phlebotomist,Labcorp,labcorp.com,"Hospital & Health Care",,,,Seattle,WA,"98122"
2022-06-18,"TEACHER CTE (Criminal Justice)","Highline Public Schools",highlineschools.org,"Primary/Secondary Education","$59,584 - $117,306 a year",,,Seattle,WA,""
2022-06-19,"Customer Service Representative",Ascensus,ascensus.com,"Financial Services",,Remote,,"Remote in Seattle",WA,"98101"
2022-06-21,"Cashier - Service Associate FT","Rite Aid",riteaid.com,Retail,,,"Magnolia area",Seattle,WA,"98199"
2022-06-18,Receptionist,"ERA Living - Aljoya Thornton Place",,,"$33.5K - $42.5K a year",,"Maple Leaf area",Seattle,WA,"98125"
2022-06-18,"FOOD SERVICE UTILITY (FULL TIME)","Bon Appetit",bonappetit.com,Publishing,,,"South Lake Union area",Seattle,WA,"98109"
2022-06-21,"Sales and Service Coordinator","Sephora USA",sephora.com,Retail,,,"Downtown area",Seattle,WA,"98101"
2022-06-21,"Creative Workflow Analyst",Apple,apple.com,"Consumer Electronics",,,,Seattle,WA,""
2022-06-21,"Cashier - Service Associate FT","Rite Aid",riteaid.com,Retail,,,"Riverview area",Seattle,WA,"98106"
