DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-25,"IMMIGRATION SERVICES ASSISTANT (OFFICE AUTOMATION)","US Citizenship and Immigration Services",uscis.gov,"Government Administration","$39,873 - $64,204 a year",,,Seattle,WA,""
2022-04-26,"Social Media Specialist","U.S. Army Accession Command",,,"$60,416 - $78,542 a year",Remote,,"Temporarily Remote in Seattle",WA,""
2022-04-26,Receptionist,"Truewood by Merrill, First Hill",,,,,"First Hill area",Seattle,WA,"98101"
2022-04-26,"Server (8343)","Yard House",yardhouse.com,Restaurants,,,"Downtown area",Seattle,WA,"98101"
2022-04-23,"2022 Graduates - Career Development Program",Jerry,getjerry.com,Internet,"$67.2K - $85.2K a year",,,Seattle,WA,""
2022-04-26,"Rainier Beach HS - Attendance Intervention & Success Coord....","Seattle Public Schools",,,"$50,918 - $70,290 a year",,"Riverview area",Seattle,WA,"98106"
2022-04-26,"Human Resources Coordinator","Logic20/20 Inc.",,,"$45.4K - $57.4K a year",,,Seattle,WA,""
2022-04-26,"Busser/Barback (8343)","Yard House",yardhouse.com,Restaurants,,,"Downtown area",Seattle,WA,"98101"
2022-04-26,"US Talent Acquisition Assistant","Sia Partners",sia-partners.com,"Management Consulting",,Remote,,"Hybrid remote in Seattle",WA,"98115"
2022-04-26,"Community Organizer","Solid Ground",solid-ground.org,"Civic & Social Organization","$24.09 an hour",,"Wallingford area",Seattle,WA,"98103"
2022-04-26,"Executive Assistant II","Cambia Health Solutions",amicas.com,"Computer Software","$72.7K - $92.1K a year",,"Denny Triangle area",Seattle,WA,"98101"
2022-04-26,"Escrow Officer- Seattle, WA",Redfin,redfin.com,"Real Estate",,,,Seattle,WA,""
2022-04-26,"CULINARY | CAFETERIA ATTENDANT","Hyatt at Olive 8",,,,,"Downtown area",Seattle,WA,"98101"
2022-04-26,"Customer Service Rep-Self Storage Mgr","Public Storage",publicstorage.com,"Real Estate","$18 an hour",,,Seattle,WA,""
2022-04-26,"Technical Evangelist - Open Source Databases (remote)",Percona,percona.com,"Information Technology & Services",,Remote,,"Remote in Seattle",WA,""
2022-04-26,"Customer Service Rep-Self Storage Mgr","Public Storage",publicstorage.com,"Real Estate","$18 an hour",,"Haller Lake area",Seattle,WA,"98133"
2022-04-24,Server,"Radisson Hotels Americas",radissonhotels.com,Hospitality,"$17.54 an hour",,,Seattle,WA,"98188"
2022-04-26,"Host (8343)","Yard House",yardhouse.com,Restaurants,,,"Downtown area",Seattle,WA,"98101"
2022-04-24,"$20 Local/Traveling Retail Merchandiser Positions (Flexible/...","Cart Solutions",cartsolutions.net,"Staffing & Recruiting","$20 an hour",,,Seattle,WA,""
2022-04-25,Biologist,"US Geological Survey",usgs.gov,Research,"$73,098 - $95,022 a year",Remote,,"Remote in Seattle",WA,""
2022-04-24,"Quit for Life Coach - Evenings/Weekends - Telecommute",Optum,optuminc.com,,,Remote,,"Remote in Seattle",WA,"98101"
2022-04-26,"Research Study Coordinator 1","Washington State University",wsu.edu,"Higher Education",,,"Downtown area",Seattle,WA,"98164"
2022-04-26,"Survey Data Manager I",Payscale,payscale.com,"Computer Software","$70.2K - $89K a year",,,Seattle,WA,""
2022-04-26,"Contract Recruiter - Opportunity for Working Remotely Seattl...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Seattle",WA,""
2022-04-26,"Copy of Sales and Marketing Coordinator","ClientSolv Technologies",clientsolv.com,"Information Technology & Services","$55,000 - $95,000 a year",Remote,,"Remote in Seattle",WA,"98104"
2022-04-26,"Early Career Industrial Hygienist/Safety Consultant",Rambøll,,,"$77.3K - $97.9K a year",,,Seattle,WA,""
2022-04-26,"Sales Recruiter - Opportunity for Working Remotely Seattle,...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Seattle",WA,""
2022-04-24,"Team Coordinator (Temporary Full-Time)","Seattle Cancer Care Alliance",seattlecca.org,"Hospital & Health Care","$42.8K - $54.2K a year",,"South Lake Union area",Seattle,WA,"98109"
2022-04-24,"Health Information Specialist II","Seattle Cancer Care Alliance",seattlecca.org,"Hospital & Health Care",,,"South Lake Union area",Seattle,WA,"98109"
2022-04-26,"Delivery Driver",Fetch,hellofetch.co,"Computer Software","$25 an hour",,"Georgetown area",Seattle,WA,"98108"
2022-04-26,"Pharmacy Technician in Training","Rite Aid",riteaid.com,Retail,,,"West Queen Anne area",Seattle,WA,"98109"
2022-04-26,"Food Runner (8343)","Yard House",yardhouse.com,Restaurants,,,"Downtown area",Seattle,WA,"98101"
2022-04-24,"Regional Sales Associate - WA, OR, Alaska","MAX USA Corporation",,,"$70,000 a year",Remote,,"Remote in Seattle",WA,"98101"
2022-04-26,"Washington Middle School - Attendance Specialist (203/8) - 1...","Seattle Public Schools",,,"$37,173 - $50,555 a year",,"Riverview area",Seattle,WA,"98106"
2022-04-26,"Dearborn Park International - General Education Instructiona...","Seattle Public Schools",,,"$37,173 - $50,545 a year",,"Riverview area",Seattle,WA,"98106"
2022-04-26,,"B. F. Day Elementary - Pre-K Teacher - ",,,,,,"Seattle Public Schools3.7",,""
2022-04-26,Cleaner,"C&W Services",cwservices.com,"Facilities Services",,,"Seattle-Tacoma International Airport area",Seattle,WA,"98158"
2022-04-24,"EVENT SET UP | OVERNIGHT SUPERVISOR","Hyatt Regency Seattle",,,"$37.9K - $48.1K a year",,"Denny Triangle area",Seattle,WA,"98101"
2022-04-25,"Research Technician I","Seattle Childrens Hospital",seattlechildrens.org,"Hospital & Health Care",,,,Seattle,WA,""
2022-04-26,"Client Service Coordinator","Banfield Pet Hospital",banfield.com,Veterinary,,,,Seattle,WA,""
2022-04-26,"Salesforce and Applications Administrator - 100% REMOTE",Virbela,virbela.com,"Computer Software",,Remote,,"Remote in Seattle",WA,"98101"
2022-04-23,"Store Staff Member Belltown","Mud Bay Inc",mudbay.com,Retail,"From $19.68 an hour",,"Belltown area",Seattle,WA,"98121"
2022-04-26,"STEWARD/DISHWASHER (FULL-TIME)","Thompson Seattle",,,"$28.8K - $36.4K a year",,"Downtown area",Seattle,WA,"98101"
2022-04-26,"Pharmacy Technician in Training","Rite Aid",riteaid.com,Retail,,,"Capitol Hill area",Seattle,WA,"98102"
2022-04-25,"Salesforce Quality Analyst","Allworth Financial",allworthfinancial.com,"Financial Services","$47.1K - $59.7K a year",Remote,,"Hybrid remote in Seattle",WA,""
2022-04-26,"BI Practice Lead","Teleion Consulting",teleion.com,"Information Technology & Services","$47.1K - $59.7K a year",,"Westlake area",Seattle,WA,"98109"
2022-04-26,"U-Haul Moving Center General Manager",U-Haul,uhaul.com,Retail,,,"Gatewood area",Seattle,WA,"98126"
2022-04-26,"Shipping Assistant","Northwest Center",nwcenterkids.org,Warehousing,,,"South Park area",Seattle,WA,"98108"
2022-04-26,"Operations Associate",Fetch,hellofetch.co,"Computer Software","$33.9K - $42.9K a year",,"Georgetown area",Seattle,WA,"98108"
2022-04-26,"Replenishment Associate","Nordstrom Inc",nordstrom.com,Retail,,,,Seattle,WA,""
2022-04-26,"Medical Store Customer Service Representative","Norco, Inc",norco-inc.com,Retail,,,"Fremont area",Seattle,WA,"98103"
2022-04-26,"Health Home Care Coordinator III","Neighborhood House",neighb.org,"Individual & Family Services","$25.81 an hour",,,Seattle,WA,"98168"
2022-04-26,,"Aki Kurose MS - Fiscal Specialist ",,,,,,"Seattle Public Schools3.7",,""
2022-04-26,"Teller Receptionist","Washington Trust Bank",watrust.com,Banking,"$35K - $44.4K a year",,"Downtown area",Seattle,WA,"98101"
2022-04-26,"House Cleaner / Housekeeper: Full Time - Weekly pay","The Cleaning Valkyries",thecleaningvalkyries.com,"Consumer Services","Up to $25 an hour",,,Seattle,WA,""
2022-04-24,"Surgery Coordinator","Seattle Childrens Hospital",seattlechildrens.org,"Hospital & Health Care",,Remote,,"Hybrid remote in Seattle",WA,""
2022-04-24,"Materials Management Technician","Kaiser Permanente",socialsourcingnetwork.com,,,,"Downtown area",Seattle,WA,"98101"
2022-04-26,"Import Customer Service","Commodity Forwarders",cfiperishables.com,"Logistics & Supply Chain","$17 - $20 an hour",,,Seattle,WA,"98148"
2022-04-24,"Security Officer - Corporate Offices","Allied Universal®",,,,,"Industrial District area",Seattle,WA,"98134"
2022-04-26,"Coding and Compliance Analyst Certified - Business Services","Pacific Medical Centers",,,,,,Seattle,WA,"98144"
2022-04-24,"ANDARE | ASSISTANT FOOD & BEVERAGE MANAGER","Hyatt Regency Seattle",,,"$47.5K - $60.1K a year",,"Denny Triangle area",Seattle,WA,"98101"
2022-04-26,"Seattle Crew Member","Taco Time NW",tacotimenw.com,"Food & Beverages","Up to $19 an hour",,"Atlantic area",Seattle,WA,"98144"
2022-04-26,"Material and Logistic Specialist - Purchasing","Pacific Medical Centers",,,,,,Seattle,WA,"98144"
2022-04-26,"Veterinary Assistant","Banfield Pet Hospital",banfield.com,Veterinary,,,,Seattle,WA,""
2022-04-26,"Full Time Replenishment Manager",Michaels,michaels.com.au,Photography,,,,Seattle,WA,"98188"
2022-04-26,"South Shore K-8 - Preschool Instructional Assistant (203/7)...","Seattle Public Schools",,,"$37,173 - $50,545 a year",,"Riverview area",Seattle,WA,"98106"
2022-04-26,"Collaborative Biostatistician I","Kaiser Permanente",socialsourcingnetwork.com,,,,"Downtown area",Seattle,WA,"98101"
2022-04-24,"Store Staff Member Uptown","Mud Bay Inc",mudbay.com,Retail,"From $19.68 an hour",,"Uptown area",Seattle,WA,"98109"
2022-04-24,"Security Officer - Corporate Location","Allied Universal®",,,,,"Industrial District area",Seattle,WA,"98134"
2022-04-24,"Recruiting Coordinator, Ring","Amazon.com Services LLC",amazon.com,Internet,,,,Seattle,WA,""
