DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-12-31,"Flagger 2 (Charleston, WV)","RoadSafe Traffic Systems, Inc.",roadsafetraffic.com,Construction,"estimated $31.3k - $39.7k a year",,,Charleston,WV,"25311"
2022-12-30,"AEA - Auto Estimatics Appraiser - In Person/General Inspection - Charleston, WV","State Farm",statefarm.com,Insurance,,Remote,,"Remote in Charleston",WV,"25301"
2022-12-31,"Termite Technician",Terminix,terminix.com,"Consumer Services","$30,000 - $50,000 a year",,,Charleston,WV,"25302"
2023-01-02,Janitor,Chili's,chilisjobs.com,,"estimated $23.5k - $29.8k a year",,"Downtown area)",Charleston,WV,"25389"
2023-01-02,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,"estimated $20.5k - $26k a year",,"Kanawha City area)",Charleston,WV,"25304"
2023-01-02,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,"estimated $20.5k - $26k a year",,"West Side area)",Charleston,WV,"25302"
2022-12-31,"Subway Sandwich Artist®",Subway,subway.com,Restaurants,"$9.25 an hour",,,Charleston,WV,"25304"
2023-01-02,Host,Chili's,chilisjobs.com,,"estimated $23.8k - $30.1k a year",,"Downtown area)",Charleston,WV,"25389"
2022-12-31,Server,Chili's,chilisjobs.com,,"estimated $36.1k - $45.8k a year",,"Downtown area)",Charleston,WV,"25389"
2023-01-02,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,"estimated $26.6k - $33.7k a year",,"West Side area)",Charleston,WV,"25302"
2023-01-02,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,"estimated $26.6k - $33.7k a year",,,Charleston,WV,"25360"
2023-01-02,"Team Member - Charleston Town",Sbarro,,,"estimated $21.2k - $26.9k a year",,"Downtown area)",Charleston,WV,"25389"
2023-01-01,"Nurse Practitioner MSN -- Cardiac Imaging -- Memorial-MSOB","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
2023-01-01,"Registered Nurse",Sevita,sevita.com,"Food Production",,,,Charleston,WV,"25301"
2022-12-31,"Geologist 4 - Tax Dept. - Kanawha Co.","Charleston, WV 25305 (East End area)",,,,,,,,""
2023-01-01,"Quality Control Inspector - Real Estate","Midwest Property REO, LLC.",midwest-reo.com,,"$3,000 - $5,000 a month",,,Charleston,WV,""
2023-01-01,Baker,"Panera Bread | Pan American Group",,,"estimated $27.8k - $35.2k a year",,,Charleston,WV,"25309"
2023-01-02,"Retail Team Member","Panera Bread | Pan American Group",,,"estimated $23.5k - $29.7k a year",,,Charleston,WV,"25309"
2023-01-01,Dishwasher,Applebee's,,,"$12 - $15 an hour",,"Kanawha City area)",Charleston,WV,"25387"
2023-01-01,"Delivery Driver","Marco's Pizza | Ashkris Corporation",,,,,"West Side area)",Charleston,WV,"25387"
2023-01-01,Dishwasher,"Cracker Barrel",crackerbarrel.com,Restaurants,"estimated $24.6k - $31.2k a year",,"Kanawha City area)",Charleston,WV,"25304"
2023-01-01,"Retail Clerk - Little General","Little General Convenience Stores | Little General...",,,"estimated $19.3k - $24.4k a year",,,Charleston,WV,"25306"
2022-12-31,"Sales Consultant","Ashley -Furniture Sales (Providence Enterprises)",,,"$40,000 - $60,000 a year",,,Charleston,WV,"25309"
2023-01-02,"Catering Director","Chick-fil-A | Southridge and MacCorkle Avenue",,,"$18 - $20 an hour",,,Charleston,WV,"25309"
2022-12-31,"Cleaning Technicians","Top Notch Service Group, Inc",topnotchwv.com,"Facilities Services","estimated $21.7k - $27.5k a year",,,Charleston,WV,"25303"
2023-01-01,"Retail Clerk - Little General","Little General Convenience Stores | Little General...",,,"estimated $19.3k - $24.4k a year",,,Charleston,WV,"25320"
2023-01-01,"Retail Clerk - Little General","Little General Convenience Stores | Little General...",,,"estimated $19.3k - $24.4k a year",,"West Side area)",Charleston,WV,"25302"
2023-01-01,Server,"Cracker Barrel",crackerbarrel.com,Restaurants,"estimated $27.1k - $34.3k a year",,"Kanawha City area)",Charleston,WV,"25304"
2023-01-01,"Sales Associate/Clerk","Smoker Friendly | Smoker Friendly West Virginia",,,"estimated $23.1k - $29.3k a year",,,Charleston,WV,"25309"
2023-01-01,"Sales Associate/Clerk","Smoker Friendly | Smoker Friendly West Virginia",,,"estimated $23.1k - $29.3k a year",,"Kanawha City area)",Charleston,WV,"25304"
2023-01-01,"Sales Associates","One Stop | CrossAmerica Partners",,,"estimated $27.2k - $34.5k a year",,"West Side area)",Charleston,WV,"25302"
2023-01-01,"Retail Clerk - Little General","Little General Convenience Stores | Little General...",,,"estimated $19.3k - $24.4k a year",,"Kanawha City area)",Charleston,WV,"25304"
2022-12-31,"Non-Medical Caregiver","AMADA Senior Care",amadaseniorcare.com,"Hospital & Health Care","$20,800 - $25,000 a year",,,Charleston,WV,""
2023-01-01,"Team Manager","Panera Bread | Pan American Group",,,"estimated $34.5k - $43.7k a year",,,Charleston,WV,"25309"
2023-01-02,Dishwasher,"TGI Fridays | Falcons Management",,,"estimated $24.5k - $31k a year",,,Charleston,WV,"25313"
2022-12-31,"Substance Abuse Counselor","Comprehensive Treatment Centers",cartersvillectc.com,"Hospital & Health Care",,,,Charleston,WV,"25311"
2023-01-02,Server,"IHOP | Sharp Holding Inc",,,"estimated $27.3k - $34.5k a year",,,Charleston,WV,"25304"
2022-12-31,"Host / Hostess","Tidewater Grill",tidewatergrillrestaurant.com,Restaurants,"$14 an hour",,"Downtown area)",Charleston,WV,"25387"
2023-01-01,"Sales Associates","One Stop | CrossAmerica Partners",,,"estimated $27.2k - $34.5k a year",,,Charleston,WV,"25312"
2023-01-01,"Retail Clerk - Little General","Little General Convenience Stores | Little General...",,,"estimated $19.3k - $24.4k a year",,,Charleston,WV,"25312"
2022-12-31,"Marketing and Sales","BesTitle Agency, Inc.",bestitle.com,"Real Estate","estimated $36.7k - $46.5k a year",,"Downtown area)",Charleston,WV,"25301"
2023-01-01,"Sales Associates","One Stop | CrossAmerica Partners",,,"estimated $27.2k - $34.5k a year",,,Charleston,WV,"25313"
2023-01-01,Host,"IHOP | Sharp Holding Inc",,,"estimated $21.2k - $26.8k a year",,,Charleston,WV,"25304"
2023-01-01,"Retail Clerk - Little General","Little General Convenience Stores | Little General...",,,"estimated $19.3k - $24.4k a year",,,Charleston,WV,"25315"
2023-01-01,"Retail Clerk - Little General","Little General Convenience Stores | Little General...",,,"estimated $19.3k - $24.4k a year",,,Charleston,WV,"25365"
2023-01-01,"Assistant Manager","Panera Bread | Pan American Group",,,"estimated $37k - $46.8k a year",,,Charleston,WV,"25309"
2022-12-31,"Field Service Technician","ENV Services, Inc",envservices.com,"Environmental Services","$50,000 - $55,000 a year",,,Charleston,WV,""
2022-12-31,"Floor Tech","Healthcare Services Group, Inc.",hcsgcorp.com,"Hospital & Health Care","estimated $26.2k - $33.1k a year",,,Charleston,WV,"25309"
2023-01-01,"Team Member","Arby's | AES Restaurants",aesrestaurants.com,,"estimated $23.4k - $29.6k a year",,"Kanawha City area)",Charleston,WV,"25304"
2023-01-01,"Assistant Manager","Bob Evans Restaurants | Bob Evans Restaurants",,,"up to $56,000 a year",,"Kanawha City area)",Charleston,WV,"25304"
2023-01-01,"Assistant Manager - Dunkin Donuts","Little General Convenience Stores | Little General...",,,"estimated $26k - $32.9k a year",,"South Hills area)",Charleston,WV,"25314"
2022-12-31,"Floor Care Technicians - Full-Time 2nd Shift","Top Notch Service Group, Inc",topnotchwv.com,"Facilities Services","estimated $24k - $30.4k a year",,,Charleston,WV,""
2023-01-01,"Catering Lead","Panera Bread | Pan American Group",,,"estimated $30.2k - $38.3k a year",,,Charleston,WV,"25309"
2023-01-01,"Sales Associates","One Stop | CrossAmerica Partners",,,"estimated $27.2k - $34.5k a year",,,Charleston,WV,"25302"
2023-01-01,"Assistant General Manager","Taco Bell | Charter Foods, Inc.",,,,,"Kanawha City area)",Charleston,WV,"25304"
2023-01-01,"Assistant General Manager","Taco Bell | Charter Foods, Inc.",,,,,"Kanawha City area)",Charleston,WV,"25304"
2023-01-01,Server,"TGI Fridays | Falcons Management",,,"estimated $30.8k - $39.1k a year",,,Charleston,WV,"25313"
2023-01-01,"Assistant General Manager","Taco Bell | Charter Foods, Inc.",,,,,,Charleston,WV,"25309"
2023-01-01,"Assistant Manager Trainee","Speedway - Region 63",,,"estimated $23k - $29.2k a year",,,Charleston,WV,""
2023-01-01,"Assistant General Manager","Taco Bell | Charter Foods, Inc.",,,,,"East End area)",Charleston,WV,"25311"
2023-01-01,"General Manager","Marco's Pizza | Ashkris Corporation",,,,,"West Side area)",Charleston,WV,"25387"
2023-01-01,"Sales Associates","One Stop | CrossAmerica Partners",,,"estimated $27.2k - $34.5k a year",,"Kanawha City area)",Charleston,WV,"25304"
2023-01-02,"Shift Leader","Papa John's Pizza | Papa Texas LLC",,,"estimated $25.1k - $31.8k a year",,"West Side area)",Charleston,WV,"25387"
2023-01-02,"Shift Leader","Papa John's Pizza | Papa Texas LLC",,,"estimated $25.1k - $31.8k a year",,"Kanawha City area)",Charleston,WV,"25304"
2023-01-01,"Insurance Sales Agent","The Lewis Financial Group",,,"$1,250 a week",,,Charleston,WV,""
2023-01-01,"Assistant Manager","Burger King | Ampler Burgers",,,,,"Kanawha City area)",Charleston,WV,"25304"
2023-01-01,"Assistant Manager","Burger King | Ampler Burgers",,,,,,Charleston,WV,"25309"
2022-12-31,"Laundry Worker","Healthcare Services Group, Inc.",hcsgcorp.com,"Hospital & Health Care","estimated $23.5k - $29.8k a year",,,Charleston,WV,"25309"
2023-01-01,"Sales Associates","One Stop | CrossAmerica Partners",,,"estimated $27.2k - $34.5k a year",,"West Side area)",Charleston,WV,"25387"
2023-01-01,"Sales Associates","One Stop | CrossAmerica Partners",,,"estimated $27.2k - $34.5k a year",,"East End area)",Charleston,WV,"25311"
2023-01-02,"Assistant Manager","Marco's Pizza | Ashkris Corporation",,,,,"West Side area)",Charleston,WV,"25387"
2023-01-01,"Retail Clerk - Little General","Little General Convenience Stores | Little General...",,,"estimated $19.3k - $24.4k a year",,"Kanawha City area)",Charleston,WV,"25304"
2023-01-01,"Assistant Manager","Bob Evans Restaurants | Bob Evans Restaurants",,,"up to $56,000 a year",,,Charleston,WV,"25313"
2023-01-01,"Assistant General Manager","Taco Bell | Charter Foods, Inc.",,,,,,Charleston,WV,"25309"
2023-01-01,"Team Member","Arby's | Restaurant Enterprises Inc",,,"estimated $21.6k - $27.3k a year",,,Charleston,WV,"25309"
2023-01-01,"Assistant General Manager","Taco Bell | Charter Foods, Inc.",,,,,,Charleston,WV,""
2022-12-31,"Jewelry Sales Specialist, Charleston Town Center","REEDS Jewelers",reeds.com,Retail,"estimated $25.4k - $32.1k a year",,"Downtown area)",Charleston,WV,"25389"
2023-01-02,"Shift Leader","Papa John's Pizza | Papa Texas LLC",,,"estimated $25.1k - $31.8k a year",,,Charleston,WV,"25313"
2023-01-01,"Assistant General Manager","Taco Bell | Charter Foods, Inc.",,,,,"West Side area)",Charleston,WV,"25387"
2023-01-01,"HVACR Technical Service Advisor","R.E. Michel Company, LLC",remichel.com,Wholesale,"estimated $41.5k - $52.6k a year",,,Charleston,WV,""
2023-01-01,"Retail Clerk - Little General","Little General Convenience Stores | Little General...",,,"estimated $19.3k - $24.4k a year",,,Charleston,WV,"25315"
2023-01-02,"Assistant Manager","Par Mar Oil Company | Par Mar Oil Company",,,"estimated $25.5k - $32.3k a year",,"East End area)",Charleston,WV,"25311"
2023-01-01,"General Manager","Bob Evans Restaurants | Bob Evans Restaurants",,,"up to $70,000 a year",,"Kanawha City area)",Charleston,WV,"25304"
