DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-05-14,"Patient Service Rep - Ambulatory Services","Saint Francis Hospital",saintfrancis.com,"Hospital & Health Care",,,,Charleston,WV,""
2022-05-15,"Agent Service","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism",,,,Charleston,WV,""
2022-05-15,"Host / Hostess","The Chop House",thechophouse.com,Restaurants,,,"Downtown area",Charleston,WV,"25389"
2022-05-13,Bartender,"The Chop House",thechophouse.com,Restaurants,,,"Downtown area",Charleston,WV,"25389"
2022-05-14,"RN On Call Weekend",HospiceCare,hospicecarewv.org,"Hospital & Health Care","$60.3K - $76.3K a year",,"West Side area",Charleston,WV,"25387"
2022-05-14,"Nursing Assistant --3 East --Memorial Hospital","CAMC Health System",camc.org,"Hospital & Health Care","$29.5K - $37.3K a year",,"Kanawha City area",Charleston,WV,"25304"
2022-05-14,"Health Information Management Scribe","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
2022-05-16,"Training Delivery Specialist - West Virginia","Gainwell Technologies",gainwelltechnologies.com,"Information Technology & Services",,,,Charleston,WV,"25396"
2022-05-14,FT-Receiver/Stocker-Overnight,Lowe's,lowes.com,Retail,,,"Kanawha City area",Charleston,WV,"25304"
2022-05-13,"PROGRAMMER ANALYST I",HealthSmart,healthsmart.com,"Health, Wellness & Fitness","$47.8K - $60.6K a year",,,Charleston,WV,"25331"
2022-05-13,"Fleet Driver/Transporter (Full time)","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism","$11.50 an hour",,,Charleston,WV,""
2022-05-13,"Car Detailer (Full time)","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism","$12 an hour",,,Charleston,WV,""
2022-05-14,"Customer Service Teller/Customer Service Representative Char...","Summit Community Bank",mysummit.bank,Banking,"$26.7K - $33.9K a year",,"Downtown area",Charleston,WV,"25301"
2022-05-14,"Medicare Sales Representative - West Virginia",Humana,humana.com,"Health, Wellness & Fitness",,,,Charleston,WV,"25304"
2022-05-13,"Herbicide Team","Davey Tree",,,,,"East End area",Charleston,WV,"25311"
2022-05-13,Janitor,"Kimco Facility Services, LLC",,,"$15 an hour",,,Charleston,WV,""
2022-05-15,"Math 6-8 Middle School Teacher (2 Positions) (2022-2023)","Kanawha County School District",k12.wv.us,"Education Management","$44.6K - $56.4K a year",,,Charleston,WV,"25302"
2022-05-13,"Direct Service Provider","Prestera Center For Mental Health",,,"$24.8K - $31.4K a year",,"Edgewood area",Charleston,WV,"25387"
2022-05-14,Bartender,Chilis,chilis.com,Restaurants,,,"Downtown area",Charleston,WV,"25389"
