DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
23-02-2022,"Compliance Analyst",Anthem,anthem.com,Insurance,"$35.7K ? $45.1K a year",,,Charleston,WV,""
24-02-2022,Cashier,"CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
25-02-2022,"Girls Track Coach (2021-2022)","Kanawha County School District",k12.wv.us,"Education Management","$31.9K ? $40.5K a year",,,Charleston,WV,"25311"
24-02-2022,"Supply Chain Courier","CAMC Health System",camc.org,"Hospital & Health Care","$30.9K ? $39.1K a year",,,Charleston,WV,""
24-02-2022,"Centralized Scheduling Rep","CAMC Health System",camc.org,"Hospital & Health Care","$25.2K ? $32K a year",,,Charleston,WV,""
24-02-2022,"CUF - Logan WV","Davey Tree",,,,,"East End area",Charleston,WV,"25311"
25-02-2022,"Weight Room Supervisor ( 2022-2023)","Kanawha County School District",k12.wv.us,"Education Management","$23.6K ? $29.8K a year",,,Charleston,WV,"25311"
23-02-2022,"Intake Representative - Hybrid","Encova Insurance",encova.com,Insurance,"$32.9K ? $41.7K a year",,,Charleston,WV,""
24-02-2022,"Health Unit Coordinator 2","CAMC Health System",camc.org,"Hospital & Health Care","$25.6K ? $32.4K a year",,,Charleston,WV,""
24-02-2022,"Environmental Services Tech 2 -- Housekeeping -- Women & Chi...","CAMC Health System",camc.org,"Hospital & Health Care","$24.5K ? $31.1K a year",,,Charleston,WV,""
25-02-2022,"Assistant Football Coach (2022-2023) - 4 Positions","Kanawha County School District",k12.wv.us,"Education Management","$29.7K ? $37.7K a year",,,Charleston,WV,"25311"
23-02-2022,"Subway Sandwich Artist?",Subway,subway.com,Restaurants,"$8.75 - $9.00 an hour",,,Charleston,WV,"25304"
25-02-2022,"HEALTHCARE REP","Change Healthcare",changehealthcare.com,"Information Technology & Services",,,,Charleston,WV,""
22-02-2022,"Airline Customer Service Agent, Cross-Trained","Piedmont Airlines",piedmont-airlines.com,Airlines/Aviation,"$11.75 an hour",,,Charleston,WV,""
22-02-2022,"Social Worker",HospiceCare,hospicecarewv.org,"Hospital & Health Care",,,"West Side area",Charleston,WV,"25387"
24-02-2022,"Dietary Aide","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
24-02-2022,"Nutrition Tech","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
25-02-2022,"Systems Analyst 3","CAMC Health System",camc.org,"Hospital & Health Care","$59.1K ? $74.9K a year",,"Oakridge/Greenbrier area",Charleston,WV,"25311"
24-02-2022,"Environmental Services Tech 2","CAMC Health System",camc.org,"Hospital & Health Care","$26.5K ? $33.5K a year",,,Charleston,WV,""
24-02-2022,"Rad Tech 2 -- Radiology -- Memorial Hospital","CAMC Health System",camc.org,"Hospital & Health Care","$57.5K ? $72.9K a year",,,Charleston,WV,""
22-02-2022,"Freight Processing Lead","Big Lots",bigink.com,,,,"West Side area",Charleston,WV,"25387"
25-02-2022,"Assistant Softball Coach (2021-2022)","Kanawha County School District",k12.wv.us,"Education Management","$29.9K ? $37.9K a year",,,Charleston,WV,"25311"
24-02-2022,"Imaging Lead","CAMC Health System",camc.org,"Hospital & Health Care","$61.7K ? $78.1K a year",,,Charleston,WV,""
25-02-2022,"9th Grade Football Coach (2022-2023) - 2 Positions","Kanawha County School District",k12.wv.us,"Education Management","$32.3K ? $40.9K a year",,,Charleston,WV,"25311"
22-02-2022,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,,Charleston,WV,"25302"
25-02-2022,"Quality Analyst 3 - Integrated Business Testing - Opportunit...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Charleston",WV,""
25-02-2022,"Head Tennis Coach (2021-2022)","Kanawha County School District",k12.wv.us,"Education Management","$32.1K ? $40.7K a year",,,Charleston,WV,"25311"
25-02-2022,"Math High School Teacher (2021-2022)","Kanawha County School District",k12.wv.us,"Education Management","$45.8K ? $58K a year",,,Charleston,WV,"25311"
24-02-2022,"Supply Chain Courier","CAMC Health System",camc.org,"Hospital & Health Care","$30.9K ? $39.1K a year",,,Charleston,WV,""
24-02-2022,"Cardiovascular Tech 1 -- Cardiac Cath Lab -- Heart & Vascula...","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
25-02-2022,"Driller/Exploration Team Member IV","Terracon Consultants, Inc.",,,"$47.8K ? $60.6K a year",,,Charleston,WV,"25301"
24-02-2022,Phlebotomist,"CAMC Health System",camc.org,"Hospital & Health Care","$27.4K ? $34.6K a year",,,Charleston,WV,""
23-02-2022,"Subway Sandwich Artist?",Subway,subway.com,Restaurants,"$8.75 - $9.00 an hour",,,Charleston,WV,"25304"
22-02-2022,"Observability Engineering - Data Analyst - Opportunity for W...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Charleston",WV,""
24-02-2022,"Sales Consultant",VICTRA,,,,,"Downtown area",Charleston,WV,"25301"
24-02-2022,"Dietary Aide","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
24-02-2022,"Food Runner",Chilis,chilis.com,Restaurants,"$23.3K ? $29.5K a year",,"Downtown area",Charleston,WV,"25389"
24-02-2022,"Environmental Services Tech 2","CAMC Health System",camc.org,"Hospital & Health Care","$26.5K ? $33.5K a year",,,Charleston,WV,""
24-02-2022,"Environmental Services Tech 2 Cancer Center","CAMC Health System",camc.org,"Hospital & Health Care","$26.5K ? $33.5K a year",,,Charleston,WV,""
23-02-2022,"Employment Programs Specialist-WorkForce WV-Kanawha Co.","West Virginia",mywvvacation.com,"Industry: Newspapers & News Services, Media & Internet",,,"East End area",Charleston,WV,"25305"
22-02-2022,"Team Member - Charleston Town",Sbarro,,,,,"Downtown area",Charleston,WV,"25389"
23-02-2022,"Corrections Program Specialist - DCR - Kanawha Co.","West Virginia",mywvvacation.com,"Industry: Newspapers & News Services, Media & Internet","$36.4K ? $46K a year",,"East End area",Charleston,WV,"25305"
22-02-2022,"Research Specialist 2 - BPH - Kanawha Co.","West Virginia",mywvvacation.com,"Industry: Newspapers & News Services, Media & Internet","$37.6K ? $47.6K a year",,"East End area",Charleston,WV,"25305"
22-02-2022,"Accountant/Auditor 3 - WorkForce WV - Kanawha Co.","West Virginia",mywvvacation.com,"Industry: Newspapers & News Services, Media & Internet","$41.1K ? $52.1K a year",,"East End area",Charleston,WV,"25305"
25-02-2022,"Driller Helper","Boart Longyear",boartlongyear.com,"Mining & Metals","$17 an hour",,,Charleston,WV,""
25-02-2022,"Facial Center Receptionist","Mountain State Oral and Facial Surgery",mtstateoms.com,"Hospital & Health Care","$25.4K ? $32.2K a year",,,Charleston,WV,"25304"
24-02-2022,"Eligibility Specialist","Valley Health Systems Inc",valleyhealth.org,"Nonprofit Organization Management","$26.7K ? $33.9K a year",,,Charleston,WV,"25313"
23-02-2022,"Bookkeeping Coach","Business Development Resources",bdrco.com,"Management Consulting","Up to $100,000 a year",,,Charleston,WV,"25330"
24-02-2022,"Customer Service Representative",Ty,ty.com,"Consumer Goods","$60,000 - $75,000 a year",,,Charleston,WV,""
25-02-2022,"Health and Human Resources Associate (Temporary)","WV Department of Health and Human Resources",,,"$16 - $18 an hour",,"Downtown area",Charleston,WV,"25301"
24-02-2022,"Community Resource Specialist","FamilyCare Health Centers",,,"$26.4K ? $33.4K a year",,,Charleston,WV,"25387"
25-02-2022,"Team Member","Dairy Queen",dairyqueen.com,"Food & Beverages","$9.50 - $11.00 an hour",,"Edgewood area",Charleston,WV,"25312"
23-02-2022,"CAD CDBG Monitor","West Virginia Department of Commerce",,,"$35,000 - $50,000 a year",,"East End area",Charleston,WV,"25305"
24-02-2022,"Front Desk Receptionist","AlignHR, LLC",,,"$22.5K ? $28.5K a year",,,Charleston,WV,""
22-02-2022,"Delivery Driver","D.P. Dough",dpdough.com,Restaurants,"$12 - $25 an hour",,"Downtown area",Charleston,WV,"25387"
23-02-2022,"Press Operator","HD Media, LLC",,,"From $12 an hour",,"Downtown area",Charleston,WV,"25301"
24-02-2022,"Investigator 3 - HRC","WV Department of Health and Human Resources",,,"$34,688 - $64,172 a year",,"East End area",Charleston,WV,"25301"
24-02-2022,"Travel Retail Merchandiser (Full Time)","ProVantage Corporate Solutions",provantage-corp.com,Retail,"$15 an hour",,,Charleston,WV,""
23-02-2022,"Billing Clerk","Nova Trucking, LLC",,,"$20,000 - $30,000 a year",,,Charleston,WV,""
25-02-2022,"CNC Operator","Bailes Granite & Marble",,,"$12 - $16 an hour",,"West Side area",Charleston,WV,"25387"
24-02-2022,Nutritionist,"Valley Health Systems Inc",valleyhealth.org,"Nonprofit Organization Management","$55.9K ? $70.7K a year",,,Charleston,WV,"25313"
24-02-2022,"Program Supervisor",Sevita,sevita.com,"Food Production",,,,Charleston,WV,""
23-02-2022,"Health and Human Resources Associate (OEPS)","WV Department of Health and Human Resources",,,"$25,147 - $46,521 a year",,"Downtown area",Charleston,WV,"25301"
24-02-2022,"Administrative Services Assistant 1 - OIG","WV Department of Health and Human Resources",,,"$25,147 - $46,521 a year",,"East End area",Charleston,WV,"25305"
23-02-2022,"General Labor","Appalachian Tire Products, Inc",,,"$24.4K ? $31K a year",,,Charleston,WV,"25387"
25-02-2022,"Laboratory Scientist 2 (Temporary)","WV Department of Health and Human Resources",,,"$32,722 - $60,535 a year",,"East End area",Charleston,WV,"25305"
24-02-2022,"Baby Gear Provider","Babies Getaway US",babiesgetaway.com,,"$1,500 - $2,000 a month",,,Charleston,WV,""
23-02-2022,"In-Store Product Assembler","National Assemblers",teamnai.com,Retail,"$43.4K ? $55K a year",,,Charleston,WV,""
24-02-2022,"IT Program Manager","Charleston Area Medical Center (CAMC)",,,,,"Downtown area",Charleston,WV,"25301"
24-02-2022,"Health Facilities Surveyor 1","WV Department of Health and Human Resources",,,"$32,722 - $60,535 a year",,,Charleston,WV,""
23-02-2022,Receptionist,"ZMM Architects and Engineers",,,"$15 an hour",,"West Side area",Charleston,WV,"25302"
25-02-2022,"Forensic Analyst 4","WV Department of Health and Human Resources",,,"$36,779 - $68,041 a year",,"East End area",Charleston,WV,"25305"
23-02-2022,"Accountant I","Charleston Surgical Hospital",charlestonsurgicalhospital.com,"Hospital & Health Care","$16 - $25 an hour",,"East End area",Charleston,WV,"25301"
25-02-2022,"Assitant Manager","Dairy Queen",dairyqueen.com,"Food & Beverages","$11.75 - $14.00 an hour",,"Edgewood area",Charleston,WV,"25312"
25-02-2022,"Health and Human Resources Specialist (Temporary)","WV Department of Health and Human Resources",,,"$29,396 - $54,382 a year",,"East End area",Charleston,WV,"25305"
24-02-2022,"General Handyman","Clean Sweep Facilities Management Holdings",,,"$25 - $43 an hour",,,Charleston,WV,""
25-02-2022,"Health and Human Resources Program Manager 2 - BBH","WV Department of Health and Human Resources",,,"$42,988 - $79,527 a year",,"Downtown area",Charleston,WV,"25301"
25-02-2022,"Cleaning Technicians","Top Notch Service Group Inc.",,,"From $10 an hour",,,Charleston,WV,"25303"
25-02-2022,Housekeeper,"Highland Hospital",highlandhosp.com,"Mental Health Care",,,"Kanawha City area",Charleston,WV,"25304"
22-02-2022,"Full-Time Center Associate","The UPS Store #5077",,,"$10.50 an hour",,,Charleston,WV,"25304"
23-02-2022,"Disease Intervention Specialist Trainee","WV Department of Health and Human Resources",,,"$26,406 - $48,851 a year",,"Downtown area",Charleston,WV,"25301"
23-02-2022,"Research Specialist 2","WV Department of Health and Human Resources",,,"$34,688 - $64,172 a year",,"Downtown area",Charleston,WV,"25301"
24-02-2022,"Full Time Security Officer","Allied Universal",aus.com,"Security & Investigations","$11 an hour",,,Charleston,WV,"25301"
25-02-2022,"Behavioral Health Technician","Highland Hospital",highlandhosp.com,"Mental Health Care","From $11.51 an hour",,"Kanawha City area",Charleston,WV,"25304"
23-02-2022,"Broadband Administrative Assistant","West Virginia Department of Commerce",,,"$25,000 - $46,500 a year",,"East End area",Charleston,WV,"25305"
25-02-2022,"Janitorial Area Supervisor","Top Notch Service Group Inc.",,,"$15 - $17 an hour",,,Charleston,WV,"25303"
25-02-2022,"Professional Legal File Clerk / Runner","Flaherty Sensabaugh Bonasso PLLC",flahertylegal.com,"Law Practice","$27.5K ? $34.9K a year",,,Charleston,WV,""
23-02-2022,"Medical Assistant","WVU Physicians of Charleston",wvupc.org,"Higher Education","$12.71 - $19.86 an hour",,"Kanawha City area",Charleston,WV,"25304"
