DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/16/2022,"Ambulatory Department Coordinator","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
2/16/2022,"Provider Engagement Executive - WV",Humana,humana.com,"Health, Wellness & Fitness",,Remote,,"Remote in Charleston",WV,""
2/16/2022,"Construction Manager",KGPCo,kgpco.com,Telecommunications,,,,Charleston,WV,"25301"
2/15/2022,"Transportation Office Assistant Coordinator - Greenbrier Cou...","West Virginia Department of Transportation (WV)",wvu.edu,"Higher Education",,,,Charleston,WV,"25305"
2/16/2022,"Park Superintendent 4-DNR-Statewide","West Virginia",mywvvacation.com,"Industry: Newspapers & News Services, Media & Internet","$1,000 a month",,"East End area",Charleston,WV,"25305"
2/15/2022,"CADD Technician",HDR,hdrinc.com,Design,,,"Downtown area",Charleston,WV,"25301"
2/16/2022,"Park Superintendent 3 - Babcock State Park - Statewide","West Virginia",mywvvacation.com,"Industry: Newspapers & News Services, Media & Internet",,,"East End area",Charleston,WV,"25305"
2/16/2022,"Counselor Support Specialist","YWCA of Charleston - Resolve Family Abuse Program",,,"$27 an hour",,,Charleston,WV,"25301"
2/17/2022,"Production Manager",B..A.I.,baiforum.jp,,"$60,000 - $85,000 a year",,,Charleston,WV,""
2/17/2022,"Assistant General Manager","Chesapeake Hospitality",chesapeakehospitality.com,Hospitality,,,,Charleston,WV,"25309"
2/14/2022,"Behavioral Health Technical Assistance Specialist","Quality Insights",qualityinsights.org,"Hospital & Health Care",,,,Charleston,WV,"25304"
2/16/2022,"IT Specialist","Appalachian Council Head Start",,,"$35,000 - $48,000 a year",,"Downtown area",Charleston,WV,"25301"
2/16/2022,"Functional Analyst","GreatStaff Search Professionals",gsprofessionalsllc.com,,"$90,000 - $110,000 a year",,,Charleston,WV,"25320"
2/17/2022,"Business Manager","T-Mobile by Nu-Wave Wireless",nuwavewireless.com,Wireless,"$36,000 a year",,,Charleston,WV,"25301"
2/16/2022,"Regional Sales Manager- Activator (Southeast territory)","Dominion Enterprises",dominionenterprises.com,"Marketing & Advertising",,,,Charleston,WV,"25301"
2/16/2022,"Telecom Construction Manager III - Charleston WV","Brook Consultants Inc",brookconsultants.com,E-Learning,,,,Charleston,WV,""
