DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-17,"Desktop Support Analyst 2","CAMC Health System",camc.org,"Hospital & Health Care","$39.9K – $50.5K a year",,"Oakridge/Greenbrier area",Charleston,WV,"25311"
2022-03-17,"Administrative Secretary","CAMC Health System",camc.org,"Hospital & Health Care","$29.5K – $37.3K a year",,,Charleston,WV,""
2022-03-17,"Patient Accounts Supervisor","CAMC Health System",camc.org,"Hospital & Health Care","$48.2K – $61K a year",,,Charleston,WV,""
2022-03-15,"Professional Development Specialist - West Virginia","Curriculum Associates",curriculumassociates.com,Publishing,"$54.1K – $68.5K a year",,,Charleston,WV,"25301"
2022-03-16,"Client Project Manager - Remote USA",Intelerad,intelerad.com,"Medical Devices","$89.2K – $113K a year",Remote,,"Remote in Charleston",WV,""
2022-03-17,"Manager of Vehicle Services","Firestone Complete Auto Care",firestonecompleteautocare.com,Automotive,,,"Downtown area",Charleston,WV,"25301"
2022-03-16,"Business Banker II","Truist Financial",truist.com,"Financial Services",,,"Downtown area",Charleston,WV,"25301"
2022-03-16,"Field Service Technician - Charleston, WV","Diversey, Inc.",diversey.com,Chemicals,"$34.4K – $43.6K a year",,,Charleston,WV,""
2022-03-17,"Audit Manager","CAMC Health System",camc.org,"Hospital & Health Care","$82.9K – $105K a year",,,Charleston,WV,""
2022-03-16,"Network Security Specialist","TC Energy",tcenergy.com,"Oil & Energy","$85.6K – $108K a year",Remote,,"Hybrid remote in Charleston",WV,""
2022-03-15,"Transportation Program Analyst 3 - Kanawha County","West Virginia Department of Transportation (WV)",wvu.edu,"Higher Education","$47.5K – $60.1K a year",,,Charleston,WV,"25305"
2022-03-16,"Division Sales Manager - Renal Account Specialist - Mid-Atla...",AstraZeneca,astrazeneca.com,Pharmaceuticals,,,,Charleston,WV,"25396"
