DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-10,"Full Time Security Guard","Allied Universal®",,,"$13 an hour",,,Charleston,WV,"25302"
2022-04-09,"9th Grade Football Coach (2022-2023)","Kanawha County School District",k12.wv.us,"Education Management","$35.7K – $45.3K a year",,,Charleston,WV,"25311"
2022-04-09,"Environmental Services Tech 2 -- Housekeeping -- Women & Chi...","CAMC Health System",camc.org,"Hospital & Health Care","$25.1K – $31.7K a year",,,Charleston,WV,""
2022-04-10,"Pre-Certification Specialist","CAMC Health System",camc.org,"Hospital & Health Care","$29.5K – $37.3K a year",,,Charleston,WV,""
2022-04-08,"Transportation DMV Agent 1 - Raleigh County","West Virginia Department of Transportation (WV)",wvu.edu,"Higher Education",,,,Charleston,WV,"25305"
2022-04-09,"Phlebotomist -- Lab -- General Hospital","CAMC Health System",camc.org,"Hospital & Health Care","$29.8K – $37.8K a year",,,Charleston,WV,""
2022-04-09,"Warehouse Associate",Ferguson,ferguson.com,Wholesale,,,,Charleston,WV,""
2022-04-09,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,,Charleston,WV,"25312"
2022-04-10,"Client Project Specialist - Remote, USA",Intelerad,intelerad.com,"Medical Devices",,Remote,,"Remote in Charleston",WV,""
2022-04-09,"Utility Locator","USIC Locating Services, LLC",usicllc.com,Utilities,"$15 an hour",,,Charleston,WV,"25301"
2022-04-10,"Full Time Security Guard","Allied Universal®",,,"$10 an hour",,,Charleston,WV,"25301"
2022-04-09,"Entry Level Construction Inspector","Mead & Hunt",meadhunt.com,"Civil Engineering","$37K – $46.8K a year",,"Oakridge/Greenbrier area",Charleston,WV,"25311"
2022-04-10,"Medical Records Coder Inpatient 3","CAMC Health System",camc.org,"Hospital & Health Care","$32.6K – $41.2K a year",,,Charleston,WV,""
2022-04-09,"Assistant Football Coach (2022-2023)","Kanawha County School District",k12.wv.us,"Education Management","$33.4K – $42.4K a year",,,Charleston,WV,"25311"
2022-04-08,"Transportation Office Assistant 1 - Kanawha County","West Virginia Department of Transportation (WV)",wvu.edu,"Higher Education",,,,Charleston,WV,"25305"
2022-04-08,"Administrative Services Assistant 1 - General Services - Kan...","West Virginia",mywvvacation.com,"Industry: Newspapers & News Services, Media & Internet",,,"East End area",Charleston,WV,"25305"
2022-04-09,"Corrections Industries Supervisor 1-DCR/St. Mary's Correctio...","West Virginia",mywvvacation.com,"Industry: Newspapers & News Services, Media & Internet",,,"East End area",Charleston,WV,"25305"
2022-04-09,"Administrative Services Assistant 1-Culture & History/Volunt...","West Virginia",mywvvacation.com,"Industry: Newspapers & News Services, Media & Internet",,,"East End area",Charleston,WV,"25305"
2022-04-09,"Food Runner",Chilis,chilis.com,Restaurants,,,"Downtown area",Charleston,WV,"25389"
2022-04-08,"Facilities/Equipment Maintenance Technician - General Servic...","West Virginia",mywvvacation.com,"Industry: Newspapers & News Services, Media & Internet",,,"East End area",Charleston,WV,"25305"
2022-04-10,"Registration Representative","CAMC Health System",camc.org,"Hospital & Health Care","$25.9K – $32.7K a year",,,Charleston,WV,""
2022-04-08,"Regulatory Licensing Support Specialist 1 - Alcohol Beverage...","West Virginia",mywvvacation.com,"Industry: Newspapers & News Services, Media & Internet",,,"East End area",Charleston,WV,"25305"
2022-04-11,"Cold & warm leads cash discount","BPS Worldwide LLC",bpsworldwide.com,"Financial Services","Up to $10,000 a month",,,Charleston,WV,""
2022-04-08,"Transportation Worker 2 Equipment Operator - Hardy County","West Virginia Department of Transportation (WV)",wvu.edu,"Higher Education",,,,Charleston,WV,"25305"
2022-04-09,"Remote High Performance Automotive Tech Sales","JEGS AUTOMOTIVE LLC",,,"$42.8K – $54.2K a year",Remote,,"Remote in Charleston",WV,"25301"
2022-04-09,Housekeeper,"Highland Hospital",highlandhosp.com,"Mental Health Care",,,"Kanawha City area",Charleston,WV,"25304"
2022-04-09,"Administrative Assistant","Northwestern Mutual - West Virginia",,,"$28,000 - $31,000 a year",,"West Side area",Charleston,WV,"25302"
2022-04-11,Programmer,"West Virginia Department of Environmental...",,,"$34,600 - $64,100 a year",,"Kanawha City area",Charleston,WV,"25304"
2022-04-09,"Litigation Paralegal","Shuman McCuskey Slicer PLLC",shumanlaw.com,"Legal Services","$38.5K – $48.7K a year",,"East End area",Charleston,WV,"25301"
2022-04-09,"Family Self-Sufficiency (FSS) Case Specialist","Charleston-Kanawha Housing Authority",charlestonhousing.com,,"$15.89 an hour",,,Charleston,WV,"25387"
2022-04-09,"Weekend Behavioral Health Technician","Highland Hospital",highlandhosp.com,"Mental Health Care","From $11.51 an hour",,"Kanawha City area",Charleston,WV,"25304"
2022-04-09,"Physician Assistant","Highland Hospital",highlandhosp.com,"Mental Health Care",,,"Kanawha City area",Charleston,WV,"25304"
2022-04-10,"Traveling Nurse (LPN)","The Centers for Living and Rehabilitation",centerforlivinghc.com,,"From $30 an hour",,,Charleston,WV,""
2022-04-09,"RN- Women's Trauma Unit","Highland Hospital",highlandhosp.com,"Mental Health Care",,,"Kanawha City area",Charleston,WV,"25304"
2022-04-11,"Sales **Urgently Hiring**",Terminix,terminix.com,"Consumer Services","$40,000 - $60,000 a year",,,Charleston,WV,""
2022-04-09,"General Laborer","MSP Hoarding",minneapolishoarding.com,,"$17 - $20 an hour",,,Charleston,WV,""
2022-04-11,"Day Shift Nurse","Meadowbrook Acres Nursing Center",meadowbrookacres.net,"Hospital & Health Care","$41.4K – $52.4K a year",,,Charleston,WV,"25311"
2022-04-09,"Drive-Thru/Cashier Team Member (11am-8pm)","Chick-fil-A | Southridge",,,"$14.50 - $15.50 an hour",,,Charleston,WV,"25309"
2022-04-09,"Registered Nurse (RN)","Highland Hospital",highlandhosp.com,"Mental Health Care",,,"Kanawha City area",Charleston,WV,"25304"
2022-04-10,"Delivery Driver","Papa Johns Pizza",,,"$12 - $21 an hour",,,Charleston,WV,"25312"
2022-04-09,"Travel Retail Merchandiser","Merchco Services Inc.",,,"Up to $20 an hour",,,Charleston,WV,""
2022-04-09,"Veterinary Technician / Assistant","Valley West Veterinary Hospital",valleywestvets.com,"Hospital & Health Care","$12 - $16 an hour",,"West Side area",Charleston,WV,"25302"
2022-04-09,"Housekeeping Aide","Meadowbrook Acres Nursing Center",meadowbrookacres.net,"Hospital & Health Care","$23K – $29.2K a year",,,Charleston,WV,"25311"
1970-01-01,"Advertising Sales/Publisher B2B","SYC Media Group",,,"$79.3K – $100K a year",,"Downtown area",Charleston,WV,"25301"
2022-04-09,"Substance Abuse Counselor","Comprehensive Treatment Centers",cartersvillectc.com,"Hospital & Health Care",,,,Charleston,WV,"25311"
2022-04-11,"Corridor G - Buffalo Wild Wings |-Server","Buffalo Wild Wings",buffalowildwings.com,Restaurants,,,,Charleston,WV,"25309"
2022-04-09,"Hotel Night Auditor","Four Points Charleston",,,"$25.5K – $32.3K a year",,"Downtown area",Charleston,WV,"25301"
2022-04-10,"Retail Sales Associate","Certified Oil",certifiedoil.com,Retail,,,,Charleston,WV,"25312"
2022-04-09,"Weekend Registered Nurse (RN)","Highland Hospital",highlandhosp.com,"Mental Health Care",,,"Kanawha City area",Charleston,WV,"25304"
2022-04-09,"Automotive Parts Installer","Leonard Buildings & Truck Accessories",,,"$33K – $41.8K a year",,,Charleston,WV,"25309"
2022-04-09,"Travel Retail Merchandiser (Full Time)","ProVantage Corporate Solutions",provantage-corp.com,Retail,"$15 an hour",,,Charleston,WV,""
2022-04-10,"Restaurant Server / Catering Team Member","Chesapeake Hospitality",chesapeakehospitality.com,Hospitality,"$29.8K – $37.8K a year",,,Charleston,WV,"25303"
2022-04-11,"Corridor G - Buffalo Wild Wings - Cashier","Buffalo Wild Wings",buffalowildwings.com,Restaurants,,,,Charleston,WV,"25309"
2022-04-09,"Journeyman Electrical Lineman (QEW)",Novinium,,,"$30 - $45 an hour",,,Charleston,WV,""
2022-04-09,"Breakfast Attendant - Hampton Inn by Hilton - Southridge","Chesapeake Hospitality",chesapeakehospitality.com,Hospitality,"$22.9K – $29.1K a year",,,Charleston,WV,"25309"
2022-04-10,"Behavioral Health Professional - LPC or LMSW/LCSW - Full Tim...","PrimeCare Medical of West Virginia Inc",,,"$41.5K – $52.5K a year",,,Charleston,WV,"25309"
2022-04-11,"Class B Local Route Driver","KnightHorst Shredding",knighthorst.com,"Consumer Services","From $15 an hour",,"Oakridge/Greenbrier area",Charleston,WV,"25311"
