DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-26,"SUPERVISOR, SAFETY & SECURITY",Froedtert,froedtert.com,"Hospital & Health Care",,,,Milwaukee,WI,""
2022-03-26,"Disabilities Services Coordinator - 8324 Court Services","Milwaukee County",milwaukee.gov,"Government Administration","$53,826 - $61,823 a year",,"Zoo area",Milwaukee,WI,"53226"
2022-03-26,"Assistant Office Supervisor - Sheriff","Milwaukee County",milwaukee.gov,"Government Administration","$23.48 - $27.05 an hour",,"Marquette area",Milwaukee,WI,"53233"
2022-03-26,"Financial Program Supervisor","State of Wisconsin",wisc.jobs,"Government Administration","$51,625 - $85,196 a year",,,Milwaukee,WI,""
2022-03-26,"Advancement Officer, Phonathon","Marquette University",marquette.edu,"Higher Education","$53.5K ? $67.7K a year",,"Marquette area",Milwaukee,WI,"53233"
2022-03-26,"Probation and Parole Agent - Bilingual Spanish","State of Wisconsin",wisc.jobs,"Government Administration","$20.79 an hour",,,Milwaukee,WI,""
2022-03-26,"Medical Staff Coordinator","Milwaukee County",milwaukee.gov,"Government Administration","$41.6K ? $52.6K a year",,"Zoo area",Milwaukee,WI,"53226"
2022-03-26,"SUPERVISOR, SAFETY & SECURITY",Froedtert,froedtert.com,"Hospital & Health Care",,,,Milwaukee,WI,"53202"
2022-03-26,"Franchise Development Consultant","Coverall North America, Inc.",coverall.com,"Facilities Services","$48.5K ? $61.3K a year",,,Milwaukee,WI,""
2022-03-26,"Customer Service Specialist","Saputo Inc.",saputo.com,"Food Production",,,,Milwaukee,WI,""
2022-03-26,"Representative Payee Supervisor","Wisconsin Community Services, Inc.",,,,,"Miller Valley area",Milwaukee,WI,"53208"
2022-03-26,"Customer Service Representative","RR Donnelley",rrd.com,"Marketing & Advertising",,,,Milwaukee,WI,""
2022-03-26,"General Dentist","US Veterans Health Administration",va.gov,"Government Administration","$175,000 - $230,000 a year",Remote,,"Temporarily Remote in Milwaukee",WI,"53295"
2022-03-26,"Delivery Leader - Recruitment","Cielo Talent",cielotalent.com,"Human Resources",,,,Milwaukee,WI,""
2022-03-26,"Supervisor - Case Mgmt",MAXIMUS,maximus.com,"Government Administration",,,"Garden Homes area",Milwaukee,WI,"53216"
2022-03-26,"Training Specialist","Franklin Energy",franklinenergy.com,"Renewables & Environment","$46.4K ? $58.8K a year",,"Kilbourn Town area",Milwaukee,WI,"53290"
2022-03-26,"Technician, Installation 3",AVI-SPL,avispl.com,"Information Technology & Services",,,"Calumet Farms area",Milwaukee,WI,"53224"
2022-03-28,"Production Supervisor","AZZ Incorporated",azz.com,"Electrical/Electronic Manufacturing","$40.2K ? $51K a year",,"Franklin Heights area",Milwaukee,WI,"53206"
2022-03-26,"Implementation - Conversion Analyst Specialist","FIS Global",fisglobal.com,"Computer Games",,,"Calumet Farms area",Milwaukee,WI,"53224"
2022-03-26,"Marketing Specialist",Rite-Hite,ritehite.de,,,,"Bradley Estates area",Milwaukee,WI,"53223"
2022-03-26,"Coordinator, Employer Relations","Marquette University",marquette.edu,"Higher Education","$37.4K ? $47.4K a year",,"Marquette area",Milwaukee,WI,"53233"
2022-03-26,"Business Analyst - REMOTE","Eagle Creek Software Services",eaglecrk.com,"Information Technology & Services","$75.5K ? $95.5K a year",Remote,,"Remote in Milwaukee",WI,""
2022-03-26,"Epicor Systems Analyst-REMOTE!","Elkay Manufacturing",elkay.com,"Consumer Goods","$72.9K ? $92.3K a year",Remote,,"Remote in Milwaukee",WI,"53202"
2022-03-26,"Delivery Leader - Recruitment",Cielo,cielo.com.br,"Financial Services",,,,Milwaukee,WI,""
2022-03-26,"Application Specialist","Marquette University",marquette.edu,"Higher Education","$52.6K ? $66.6K a year",Remote,,"Hybrid remote in Milwaukee",WI,"53233"
2022-03-26,"Compensation and Benefits Manager","Group II",groupii.biz,"Human Resources","$77.4K ? $98K a year",,,Milwaukee,WI,""
2022-03-26,"Supervisor RN Health and Compliance","Goodwill Industries of Southeastern Wisconsin &...",goodwillsew.com,Retail,"$67.7K ? $85.7K a year",,"Parkway Hills area",Milwaukee,WI,"53225"
2022-03-26,"Relief Garage Manager / Quality Control Inspector","Milwaukee County Transit System",ridemcts.com,Transportation/Trucking/Railroad,"$66K ? $83.6K a year",,"Triangle area",Milwaukee,WI,"53205"
2022-03-26,"AV Installation Technician II",AVI-SPL,avispl.com,"Information Technology & Services",,,"Calumet Farms area",Milwaukee,WI,"53224"
2022-03-26,"Accounting Clerk",Rite-Hite,ritehite.de,,,,"Bradley Estates area",Milwaukee,WI,"53223"
2022-03-26,"Data and Analytics Consultant - Remote/WFH Option","KiZAN Technologies",kizan.com,"Information Technology & Services","$81.5K ? $103K a year",Remote,,"Remote in Milwaukee",WI,""
2022-03-26,"Payroll/Accounts Payable Specialist","Wisconsin Community Services, Inc.",,,,,"Miller Valley area",Milwaukee,WI,"53208"
2022-03-26,"Marketing Systems Analyst (Remote)","Ada Inc.",ada.cx,,"$76.5K ? $96.9K a year",Remote,,"Remote in Milwaukee",WI,""
2022-03-26,"Office Systems Professional","Konica Minolta",konicaminolta.in,"Information Technology & Services",,,"Kilbourn Town area",Milwaukee,WI,"53201"
2022-03-26,"Project Coordinator",AVI-SPL,avispl.com,"Information Technology & Services",,,"Calumet Farms area",Milwaukee,WI,"53224"
2022-03-28,"Grant Accountant","Next Door Milwaukee",,,"$46.9K ? $59.3K a year",,,Milwaukee,WI,""
2022-03-26,"Quality Specialist 2","RR Donnelley",rrd.com,"Marketing & Advertising",,,,Milwaukee,WI,""
2022-03-26,"Noise Analyst II","HNTB Corporation",hntb.com,"Civil Engineering","$62.2K ? $78.8K a year",,"Martin Drive area",Milwaukee,WI,"53208"
2022-03-26,"Life and Annuity Agent - Milwaukee South","Auto Club Group",aaawisconsin.com,,,,,Milwaukee,WI,"53202"
2022-03-26,"Account Manager- Southeastern, WI & Northern, IL/Chicago",Vernet,,,"$48.6K ? $61.6K a year",,"Bradley Estates area",Milwaukee,WI,"53223"
