DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
02-03-2022,"Lead Merchandiser - Remote",Harley-Davidson,harleyofmasoncity.com,Automotive,,Remote,,"Remote in Milwaukee",WI,""
01-03-2022,"Director of Building Operations","Milwaukee Bucks",nba.com,Sports,,,"Kilbourn Town area",Milwaukee,WI,"53203"
03-03-2022,"Customer Success Director- CPG",Numerator,numerator.com,"Market Research",,Remote,,"Remote in Milwaukee",WI,""
01-03-2022,"Business Analyst","Johnson Controls",ashburton.wa.gov.au,"Government Administration",,,,Milwaukee,WI,""
01-03-2022,"Executive Director, Community Education, HSI Initiatives, an...","Milwaukee Area Technical College",matc.edu,"Higher Education","$101,320 - $136,785 a year",,"Kilbourn Town area",Milwaukee,WI,"53203"
03-03-2022,"Metaverse Business Strategist",Accenture,cazoodle.com,"Computer Software",,,"Juneau Town area",Milwaukee,WI,"53202"
02-03-2022,"Training Manager","Milwaukee County Transit System",ridemcts.com,Transportation/Trucking/Railroad,,,"Triangle area",Milwaukee,WI,"53205"
03-03-2022,"Director, Semiconductor & Electronics","Rockwell Automation",rockwellautomation.com,"Industrial Automation",,,"Walker's Point area",Milwaukee,WI,"53204"
02-03-2022,"Li-Ion Engineering Project Lead",Clarios,clarios.com,Automotive,,,,Milwaukee,WI,""
02-03-2022,"Principal Product Security Architect","Johnson Controls",ashburton.wa.gov.au,"Government Administration",,,,Milwaukee,WI,""
02-03-2022,"Software Product Architect - Cloud","Rockwell Automation",rockwellautomation.com,"Industrial Automation","$115,920 a year",,"Walker's Point area",Milwaukee,WI,"53204"
02-03-2022,"Modern Change Principal Director",Accenture,cazoodle.com,"Computer Software",,,"Juneau Town area",Milwaukee,WI,"53202"
03-03-2022,"Wisconsin Wastewater/Water Leader & Client Service Manager","Brown & Caldwell",,,,,"Juneau Town area",Milwaukee,WI,"53202"
02-03-2022,"MANAGER, GLOBAL CORPORATE AGREEMENTS","Rockwell Automation",rockwellautomation.com,"Industrial Automation",,,"Walker's Point area",Milwaukee,WI,"53204"
01-03-2022,"Program Manager","Johnson Controls",ashburton.wa.gov.au,"Government Administration",,,,Milwaukee,WI,""
02-03-2022,"VP, Business Transformation BSNA","Johnson Controls",ashburton.wa.gov.au,"Government Administration",,,,Milwaukee,WI,""
02-03-2022,"Financial Systems Architect","Rockwell Automation",rockwellautomation.com,"Industrial Automation",,Remote,,"Remote in Milwaukee",WI,""
01-03-2022,"Internal Audit Manager - Data analytics","Johnson Controls",ashburton.wa.gov.au,"Government Administration",,,,Milwaukee,WI,""
02-03-2022,"Enterprise Business Intelligence Insights Leader- Remote","Johnson Controls",ashburton.wa.gov.au,"Government Administration",,Remote,,"Remote in Milwaukee",WI,""
01-03-2022,"Director Product Management/Critical Environment","Johnson Controls",ashburton.wa.gov.au,"Government Administration",,,,Milwaukee,WI,""
01-03-2022,"Field Finance Controller","Johnson Controls",ashburton.wa.gov.au,"Government Administration",,,,Milwaukee,WI,""
01-03-2022,"Enterprise Agile Coach","Johnson Controls",ashburton.wa.gov.au,"Government Administration",,,,Milwaukee,WI,""
01-03-2022,"Engineering Services Director - Solution Delivery (Remote)","Johnson Controls",ashburton.wa.gov.au,"Government Administration",,Remote,,"Remote in Milwaukee",WI,""
02-03-2022,"Application Consultant, Pre-Sales (Remote)","Rockwell Automation",rockwellautomation.com,"Industrial Automation",,Remote,,"Remote in Milwaukee",WI,""
01-03-2022,"Executive Director, Community Education, HSI Initiatives, an...","Milwaukee Area Technical College",matc.edu,"Higher Education",,,"Kilbourn Town area",Milwaukee,WI,"53233"
03-03-2022,"Technical Project Manager","Artemis Consulting, Inc.",artemisconsultinginc.com,"Information Technology & Services",,,"Kilbourn Town area",Milwaukee,WI,"53201"
02-03-2022,"Project Manager","Symbiont Science, Engineering & Construction, Inc.",symbiontengineer.com,,,,,Milwaukee,WI,"53214"
01-03-2022,"Vertical Marketing Manager, Institutional","Zurn Water Solutions",zurnwatersolutions.com,"Building Materials",,,"Walker's Point area",Milwaukee,WI,"53204"
02-03-2022,"Maintenance Manager","Klement Sausage Company",klements.com,"Food Production",,,,Milwaukee,WI,""
02-03-2022,"Director of Process Development","COnovate Inc.",,,,,,Milwaukee,WI,""
01-03-2022,"Director of Building Operations","Milwaukee Bucks",nba.com,Sports,,,"Kilbourn Town area",Milwaukee,WI,"53203"
01-03-2022,"Director of Strategic Partnerships, HOPA","Executive Director, Inc.",execinc.com,"Nonprofit Organization Management",,,,Milwaukee,WI,""
02-03-2022,"Enterprise OEM Sales (Midwest based)",Qlik,qlik.com,"Computer Software",,Remote,,"Remote in Madison",WI,""
03-03-2022,"Project Manager","Hooper Corporation",hoopercorp.com,Construction,,,,Madison,WI,"53704"
01-03-2022,"VP, Business Development (Agency Funding)","Cinnaire Corporation",cinnaire.com,"Financial Services",,,"Madison area",Madison,WI,"53703"
