DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-05-22,"Eligibility Screener, TMG-Remote in Milwaukee County, WI","Molina Healthcare",molinahealthcare.com,"Hospital & Health Care",,Remote,,"Remote in Milwaukee",WI,"53224"
2022-05-22,"Health Information Representative","Advocate Aurora Health",advocateaurorahealth.org,"Hospital & Health Care",,,"Forest Home Hills area",Milwaukee,WI,"53215"
2022-05-21,"Prevention Specialist - Milwaukee, WI","Vivent Health",viventhealth.org,"Hospital & Health Care","$26.9K - $34.1K a year",,"Kilbourn Town area",Milwaukee,WI,"53203"
2022-05-22,"Community Health Worker","Advocate Aurora Health",advocateaurorahealth.org,"Hospital & Health Care",,,"Marquette area",Milwaukee,WI,"53233"
2022-05-23,"Healthcare Outside Sales Representative",PatientPoint,,,,Remote,,"Hybrid remote in Milwaukee",WI,""
2022-05-21,"Civil Legal Aid Law Clerk","Legal Action of Wisconsin, Inc.",legalaction.org,"Law Practice","$48.6K - $61.6K a year",Remote,,"Remote in Milwaukee",WI,"53203"
2022-05-22,"Sales Associate/Beauty Advisor","Sally Beauty Supply LLC",,,,,"Lower East Side area",Milwaukee,WI,"53202"
2022-05-20,"Procedure Scheduler / Patient Service Rep - Surgery","MADISON MEDICAL AFFILIATES INC",madisonmedical.com,"Hospital & Health Care",,,"Northpoint area",Milwaukee,WI,"53211"
2022-05-22,"Administrative Assistant - Well Being Initiative","Advocate Aurora Health",advocateaurorahealth.org,"Hospital & Health Care",,,"Walker's Point area",Milwaukee,WI,"53204"
2022-05-21,"Clinical Research Assistant II","Medical College of Wisconsin",mcw.edu,"Higher Education",,,,Milwaukee,WI,"53226"
2022-05-22,"GUEST RELATIONS REPRESENTATIVE, FH - FAMILY CENTER",Froedtert,froedtert.com,"Hospital & Health Care",,,,Milwaukee,WI,"53226"
2022-05-22,"STERILE PROCESSING TECHNICIAN, FH - STERILE PROCESSING",Froedtert,froedtert.com,"Hospital & Health Care",,,,Milwaukee,WI,"53202"
2022-05-22,"Patient Service Rep - St. Luke's Family Practice Center","Advocate Aurora Health",advocateaurorahealth.org,"Hospital & Health Care",,,"Forest Home Hills area",Milwaukee,WI,"53215"
2022-05-21,"Clinical Faculty - Milwaukee Campus","Marquette University",marquette.edu,"Higher Education",,,"Marquette area",Milwaukee,WI,"53233"
2022-05-21,"SCHEDULING COORDINATOR, FH - CLINIC-DOM-PULMONARY",Froedtert,froedtert.com,"Hospital & Health Care",,,,Milwaukee,WI,"53226"
2022-05-21,"FOOD SERVICE WORKER (FULL-TIME & PART-TIME)",TouchPoint,atouchpoint.com,Retail,,,"Morgandale area",Milwaukee,WI,"53215"
2022-05-21,"TRAUMA AND ACUTE CARE SURGERY REGISTRAR",Froedtert,froedtert.com,"Hospital & Health Care",,,,Milwaukee,WI,"53226"
2022-05-20,"Production Helper","KMC Stampings",,,"$28.5K - $36.1K a year",,"Harbor View area",Milwaukee,WI,"53204"
2022-05-20,"Production Helper","KMC Stampings",,,"$28.5K - $36.1K a year",,"Harbor View area",Milwaukee,WI,"53204"
2022-05-21,SECURITY,"Water Street Brewery",,,"$12 - $18 an hour",,,Milwaukee,WI,"53202"
2022-05-21,"Social Worker","Ascension at Home - Together with Compassus",ascensionathome.com,"Hospital & Health Care",,,,Milwaukee,WI,""
2022-05-23,"Commercial Cleaning Technician (Part-time)",Cleanworks,,,"$15 - $18 an hour",,,Milwaukee,WI,""
2022-05-20,"Director of Operations and Quality Assurance","Azura Memory Care",azuramemory.com,"Hospital & Health Care",,,,Milwaukee,WI,"53226"
2022-05-22,"Follow Up Representative I - Behavioral Health","Advocate Aurora Health",advocateaurorahealth.org,"Hospital & Health Care",,,"Forest Home Hills area",Milwaukee,WI,"53215"
2022-05-22,"STERILE PROCESSING TECHNICIAN, FH - STERILE PROCESSING",Froedtert,froedtert.com,"Hospital & Health Care",,,,Milwaukee,WI,"53226"
2022-05-21,"Manager - Community Relations","Milwaukee Brewers",brewers.com,Sports,"$37.6K - $47.6K a year",,"Story Hill area",Milwaukee,WI,"53214"
2022-05-22,Recruiter,"Azura Memory Care",azuramemory.com,"Hospital & Health Care","$44K - $55.8K a year",,,Milwaukee,WI,"53226"
2022-05-22,"HEALTH UNIT COORDINATOR - FIXED, FH - HEALTH UNIT COORDINATO...",Froedtert,froedtert.com,"Hospital & Health Care",,,,Milwaukee,WI,"53226"
2022-05-22,"Patient Service Representative II","Advocate Aurora Health",advocateaurorahealth.org,"Hospital & Health Care",,,"Forest Home Hills area",Milwaukee,WI,"53215"
2022-05-21,"Supply Clerk","Horizon Home Care & Hospice",horizonhomecareandhospice.org,"Hospital & Health Care",,,"Park Place area",Milwaukee,WI,"53224"
2022-05-22,"GUEST RELATIONS REPRESENTATIVE, FH - FAMILY CENTER",Froedtert,froedtert.com,"Hospital & Health Care",,,,Milwaukee,WI,"53202"
2022-05-21,"MILWAUKEE-BASED NANNY NEEDED FOR INFANT WITH SPECIAL NEEDS","The Nanny League, Inc.",thenannyleague.com,"Individual & Family Services","$20 - $30 an hour",,,Milwaukee,WI,"53202"
2022-05-21,"Advancement Associate, Annual Giving","Marquette University",marquette.edu,"Higher Education","$31.7K - $40.1K a year",Remote,,"Hybrid remote in Milwaukee",WI,"53233"
2022-05-21,"BEAUTY CONSULTANT",WALGREENS,walgreens.com,Retail,,,"Upper East Side area",Milwaukee,WI,"53211"
2022-05-21,"Operations Specialist, Vendor Management","Direct Supply",directsupply.com,"Hospital & Health Care","$46.5K - $58.9K a year",,,Milwaukee,WI,""
2022-05-21,"Fee Analyst 1","U.S. Bank",whitefortcapital.com,,,,,Milwaukee,WI,""
2022-05-21,"SCHEDULING COORDINATOR, FH - CLINIC-DOM-PULMONARY",Froedtert,froedtert.com,"Hospital & Health Care",,,,Milwaukee,WI,"53202"
2022-05-21,"Operations Assistant / Routing Coordinator (Full-Time)","GO Riteway Transportation Group",,,"$25.1K - $31.7K a year",,"Menomonee River Hills East area",Milwaukee,WI,"53218"
2022-05-21,"Entry Level Recruiter/Sales Trainee","Aston Carter",astoncarter.com,"Staffing & Recruiting","$45,000 a year",,"Cannon Park area",Milwaukee,WI,"53214"
2022-05-22,"TRANSPLANT ADMINISTRATIVE ASSISTANT",Froedtert,froedtert.com,"Hospital & Health Care",,,,Milwaukee,WI,"53226"
2022-05-22,"Commodity Specialist Level 5","Rockwell Automation",rockwellautomation.com,"Industrial Automation",,,"Walker's Point area",Milwaukee,WI,"53204"
2022-05-21,"Retirement Analyst - 1149 ERS","Milwaukee County",milwaukee.gov,"Government Administration","$22.35 an hour",,"Zoo area",Milwaukee,WI,"53226"
2022-05-20,"Medical Assistant (MA) Certified or Non-Certified - Pulmonar...","MADISON MEDICAL AFFILIATES INC",madisonmedical.com,"Hospital & Health Care",,,"Northpoint area",Milwaukee,WI,"53211"
2022-05-21,"Clinic Nurse RN- Forest View Pediatrics","Children's Wisconsin",,,"$65K - $82.2K a year",,,Milwaukee,WI,""
2022-05-20,"Material Handler","KMC Stampings",,,"$29.6K - $37.4K a year",,"Harbor View area",Milwaukee,WI,"53204"
2022-05-21,"Care Partner","Children's Wisconsin",,,"$30K - $38K a year",,,Milwaukee,WI,""
