DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-07-04,,Cigna,cigna.com,"Health, Wellness & Fitness","$16 - $18 an hour",Remote,,"Remote in Hartford",CT,"6152"
2022-07-04,,"The Travelers Companies, Inc.",,,"$34,600 - $57,200 a year",,,Hartford,CT,""
2022-07-04,,"The Travelers Companies, Inc.",,,"$57,300 - $94,500 a year",Remote,,"Hybrid remote in Hartford",CT,""
2022-07-04,,"New Apprenticeship",newapprenticeship.com,"Education Management","$35,000 - $45,000 a year",,"Downtown area",Hartford,CT,"6103"
2022-07-04,,"The Travelers Companies, Inc.",,,"$60,700 - $100,200 a year",Remote,,"Hybrid remote in Hartford",CT,""
2022-07-04,,Cigna,cigna.com,"Health, Wellness & Fitness","$63,200 - $105,400 a year",,"Frog Hollow area",Hartford,CT,"6152"
2022-07-04,,"Allied Universal® Compliance and Investigations",,,,,"Downtown area",Hartford,CT,"6102"
2022-07-04,,Accenture,cazoodle.com,"Computer Software",,,"Downtown area",Hartford,CT,"6103"
2022-07-04,,"Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6102"
2022-07-04,,Cigna,cigna.com,"Health, Wellness & Fitness",,,"Frog Hollow area",Hartford,CT,"6152"
2022-07-04,,"Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6106"
2022-07-04,,"The Travelers Companies, Inc.",,,"$76,700 - $126,600 a year",Remote,,"Hybrid remote in Hartford",CT,""
2022-07-04,,"DTLR | DTLR, Inc",,,,,,Hartford,CT,"6119"
2022-07-04,,"Capitol Region Education Council",bayswater.us,"Oil & Energy","$40K - $50.6K a year",,"Sheldon-Charter Oak area",Hartford,CT,"6106"
2022-07-04,,"The Travelers Companies, Inc.",,,"$60,700 - $100,200 a year",Remote,,"Hybrid remote in Hartford",CT,""
2022-07-04,,"Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6102"
2022-07-04,,"Trinity College",trincoll.edu,"Higher Education","$43.6K - $55.2K a year",,"Barry Square area",Hartford,CT,"6106"
2022-07-04,,"Amica Mutual Insurance Company",amica.com,Insurance,"$56,000 a year",,,Hartford,CT,""
2022-07-04,,Cigna,cigna.com,"Health, Wellness & Fitness","$95,900 - $159,800 a year",Remote,,"Remote in Hartford",CT,"6152"
2022-07-04,,"Reynolds and Reynolds",reyrey.com,"Computer Software","$48,000 - $50,000 a year",,"North Meadows area",Hartford,CT,"6101"
2022-07-04,,"Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6102"
2022-07-04,,"The Travelers Companies, Inc.",,,"$57,400 - $94,800 a year",Remote,,"Hybrid remote in Hartford",CT,""
2022-07-04,,Virtusa,virtusa.com,"Information Technology & Services",,,,Hartford,CT,""
2022-07-04,,"Capitol Region Education Council",bayswater.us,"Oil & Energy","$43.9K - $55.7K a year",,"Sheldon-Charter Oak area",Hartford,CT,"6106"
2022-07-04,,Compassus,compassus.com,"Hospital & Health Care",,,,Hartford,CT,""
2022-07-04,,"The Village For Families & Children",thevillage.org,"Civic & Social Organization","$40.7K - $51.5K a year",,"Barry Square area",Hartford,CT,"6114"
2022-07-04,,TEGNA,tegna.com,"Broadcast Media","$43.4K - $55K a year",,,Hartford,CT,""
2022-07-04,,"Trinity Health Of New England",,,,,"Asylum Hill area",Hartford,CT,"6105"
2022-07-04,,"Trinity Health Of New England",,,,,"Asylum Hill area",Hartford,CT,"6105"
2022-07-04,,"Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6106"
2022-07-04,,"Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6102"
2022-07-04,,"Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6106"
2022-07-04,,CTTRANSIT,cttransit.com,Transportation/Trucking/Railroad,"$21.44 an hour",,"North East area",Hartford,CT,"6141"
2022-07-04,,Cognizant,,,,,,Hartford,CT,""
2022-07-04,,"Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,,"North Meadows area",Hartford,CT,"6101"
2022-07-04,,"Voya Financial",voya.com,"Financial Services",,,,Hartford,CT,""
2022-07-04,,"Family Dollar",familydollar.com,Retail,,,"Frog Hollow area",Hartford,CT,""
2022-07-04,,"Family Dollar",familydollar.com,Retail,,,"Asylum Hill area",Hartford,CT,"6105"
2022-07-04,,"Family Dollar",familydollar.com,Retail,,,"Clay-Arsenal area",Hartford,CT,"6120"
2022-07-04,,"Family Dollar",familydollar.com,Retail,,,"South End area",Hartford,CT,"6114"
2022-07-04,,"Family Dollar",familydollar.com,Retail,,,"Asylum Hill area",Hartford,CT,"6105"
2022-07-04,,"Family Dollar",familydollar.com,Retail,,,"Frog Hollow area",Hartford,CT,"6106"
2022-07-04,,"Family Dollar",familydollar.com,Retail,,,"Blue Hills area",Hartford,CT,"6112"
2022-07-04,,Accenture,cazoodle.com,"Computer Software",,,"Downtown area",Hartford,CT,"6103"
2022-07-04,,Accenture,cazoodle.com,"Computer Software",,Remote,,"Remote in Hartford",CT,"6103"
2022-07-04,,"Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6106"
2022-07-04,,"Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6102"
2022-07-04,,"The Village For Families & Children",thevillage.org,"Civic & Social Organization","$50.7K - $64.3K a year",,"Asylum Hill area",Hartford,CT,"6105"
2022-07-04,,"Trinity Health Of New England",,,,,"Asylum Hill area",Hartford,CT,"6105"
2022-07-04,,"Trinity College",trincoll.edu,"Higher Education","$37.2K - $47K a year",,"Barry Square area",Hartford,CT,"6106"
2022-07-04,,Cognizant,,,,,,Hartford,CT,""
2022-07-04,,"Hartford HealthCare Rehabilitation Network",hartfordhealthcarerehabnetwork.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6106"
2022-07-04,,"Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6106"
2022-07-04,,"Hartford Hospital",hartfordhospital.org,"Hospital & Health Care",,,"South Green area",Hartford,CT,"6106"
2022-07-04,,"Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,,"North Meadows area",Hartford,CT,"6101"
2022-07-04,,"Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,,"North Meadows area",Hartford,CT,"6101"
