DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-11-01,"Delivery Driver","FedEx Express",fedex.com,"Logistics & Supply Chain","package delivery --- $17.50-$18.50 hour",,,"Oklahoma City",OK,"73119"
2022-11-01,"Package Delivery --- $17.50-$18.50 Hour","Amazon DSP",,,"$17.50 - $18.50 an hour",,"Meridian Avenue Corridor area)","Oklahoma City",OK,""
2022-11-02,"Management Trainee","Foot Locker",footlocker.com,Retail,,,"Belle Isle area)","Oklahoma City",OK,"73118"
2022-10-31,"HUMAN RESOURCES REPRESENTATIVE","McLane Companies",,,,,,"Oklahoma City",OK,"73116"
2022-11-02,"Contract Specialist- Direct Hire Authority (DHA)","US Veterans Health Administration",va.gov,"Government Administration","$94,373 - $150,703 a year",,,"Oklahoma City",OK,""
2022-11-02,Transporter,"OU Health",ouhealth.com,"Hospital & Health Care",,,,"Oklahoma City",OK,""
2022-11-01,"WAREHOUSE SPECIALIST I","McLane Companies",,,"$18.00 - $20.75 an hour",,,"Oklahoma City",OK,"73116"
2022-11-01,"School Specialist","Oklahoma State Regents For Higher Education",okhighered.org,"Education Management","$50,000 - $60,000 a year",,,"Oklahoma City",OK,""
2022-11-02,"Gas Contract Administrator","Mustang Fuel Corporation",mustangfuel.com,"Energy, Utilities & Waste Treatment, Electricity, Oil & Gas","estimated $53.8k - $68.2k a year",,,"Oklahoma City",OK,"73114"
2022-11-02,"2022-2023 Principal Secretary","Oklahoma City Public Schools",okcps.org,"Education Management","estimated $23.4k - $29.6k a year",,,"Oklahoma City",OK,""
2022-11-01,"2022-2023 Library Media Center Assistant","Oklahoma City Public Schools",okcps.org,"Education Management","estimated $21.4k - $27k a year",,,"Oklahoma City",OK,""
2022-11-02,"Media Technician","University of Oklahoma",ou.edu,"Higher Education","estimated $28.2k - $35.8k a year",,,"Hybrid remote in Oklahoma City",OK,"73104"
2022-11-02,"Emergency Services Dispatcher",Chloeta,chloeta.com,"Government Relations","$20.00 - $23.19 an hour",,,"Oklahoma City",OK,"73114"
2022-10-31,"Remote Member Engagement Specialist",Benelynk,benelynk.com,"Hospital & Health Care","estimated $34.4k - $43.6k a year",Remote,,"Remote in Oklahoma City",OK,"73102"
2022-10-31,"Supply Technician II",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-11-01,"Behavioral Health Technician","SSM Health",ssmhealth.com,"Hospital & Health Care","$3,000 sign on bonus to eligible candidates* *please speak…",,,"Oklahoma City",OK,"73102"
2022-10-31,"Delivery Van Driver","McLane Companies",,,"$19 an hour",,,"Oklahoma City",OK,"73116"
