DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-11-02,"Administrative Assistant","Farm Bureau Financial Services",fbfs.com,Insurance,"estimated $33.4k - $42.2k a year",,,"Hybrid remote in Sioux Falls",SD,""
2022-11-02,"Customer Support (Parking App)","Five Star Call Centers",fivestarcallcenters.com,Outsourcing/Offshoring,"$13 - $14 an hour",Remote,,"Remote in Sioux Falls",SD,"57110"
2022-11-02,"Accounting Services Specialist","BPM LLP",bpmcpa.com,Accounting,"estimated $48.5k - $61.3k a year",,,"Sioux Falls",SD,""
2022-11-01,"Supply Chain Technician- Fulltime",Avera,avera.org,"Hospital & Health Care","estimated $31.5k - $39.9k a year",,,"Sioux Falls",SD,"57105"
2022-11-02,"Lead Clerical","Sioux Falls School District",k12.sd.us,"Primary/Secondary Education","$23.61 an hour",,,"Sioux Falls",SD,""
2022-11-02,"Business Office Representative - Fulltime",Avera,avera.org,"Hospital & Health Care","estimated $34.8k - $44k a year",,,"Sioux Falls",SD,"57104"
2022-11-02,"Medical Records Technician (Coder Inpatient/Outpatient)","US Veterans Health Administration",va.gov,"Government Administration","$33,221 - $64,410 a year",,,"Sioux Falls",SD,"57105"
2022-11-02,"Assistant Director of Athletics Administration","Augustana University",augie.edu,"Higher Education","estimated $49.3k - $62.5k a year",,"Agustana/USF/Sanford area)","Sioux Falls",SD,"57197"
2022-11-02,"Admissions Representative - Clinic Admin",Avera,avera.org,"Hospital & Health Care","estimated $29.5k - $37.3k a year",,,"Sioux Falls",SD,"57105"
2022-11-02,"Customer Service Associate Analyst 2 (Universal Agent)--Hybr...",Citi,citigroup.com,"Financial Services","estimated $37.9k - $47.9k a year",,,"Hybrid remote in Sioux Falls",SD,"57108"
2022-11-02,"Lead Clerical - 1.0 FTE at Lincoln High School","Sioux Falls School District",k12.sd.us,"Primary/Secondary Education","estimated $37.2k - $47.2k a year",,,"Sioux Falls",SD,"57105"
2022-11-02,"Resource Education Assistant","Sioux Falls School District",k12.sd.us,"Primary/Secondary Education","$16.47 an hour",,,"Sioux Falls",SD,""
2022-10-31,"Remote Member Engagement Specialist",Benelynk,benelynk.com,"Hospital & Health Care","estimated $36.2k - $45.8k a year",Remote,,"Remote in Sioux Falls",SD,"57104"
2022-11-02,"Driver Helper",Sysco,sysco.com,"Food & Beverages",,,,"Sioux Falls",SD,""
2022-11-02,"Retail Sales & Service Associate - Sioux Falls, SD",Midco,midcofab.com,Warehousing,,,,"Sioux Falls",SD,"57110"
2022-11-01,"Service Writer",FleetPride,fleetpride.com,Transportation/Trucking/Railroad,"estimated $40.9k - $51.7k a year",,,"Sioux Falls",SD,"57104"
2022-11-02,"Full Time Residential Youth Counselor","Children's Home Society of South Dakota",chssd.org,"Individual & Family Services","$20 an hour",,,"Sioux Falls",SD,"57110"
